id,status,code,region,continent,name,LON,LAT,layer
1,Member State,ARG,South America,Americas,Argentina,,,name_Argentina
2,Member State,AUS,Australia and New Zealand,Oceania,Australia,,,name_Australia
3,Member State,BOL,South America,Americas,Bolivia,,,name_Bolivia
4,Member State,BRA,South America,Americas,Brazil,,,name_Brazil
5,Member State,CAN,Northern America,Americas,Canada,,,name_Canada
6,Member State,CHL,South America,Americas,Chile,,,name_Chile
7,Member State,CHN,Eastern Asia,Asia,China,,,name_China
8,Member State,COL,South America,Americas,Colombia,,,name_Colombia
9,Member State,CRI,Central America,Americas,Costa Rica,,,name_Costa Rica
10,Member State,CUB,Caribbean,Americas,Cuba,,,name_Cuba
11,Member State,DOM,Caribbean,Americas,Dominican Republic,,,name_Dominican Republic
12,Member State,ECU,South America,Americas,Ecuador,,,name_Ecuador
13,Member State,FRA,Western Europe,Europe,France,,,name_France
14,FR Territory,FRA,Polynesia,Oceania,French Polynesia,,,name_French Polynesia
15,Member State,DEU,Western Europe,Europe,Germany,,,name_Germany
16,Member State,HTI,Caribbean,Americas,Haiti,,,name_Haiti
17,Member State,IND,Southern Asia,Asia,India,,,name_India
18,Member State,ISR,Western Asia,Asia,Israel,,,name_Israel
19,Member State,ITA,Southern Europe,Europe,Italy,,,name_Italy
20,Member State,MEX,Central America,Americas,Mexico,,,name_Mexico
21,Member State,NLD,Western Europe,Europe,Netherlands,,,name_Netherlands
22,Member State,NZL,Australia and New Zealand,Oceania,New Zealand,,,name_New Zealand
23,Member State,PAN,Central America,Americas,Panama,,,name_Panama
24,Member State,PRY,South America,Americas,Paraguay,,,name_Paraguay
25,Member State,PER,South America,Americas,Peru,,,name_Peru
26,Member State,ESP,Southern Europe,Europe,Spain,,,name_Spain
27,Member State,THA,South-Eastern Asia,Asia,Thailand,,,name_Thailand
28,Member State,GBR,Northern Europe,Europe,U.K. of Great Britain and Northern Ireland,,,name_U.K. of Great Britain and Northern Ireland name_U
29,Member State,ARE,Western Asia,Asia,United Arab Emirates,,,name_United Arab Emirates
30,Member State,URY,South America,Americas,Uruguay,,,name_Uruguay
31,Member State,VEN,South America,Americas,Venezuela,,,name_Venezuela
32,US State,AK,Northern America,Americas,Alaska,-152.24098,64.24019,STATE_AK
33,US State,AL,Northern America,Americas,Alabama,-86.82676,32.79354,STATE_AL
34,US State,AR,Northern America,Americas,Arkansas,-92.4392,34.89977,STATE_AR
35,US State,AS,Northern America,Americas,American Samoa,-170.37215,-14.26486,STATE_AS
36,US State,AZ,Northern America,Americas,Arizona,-111.66457,34.29323,STATE_AZ
37,US State,CA,Northern America,Americas,California,-119.60818,37.24537,STATE_CA
38,US State,CO,Northern America,Americas,Colorado,-105.54783,38.99855,STATE_CO
39,US State,CT,Northern America,Americas,Connecticut,-72.72623,41.62196,STATE_CT
40,US State,DC,Northern America,Americas,District of Columbia,-77.01464,38.90932,STATE_DC
41,US State,DE,Northern America,Americas,Delaware,-75.50592,38.99559,STATE_DE
42,US State,FL,Northern America,Americas,Florida,-82.50934,28.67402,STATE_FL
43,US State,FM,Northern America,Americas,Fed States of Micronesia,154.7847154,7.089267592,STATE_FM
44,US State,GA,Northern America,Americas,Georgia,-83.44848,32.65155,STATE_GA
45,US State,GU,Northern America,Americas,Guam,145.15796,14.57384,STATE_GU
46,US State,HI,Northern America,Americas,Hawaii,-156.34743,20.24923,STATE_HI
47,US State,IA,Northern America,Americas,Iowa,-93.50003,42.07463,STATE_IA
