Airport,City,Adm0,Adm0_ISO,Adm1,Adm1_abr,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,June_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,TOTAL
Santiago,AMSTERDAM,Netherlands,NLD,,,607,675,719,1016,1069,0,387,382,397,939,1483,1872,1806,2333,2020,2776,18481
Santiago,AREQUIPA,Peru,PER,Arequipa,Ar,0,128,275,556,563,253,278,68,0,0,124,322,284,470,437,1267,5025
Santiago,ASUNCION,Praguay,PRY,,,185,49,47,0,48,0,0,42,0,195,300,564,534,0,179,0,2143
Santiago,ATLANTA,United States of America,USA,Georgia,GA,0,0,0,968,3269,2255,1932,820,702,989,1228,1665,1169,1308,2090,2930,21325
Santiago,AUCKLAND,New Zaeland,NZL,,,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Santiago,BARCELONA,Spain,ESP,,,0,0,0,73,703,0,0,0,0,0,0,0,0,0,0,0,776
Santiago,BARRANQUILLA,Colombia,COL,Atlantico,At,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,42
Santiago,BOGOTA,Colombia,COL,Distrito Capital,DC,329,2046,2616,15224,11247,9734,9329,1877,996,2597,4991,8745,8733,11273,14609,24055,128401
Santiago,BORDEAUX,France,FRA,,,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,158
Santiago,BRISBANE,Australia,AUS,,,0,1202,0,0,0,0,0,0,0,0,120,0,0,0,0,0,1322
Santiago,BUENOS AIRES,Argentina,ARG,Buenos Aires,BA,522,0,4992,11373,9232,9556,8651,1345,1547,1238,0,1259,1528,6766,17722,28479,104210
Santiago,MEXICO CITY,Mexico,MEX,,,0,3205,0,2123,3023,3625,3374,628,518,1014,1451,4481,4662,3996,6277,7296,45673
Santiago,PANAMA CITY,Panama,PAN,,,751,771,6576,8652,8510,9738,8633,2194,2280,2943,2974,3996,10496,12390,14436,15517,110857
Santiago,CALI,Colombia,COL,Valle del Cauca,VC,49,0,580,1711,842,575,621,64,,0,467,811,532,842,1561,4537,13192
Santiago,CANCUN,Mexico,MEX,,,0,0,0,0,0,1533,0,0,0,0,0,0,415,2296,2228,2549,9021
Santiago,CARACAS,Venezuela,VEN,,,0,0,61,420,0,0,171,0,0,0,216,0,0,183,0,218,1269
Santiago,CHICLAYO,Peru,PER,Lambayeque,La,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Santiago,COCHABAMBA,Bolivia,BOL,,,0,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Santiago,CORDOBA,Argentina,ARG,Cordoba,Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,2659,3505
Santiago,CURITIBA,Brazil,BRA,Parana,PR,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Santiago,DALLAS,United States of America,USA,Texas,TX,0,0,0,0,0,0,259,773,970,1846,2219,3252,3047,3603,2432,2568,20969
Santiago,FLORIANAPOLIS,Brazil,BRA,Santa Catarina,SC,0,0,0,1042,924,1015,67,0,0,0,0,0,0,0,0,1547,4595
Santiago,GOIANIA,Brazil,BRA,Goias,GO,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37
Santiago,GUAYAQUIL,Ecuador,ECU,,,0,1121,1266,1498,1458,1238,1368,326,199,178,461,744,576,884,1161,1670,14148
Santiago,HOUSTON,United States of America,USA,Texas,TX,0,0,1804,2560,3083,1754,1933,903,894,1416,1307,3356,3095,4452,6014,5578,38149
Santiago,IGUAZU,Brazil,BRA,Parana,PR,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,578,628
Santiago,LA PAZ,Bolivia,BOL,,,0,39,438,551,384,326,320,28,0,0,92,280,205,246,294,653,3856
Santiago,LETICIA,Colombia,COL,Amazonas,Am,1202,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1241
Santiago,LIMA,Peru,PER,Lima,Li,0,7750,12378,24694,21045,14187,14330,3354,2383,3831,5234,13542,13431,18902,27883,39509,222453
Santiago,LONDRES,United Kingdom,GBR,,,273,0,46,262,0,0,0,0,0,0,0,0,0,0,0,2121,2702
Santiago,LOS ANGELES,United States of America,USA,California,CA,2756,436,0,461,249,0,0,0,58,0,308,1080,1677,1485,1755,2929,13194
Santiago,MADRID,Spain,ESP,,,0,2365,2132,4715,6010,4136,4769,2800,2577,4721,7495,11483,12303,11992,10777,14748,103023
Santiago,MEDELLIN,Colombia,COL,Antioquia,An,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1535,1579
