"source","Adm0","month","passenger_volume","airport"
"Netherlands","Netherlands","Sep_2020",607,"SCL"
"Peru","Peru","Sep_2020",0,"SCL"
"Praguay","Praguay","Sep_2020",185,"SCL"
"Georgia","United States of America","Sep_2020",0,"SCL"
"New Zaeland","New Zaeland","Sep_2020",0,"SCL"
"Spain","Spain","Sep_2020",0,"SCL"
"Colombia","Colombia","Sep_2020",0,"SCL"
"Colombia","Colombia","Sep_2020",329,"SCL"
"France","France","Sep_2020",0,"SCL"
"Australia","Australia","Sep_2020",0,"SCL"
"Argentina","Argentina","Sep_2020",522,"SCL"
"Mexico","Mexico","Sep_2020",0,"SCL"
"Panama","Panama","Sep_2020",751,"SCL"
"Colombia","Colombia","Sep_2020",49,"SCL"
"Mexico","Mexico","Sep_2020",0,"SCL"
"Venezuela","Venezuela","Sep_2020",0,"SCL"
"Peru","Peru","Sep_2020",0,"SCL"
"Bolivia","Bolivia","Sep_2020",0,"SCL"
"Argentina","Argentina","Sep_2020",0,"SCL"
"Parana","Brazil","Sep_2020",48,"SCL"
"Texas","United States of America","Sep_2020",0,"SCL"
"Santa Catarina","Brazil","Sep_2020",0,"SCL"
"Goias","Brazil","Sep_2020",0,"SCL"
"Ecuador","Ecuador","Sep_2020",0,"SCL"
"Texas","United States of America","Sep_2020",0,"SCL"
"Parana","Brazil","Sep_2020",0,"SCL"
"Bolivia","Bolivia","Sep_2020",0,"SCL"
"Colombia","Colombia","Sep_2020",1202,"SCL"
"Peru","Peru","Sep_2020",0,"SCL"
"United Kingdom","United Kingdom","Sep_2020",273,"SCL"
"California","United States of America","Sep_2020",2756,"SCL"
"Spain","Spain","Sep_2020",0,"SCL"
"Colombia","Colombia","Sep_2020",0,"SCL"
"Argentina","Argentina","Sep_2020",7311,"SCL"
"Florida","United States of America","Sep_2020",484,"SCL"
"Uruguay","Uruguay","Sep_2020",0,"SCL"
"India","India","Sep_2020",467,"SCL"
"New York","United States of America","Sep_2020",0,"SCL"
"French Polynesia","French Polynesia","Sep_2020",607,"SCL"
"France","France","Sep_2020",0,"SCL"
"Colombia","Colombia","Sep_2020",0,"SCL"
"Rio Grande do Sul","Brazil","Sep_2020",45,"SCL"
"Haiti","Haiti","Sep_2020",104,"SCL"
"Dominican Republic","Dominican Republic","Sep_2020",0,"SCL"
"Ecuador","Ecuador","Sep_2020",0,"SCL"
"Rio de Janeiro","Brazil","Sep_2020",0,"SCL"
"Bahia","Brazil","Sep_2020",0,"SCL"
"Argentina","Argentina","Sep_2020",24,"SCL"
"Bolivia","Bolivia","Sep_2020",0,"SCL"
"Dominican Republic","Dominican Republic","Sep_2020",1955,"SCL"
"Sao Paulo","Brazil","Sep_2020",0,"SCL"
"Australia","Australia","Sep_2020",0,"SCL"
"Peru","Peru","Sep_2020",0,"SCL"
"Netherlands","Netherlands","Oct_2020",675,"SCL"
"Peru","Peru","Oct_2020",128,"SCL"
"Praguay","Praguay","Oct_2020",49,"SCL"
"Georgia","United States of America","Oct_2020",0,"SCL"
"New Zaeland","New Zaeland","Oct_2020",30,"SCL"
"Spain","Spain","Oct_2020",0,"SCL"
"Colombia","Colombia","Oct_2020",0,"SCL"
"Colombia","Colombia","Oct_2020",2046,"SCL"
"France","France","Oct_2020",0,"SCL"
"Australia","Australia","Oct_2020",1202,"SCL"
"Argentina","Argentina","Oct_2020",0,"SCL"
"Mexico","Mexico","Oct_2020",3205,"SCL"
"Panama","Panama","Oct_2020",771,"SCL"
"Colombia","Colombia","Oct_2020",0,"SCL"
"Mexico","Mexico","Oct_2020",0,"SCL"
"Venezuela","Venezuela","Oct_2020",0,"SCL"
"Peru","Peru","Oct_2020",0,"SCL"
"Bolivia","Bolivia","Oct_2020",46,"SCL"
"Argentina","Argentina","Oct_2020",0,"SCL"
"Parana","Brazil","Oct_2020",0,"SCL"
"Texas","United States of America","Oct_2020",0,"SCL"
"Santa Catarina","Brazil","Oct_2020",0,"SCL"
"Goias","Brazil","Oct_2020",0,"SCL"
"Ecuador","Ecuador","Oct_2020",1121,"SCL"
"Texas","United States of America","Oct_2020",0,"SCL"
"Parana","Brazil","Oct_2020",0,"SCL"
"Bolivia","Bolivia","Oct_2020",39,"SCL"
"Colombia","Colombia","Oct_2020",0,"SCL"
"Peru","Peru","Oct_2020",7750,"SCL"
"United Kingdom","United Kingdom","Oct_2020",0,"SCL"
"California","United States of America","Oct_2020",436,"SCL"
"Spain","Spain","Oct_2020",2365,"SCL"
"Colombia","Colombia","Oct_2020",0,"SCL"
"Argentina","Argentina","Oct_2020",0,"SCL"
"Florida","United States of America","Oct_2020",9210,"SCL"
"Uruguay","Uruguay","Oct_2020",479,"SCL"
"India","India","Oct_2020",0,"SCL"
"New York","United States of America","Oct_2020",943,"SCL"
"French Polynesia","French Polynesia","Oct_2020",0,"SCL"
"France","France","Oct_2020",493,"SCL"
"Colombia","Colombia","Oct_2020",0,"SCL"
"Rio Grande do Sul","Brazil","Oct_2020",0,"SCL"
"Haiti","Haiti","Oct_2020",0,"SCL"
"Dominican Republic","Dominican Republic","Oct_2020",0,"SCL"
"Ecuador","Ecuador","Oct_2020",0,"SCL"
"Rio de Janeiro","Brazil","Oct_2020",203,"SCL"
"Bahia","Brazil","Oct_2020",0,"SCL"
"Argentina","Argentina","Oct_2020",0,"SCL"
"Bolivia","Bolivia","Oct_2020",437,"SCL"
"Dominican Republic","Dominican Republic","Oct_2020",0,"SCL"
"Sao Paulo","Brazil","Oct_2020",4427,"SCL"
"Australia","Australia","Oct_2020",98,"SCL"
"Peru","Peru","Oct_2020",488,"SCL"
"Netherlands","Netherlands","Nov_2020",719,"SCL"
"Peru","Peru","Nov_2020",275,"SCL"
"Praguay","Praguay","Nov_2020",47,"SCL"
"Georgia","United States of America","Nov_2020",0,"SCL"
"New Zaeland","New Zaeland","Nov_2020",0,"SCL"
"Spain","Spain","Nov_2020",0,"SCL"
"Colombia","Colombia","Nov_2020",0,"SCL"
"Colombia","Colombia","Nov_2020",2616,"SCL"
"France","France","Nov_2020",0,"SCL"
"Australia","Australia","Nov_2020",0,"SCL"
"Argentina","Argentina","Nov_2020",4992,"SCL"
"Mexico","Mexico","Nov_2020",0,"SCL"
"Panama","Panama","Nov_2020",6576,"SCL"
"Colombia","Colombia","Nov_2020",580,"SCL"
"Mexico","Mexico","Nov_2020",0,"SCL"
"Venezuela","Venezuela","Nov_2020",61,"SCL"
"Peru","Peru","Nov_2020",40,"SCL"
"Bolivia","Bolivia","Nov_2020",NA,"SCL"
"Argentina","Argentina","Nov_2020",0,"SCL"
"Parana","Brazil","Nov_2020",0,"SCL"
"Texas","United States of America","Nov_2020",0,"SCL"
"Santa Catarina","Brazil","Nov_2020",0,"SCL"
"Goias","Brazil","Nov_2020",0,"SCL"
"Ecuador","Ecuador","Nov_2020",1266,"SCL"
"Texas","United States of America","Nov_2020",1804,"SCL"
"Parana","Brazil","Nov_2020",0,"SCL"
"Bolivia","Bolivia","Nov_2020",438,"SCL"
"Colombia","Colombia","Nov_2020",39,"SCL"
