crossing,commune,region,by,type,year,month,value
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,enero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,enero,136
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,enero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,enero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,enero,12
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,enero,12
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,enero,4
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,enero,465
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,enero,52
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,enero,"100,217"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,enero,21
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,enero,"7,902"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,enero,"3,203"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,enero,18
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,enero,542
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,enero,"1,138"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,enero,"2,158"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,enero,87
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,enero,505
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,enero,"11,223"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,enero,"12,036"
Paso Pehuenche,Curicó,Maule,land,entry,2021,enero,47
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,enero,"1,324"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,enero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,enero,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,enero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,enero,"10,894"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,enero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,enero,703
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,enero,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,enero,0
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,enero,47
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,enero,30
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,enero,225
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,enero,68
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,enero,20
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,enero,84
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,enero,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,enero,0
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,enero,0
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,enero,17
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,enero,0
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,enero,22
