week,Alpha.EII,Delta.EII,Gamma.EII,Lambda.EII,Mu.EII,Others.EII
2020-11-01,NA,NA,NA,NA,NA,NA
2020-11-08,NA,NA,NA,NA,NA,NA
2020-11-15,NA,NA,NA,NA,NA,NA
2020-11-22,NA,NA,NA,NA,NA,NA
2020-11-29,NA,NA,NA,NA,NA,NA
2020-12-06,NA,NA,NA,NA,NA,NA
2020-12-13,NA,NA,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA,NA,NA
2020-12-27,0,0,0,0,0,3.0481961650722
2021-01-03,0,0,0,0,0,15.0080565422361
2021-01-10,0,0,0,0,0,14.6299082121427
2021-01-17,0,0,0,0.191918238467953,0,13.0504402158208
2021-01-24,0,0,0,0,0,11.3297388954472
2021-01-31,0.345344491188645,0,0,0.172672245594322,0,10.5330069812537
2021-02-07,0,0,0.122902522737847,0,0,9.09478668260066
2021-02-14,0,0,0,0.205837787038998,0,7.82183590748191
2021-02-21,0,0,0.101729964208752,0,0,8.85050688616146
2021-02-28,0.171468931334903,0.0428672328337258,0.171468931334903,0.0857344656674516,0,6.08714706238906
2021-03-07,0.238664462850192,0,0.039777410475032,0.159109641900128,0,6.16549862362996
2021-03-14,0.415060220457135,0,0.37732747314285,0.188663736571425,0,6.26363605417131
2021-03-21,0.628383183289442,0,0.593473006440029,0.488742475891788,0,6.98203536988269
2021-03-28,0.395379598606159,0,1.13671634599271,0.444802048431929,0,8.74777361916128
2021-04-04,0.637640671504999,0,2.04955930126607,1.45746439201143,0,10.6121626043332
2021-04-11,1.2605785896742,0,2.46863307144531,0.840385726449468,0,13.1310269757729
2021-04-18,1.4027647046663,0,4.05243136903599,2.07816993283897,0,11.0143006440465
2021-04-25,1.38719287015139,0,4.32477777164845,1.55039203134567,0.0815995805971405,10.0367484134483
2021-05-02,1.57865506255381,0,7.79460937135941,3.058644183698,0,10.3599238480093
2021-05-09,1.70695309768146,0,8.12834808419744,2.03208702104936,0,12.9240734538739
2021-05-16,2.12064594050091,0,9.96703592035429,2.65080742562614,0,21.1004271079841
2021-05-23,1.92281129795843,0,10.5754621387713,6.12896101224248,0,16.2237203265242
2021-05-30,1.83047299433822,0.091523649716911,10.6167433671617,4.30161153669482,0,15.6505441015918
2021-06-06,1.20385909772196,0,9.91413374594553,3.04505536482613,0,12.6759281466018
2021-06-13,1.40571950434546,0,10.6990873386293,3.35810770482526,0,7.49717068984243
2021-06-20,1.29965740247599,0.144406378052888,9.24200819538482,2.9603307500842,0,7.36472528069728
2021-06-27,0.629118165318954,0.707757935983823,9.51541225044918,2.35919311994608,0,8.80765431446536
2021-07-04,0.377051959006086,0.502735945341447,8.35798509130156,1.75957580869507,0.125683986335362,8.86072103664301
2021-07-11,0.3012184500744,1.44584856035712,7.59070494187488,2.53023498062496,0,7.71119232190464
2021-07-18,0.691738945396208,1.45265178533204,4.56547703961497,2.76695578158483,0.0691738945396208,6.36399829764511
2021-07-25,0.289828471382696,1.64236133783528,5.12030299442763,1.93218980921797,0.0483047452304493,7.0524928036456
2021-08-01,0.21737882951548,1.49059768810615,5.37236250088257,1.6458682806172,0.0621082370044228,4.84444248634498
2021-08-08,0.133679402519415,1.40363372645386,3.9769622249526,1.47047342771357,0,4.21090117936158
2021-08-15,0.118902830387157,0.975003209174688,2.9487901936015,1.35549226641359,0.0713416982322943,2.73476509890461
2021-08-22,0.0416896442538596,0.875482529331052,2.45968901097772,0.812948062950262,0.0625344663807894,2.41799936672386
2021-08-29,0.0168340382025823,0.774365757318786,2.17159092813312,0.909038062939445,0.0336680764051646,1.88541227868922
2021-09-05,0.0142910369327645,0.78600703130205,1.17186502848669,0.543059403445053,0.0142910369327645,1.80067065352833
2021-09-12,0.045977695149223,1.10346468358135,0.70499132562142,0.383147459576859,0.0306517967661487,0.796946715919866
2021-09-19,0.025629947476045,0.743268476805304,0.615118739425079,0.217854553546382,0.0384449212140674,0.653563660639146
2021-09-26,0,0.814153401003376,0.433339713437281,0.249498622888131,0.0131315064677964,0.564654778115245
2021-10-03,0,0.44349392346264,0.416884288054881,0.230616840200573,0,0.470103558870398
2021-10-10,0.00984756562207366,0.595777720135457,0.329893448339468,0.236341574929768,0.00984756562207366,0.492378281103683
2021-10-17,0.0452006187683423,1.11871531451647,0.24295332587984,0.169502320381284,0,0.361604950146738
2021-10-24,0.00987786756079197,1.41253506119325,0.242007755239403,0.138290145851088,0.0296336026823759,0.301274960604155
2021-10-31,0.00120024512670723,0.10962238823926,0.0132026963937795,0.0116023695581699,0.00080016341780482,0.0116023695581699
