month,Alpha.EII,Delta.EII,Gamma.EII,Lambda.EII,Mu.EII,Others.EII
2020-11-01,NA,NA,NA,NA,NA,NA
2020-12-01,NA,NA,NA,NA,NA,NA
2021-01-01,0,0,0,0,0,50.5303867535954
2021-02-01,0,0,4.74854958502332,1.58284986167444,1.58284986167444,17.4113484784188
2021-03-01,0,0,15.2796445516509,0,0,5.7298667068691
2021-04-01,0,0,0,0,0,24.1633368307262
2021-05-01,0,0,49.0770101369785,0,0,5.77376589846806
2021-06-01,0,1.73870365597547,46.9449987113376,3.47740731195094,3.47740731195094,1.73870365597547
2021-07-01,0,4.47465432447047,22.3732716223523,0,4.47465432447047,0
2021-08-01,0,1.53650357623188,10.7555250336232,0,6.14601430492752,0
2021-09-01,0,5.77876723534722,2.88938361767361,0,1.4446918088368,0
2021-10-01,0,14.0804438173384,0,0,0,0
