week,Alpha.EII,Delta.EII,Gamma.EII,Lambda.EII,Mu.EII,Others.EII
2020-11-01,NA,NA,NA,NA,NA,NA
2020-11-08,NA,NA,NA,NA,NA,NA
2020-11-15,NA,NA,NA,NA,NA,NA
2020-11-22,NA,NA,NA,NA,NA,NA
2020-11-29,NA,NA,NA,NA,NA,NA
2020-12-06,NA,NA,NA,NA,NA,NA
2020-12-13,NA,NA,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA,NA,NA
2020-12-27,0,0,0,0,0,0.442978474703612
2021-01-03,0,0,0,0,0,2.16146017883379
2021-01-10,0,0,0,0,0,2.59182072267866
2021-01-17,0,0,0,0,0,2.87892894898377
2021-01-24,0,0,0,0,0,3.1000445346245
2021-01-31,0,0,0,0.385971581317167,0.385971581317167,1.54388632526867
2021-02-07,0,0,0.438229263956361,0,0,1.31468779186908
2021-02-14,0,0,0.376177941743711,0,0,0.752355883487421
2021-02-21,0,0,0.740767722538618,0,0,0.592614178030894
2021-02-28,0,0,0.605976336335966,0,0,0.484781069068773
2021-03-07,0,0,0.569220603800378,0,0,0.455376483040302
2021-03-14,0,0,1.09616075357095,0,0,0
2021-03-21,0,0,0.771207194788822,0,0,0.220344912796806
2021-03-28,0,0,0,0,0,0.996809235396796
2021-04-04,0,0,0.639307637346902,0,0,0.639307637346902
2021-04-11,0,0,0,0,0,1.04226136005591
2021-04-18,0,0,0.773764303085548,0,0,0.994839818252848
2021-04-25,0,0,1.68613378470811,0,0,0
2021-05-02,0,0,1.76808322971893,0,0,0.252583318531275
2021-05-09,0,0,1.48964564773,0,0,0.744822823865002
2021-05-16,0,0,2.99561065324533,0,0,0
2021-05-23,0,0,3.78535755191263,0,0,0
2021-05-30,0,0,2.92619114097614,0.243849261748012,0.243849261748012,0.243849261748012
2021-06-06,0,0,3.07357319477101,0,0.768393298692752,0
2021-06-13,0,0.43694389893688,2.62166339362128,0,0,0
2021-06-20,0,0,1.8886811881599,0.472170297039976,0,0
2021-06-27,0,0,2.23091209994135,0,0,0
2021-07-04,0,0,1.98416123353203,0,0,0
2021-07-11,0,0,0.847417414784142,0,0.847417414784142,0
2021-07-18,0,0,0,0,1.30697879885787,0
2021-07-25,0,0.57729593806763,0.57729593806763,0,0,0
2021-08-01,0,0,0.600082100349093,0,0.300041050174546,0
2021-08-08,0,0.209405646679328,0.418811293358656,0,0.418811293358656,0
2021-08-15,0,0,0.76096673161947,0,0.380483365809735,0
2021-08-22,0,0.408362579470788,0.272241719647192,0,0.136120859823596,0
2021-08-29,0,0,0.659593713954728,0,0,0
2021-09-05,0,0.531577920252709,0,0,0,0
2021-09-12,0,0.281945968839372,0.281945968839372,0,0,0
2021-09-19,0,0,0,0,0.453876275296976,0
2021-09-26,0,0.498762162151471,0,0,0,0
2021-10-03,0,0.631341672872564,0,0,0,0
2021-10-10,0,0.657718155181154,0,0,0,0
2021-10-17,0,0.861228445286875,0,0,0,0
2021-10-24,0,0.937696045374161,0,0,0,0
2021-10-31,0,0,0,0,0,0
