week,Alpha.EII,Delta.EII,Gamma.EII,Lambda.EII,Mu.EII,Others.EII
2020-11-01,NA,NA,NA,NA,NA,NA
2020-11-08,NA,NA,NA,NA,NA,NA
2020-11-15,NA,NA,NA,NA,NA,NA
2020-11-22,NA,NA,NA,NA,NA,NA
2020-11-29,NA,NA,NA,NA,NA,NA
2020-12-06,NA,NA,NA,NA,NA,NA
2020-12-13,NA,NA,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA,NA,NA
2020-12-27,0.000856731402960776,0,0.00771058262664699,0.000856731402960776,0,0.049690421371725
2021-01-03,0,0,0.0238223720072917,0.00794079066909724,0,0.206460557396528
2021-01-10,0.0167216711959179,0,0.0334433423918358,0.100330027175507,0,0.493289300279578
2021-01-17,0,0,0.0236714974688566,0.189371979750853,0,0.366908210767278
2021-01-24,0,0,0.0186396464782718,0.521910101391612,0,0.540549747869883
2021-01-31,0,0,0.118725576354201,0.166215806895881,0,0.664863227583525
2021-02-07,0,0,0.0459691276976049,0.337106936449102,0,0.766152128293415
2021-02-14,0,0,0.195842347742864,0.567942808454304,0,0.411268930260014
2021-02-21,0,0,0.0844595017385073,0.823480141950446,0,0.40118263325791
2021-02-28,0.00727496481282221,0,0.0945745425666887,0.501972572084732,0,0.240073838823133
2021-03-07,0.014238767153441,0,0.0783132193439257,0.832967878476301,0,0.163745822264572
2021-03-14,0,0,0.190303643357016,0.909228518261301,0,0.105724246309454
2021-03-21,0.0448433805331404,0,0.336325353998553,1.16592789386165,0,0.156951831865991
2021-03-28,0.0516321506580299,0,0.123917161579272,0.908725851581325,0,0.196202172500513
2021-04-04,0.0387263989009864,0,0.242039993131165,1.20051836593058,0,0.0726119979393495
2021-04-11,0.00618208990279933,0,0.234919416306375,1.03859110367029,0,0.0865492586391906
2021-04-18,0,0,0.269012953272779,1.0139719007974,0,0.0517332602447652
2021-04-25,0,0,0.0896965603742897,0.90257163876629,0,0.0448482801871449
2021-05-02,0,0,0.20565000584076,0.632373767960338,0,0.010282500292038
2021-05-09,0.00694754209697535,0.010421313145463,0.0764229630667289,0.500223030982225,0.00347377104848768,0.0347377104848768
2021-05-16,0,0,0.215297652439963,0.542231124663609,0.00797398712740602,0.011960980691109
2021-05-23,0,0,0.064085193776496,0.411213326732516,0,0.021361731258832
2021-05-30,0,0,0.138665091580107,0.701729402844785,0.00420197247212446,0.0126059174163734
2021-06-06,0,0.0038758658512868,0.117567930822366,0.382418763993631,0.0038758658512868,0.00645977641881133
2021-06-13,0,0.00489155812417308,0.161421418097711,0.538071393659038,0.00244577906208654,0.0244577906208654
2021-06-20,0,0.0247442151855391,0.114441995233118,0.399000469866818,0.0185581613891543,0.0278372420837315
2021-06-27,0,0.00475571351904487,0.0998699838999423,0.27345352734508,0.00475571351904487,0.0237785675952244
2021-07-04,0,0.0154272374166921,0.20441089577117,0.350969651229745,0.0115704280625191,0.00385680935417303
2021-07-11,0,0.0278030343672884,0.116772744342611,0.213527303940775,0.00778484962284076,0.00111212137469154
2021-07-18,0,0.0283559285144936,0.107122396610309,0.145980520870912,0.0147030740445523,0.00105021957461088
2021-07-25,0,0.0371757251497459,0.081235843845741,0.101889024484489,0.0123919083832486,0.00137687870924985
2021-08-01,0,0.0907748115916242,0.126878429838293,0.126878429838293,0.0247567667977157,0.00309459584971446
2021-08-08,0,0.0494131205606433,0.095698828427575,0.0894440030401518,0.0187644761622696,0.00125096507748464
2021-08-15,0,0.0629216237495909,0.0991231059068898,0.069817144160505,0.0129291007704639,0.000861940051364259
2021-08-22,0,0.0732031145831485,0.0488020763887657,0.0437185267649359,0.0106754542100425,0.000508354962382976
2021-08-29,0,0.0887748274711449,0.0594339946628852,0.0451397427819381,0.0112849356954845,0.00150465809273127
2021-09-05,0,0.0989009862424368,0.0513897281455799,0.0339366129263264,0.0063025138291749,0
2021-09-12,0,0.116807292319491,0.0407649610779433,0.0203824805389716,0.0094072987102946,0
2021-09-19,0,0.121337729970635,0.0357790742221103,0.0171117311497049,0.00544464172945157,0
2021-09-26,0,0.136053972701246,0.0227500085500444,0.0142745151686553,0.010259807777471,0.000446078599020478
2021-10-03,0,0.146704733299774,0.0170877672309396,0.00750194658919298,0.00500129772612865,0
2021-10-10,0,0.167765806261087,0.00798884791719461,0.00266294930573154,0.00221912442144295,0
2021-10-17,0,0.178426749450314,0.00765369434639418,0.00382684717319709,0.00239177948324818,0
2021-10-24,0,0.175502255177774,0.00860305172440071,0.000573536781626714,0.00344122068976028,0
2021-10-31,0,0.0273086460255007,0.0009197212392008,0.000424486725784985,0.000282991150523323,0
