State,week,Alpha.count,Delta.count,Gamma.count,Lambda.count,Mu.count,Others.count,total.count,Alpha.prop,Delta.prop,Gamma.prop,Lambda.prop,Mu.prop,Others.prop
Bahia,2020-11-01,0,0,0,0,0,5,5,0,0,0,0,0,1
Bahia,2020-11-08,0,0,0,0,0,6,6,0,0,0,0,0,1
Bahia,2020-11-15,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahia,2020-11-22,0,0,0,0,0,2,2,0,0,0,0,0,1
Bahia,2020-11-29,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahia,2020-12-06,0,0,0,0,0,4,4,0,0,0,0,0,1
Bahia,2020-12-13,0,0,0,0,0,3,3,0,0,0,0,0,1
Bahia,2020-12-20,0,0,0,0,0,2,2,0,0,0,0,0,1
Bahia,2020-12-27,0,0,5,0,0,2,7,0,0,0.714285714285714,0,0,0.285714285714286
Bahia,2021-01-03,1,0,1,0,0,12,14,0.0714285714285714,0,0.0714285714285714,0,0,0.857142857142857
Bahia,2021-01-10,1,0,0,0,0,9,10,0.1,0,0,0,0,0.9
Bahia,2021-01-17,2,0,6,0,0,10,18,0.111111111111111,0,0.333333333333333,0,0,0.555555555555556
Bahia,2021-01-24,0,0,6,0,0,28,34,0,0,0.176470588235294,0,0,0.823529411764706
Bahia,2021-01-31,0,0,4,0,0,31,35,0,0,0.114285714285714,0,0,0.885714285714286
Bahia,2021-02-07,4,0,19,0,0,25,48,0.0833333333333333,0,0.395833333333333,0,0,0.520833333333333
Bahia,2021-02-14,2,0,12,0,0,16,30,0.0666666666666667,0,0.4,0,0,0.533333333333333
Bahia,2021-02-21,0,0,16,0,0,10,26,0,0,0.615384615384615,0,0,0.384615384615385
Bahia,2021-02-28,1,0,35,0,0,11,47,0.0212765957446809,0,0.74468085106383,0,0,0.234042553191489
Bahia,2021-03-07,0,0,14,0,0,0,14,0,0,1,0,0,0
Bahia,2021-03-14,0,0,6,0,0,2,8,0,0,0.75,0,0,0.25
Bahia,2021-03-21,1,0,16,0,0,3,20,0.05,0,0.8,0,0,0.15
Bahia,2021-03-28,0,0,20,0,0,0,20,0,0,1,0,0,0
Bahia,2021-04-04,0,0,64,0,0,2,66,0,0,0.96969696969697,0,0,0.0303030303030303
Bahia,2021-04-11,0,0,74,0,0,2,76,0,0,0.973684210526316,0,0,0.0263157894736842
Bahia,2021-04-18,1,0,47,0,0,0,48,0.0208333333333333,0,0.979166666666667,0,0,0
Bahia,2021-04-25,0,0,76,0,0,1,77,0,0,0.987012987012987,0,0,0.012987012987013
Bahia,2021-05-02,2,0,62,0,0,0,64,0.03125,0,0.96875,0,0,0
Bahia,2021-05-09,0,0,66,0,0,1,67,0,0,0.985074626865672,0,0,0.0149253731343284
Bahia,2021-05-16,5,0,125,0,0,2,132,0.0378787878787879,0,0.946969696969697,0,0,0.0151515151515152
Bahia,2021-05-23,6,0,66,0,0,0,72,0.0833333333333333,0,0.916666666666667,0,0,0
Bahia,2021-05-30,2,0,82,0,0,2,86,0.0232558139534884,0,0.953488372093023,0,0,0.0232558139534884
Bahia,2021-06-06,3,0,75,0,0,0,78,0.0384615384615385,0,0.961538461538462,0,0,0
Bahia,2021-06-13,11,0,48,0,0,4,63,0.174603174603175,0,0.761904761904762,0,0,0.0634920634920635
Bahia,2021-06-20,8,0,56,0,0,1,65,0.123076923076923,0,0.861538461538462,0,0,0.0153846153846154
Bahia,2021-06-27,0,0,59,0,0,2,61,0,0,0.967213114754098,0,0,0.0327868852459016
Bahia,2021-07-04,0,0,28,0,0,0,28,0,0,1,0,0,0
Bahia,2021-07-11,0,1,81,0,0,0,82,0,0.0121951219512195,0.98780487804878,0,0,0
Bahia,2021-07-18,1,1,60,0,0,1,63,0.0158730158730159,0.0158730158730159,0.952380952380952,0,0,0.0158730158730159
Bahia,2021-07-25,0,3,48,0,0,0,51,0,0.0588235294117647,0.941176470588235,0,0,0
Bahia,2021-08-01,0,15,83,0,0,2,100,0,0.15,0.83,0,0,0.02
Bahia,2021-08-08,0,7,32,0,0,2,41,0,0.170731707317073,0.780487804878049,0,0,0.0487804878048781
Bahia,2021-08-15,0,12,44,0,0,0,56,0,0.214285714285714,0.785714285714286,0,0,0
Bahia,2021-08-22,0,36,30,0,0,2,68,0,0.529411764705882,0.441176470588235,0,0,0.0294117647058824
Bahia,2021-08-29,0,117,22,0,0,1,140,0,0.835714285714286,0.157142857142857,0,0,0.00714285714285714
Bahia,2021-09-05,0,78,10,0,0,1,89,0,0.876404494382023,0.112359550561798,0,0,0.0112359550561798
Bahia,2021-09-12,0,92,3,0,0,1,96,0,0.958333333333333,0.03125,0,0,0.0104166666666667
Bahia,2021-09-19,0,27,0,0,0,0,27,0,1,0,0,0,0
Bahia,2021-09-26,0,40,0,0,0,0,40,0,1,0,0,0,0
Bahia,2021-10-03,0,76,0,0,0,0,76,0,1,0,0,0,0
Bahia,2021-10-10,0,62,0,0,0,0,62,0,1,0,0,0,0
Bahia,2021-10-17,0,47,0,0,0,0,47,0,1,0,0,0,0
Bahia,2021-10-24,0,44,0,0,0,0,44,0,1,0,0,0,0
Bahia,2021-10-31,0,69,0,0,0,0,69,0,1,0,0,0,0
Goias,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1
