State,week,new_cases
Bahia,2020-11-01,18812
Bahia,2020-11-08,20328
Bahia,2020-11-15,22436
Bahia,2020-11-22,29118
Bahia,2020-11-29,41080
Bahia,2020-12-06,48842
Bahia,2020-12-13,49076
Bahia,2020-12-20,28220
Bahia,2020-12-27,26346
Bahia,2021-01-03,31812
Bahia,2021-01-10,46358
Bahia,2021-01-17,56190
Bahia,2021-01-24,46984
Bahia,2021-01-31,40208
Bahia,2021-02-07,42406
Bahia,2021-02-14,48438
Bahia,2021-02-21,58840
Bahia,2021-02-28,59992
Bahia,2021-03-07,58496
Bahia,2021-03-14,53972
Bahia,2021-03-21,48694
Bahia,2021-03-28,44626
Bahia,2021-04-04,44336
Bahia,2021-04-11,47596
Bahia,2021-04-18,42086
Bahia,2021-04-25,48620
Bahia,2021-05-02,46648
Bahia,2021-05-09,48718
Bahia,2021-05-16,55832
Bahia,2021-05-23,58908
Bahia,2021-05-30,57912.9860016919
Bahia,2021-06-06,60576
Bahia,2021-06-13,60060
Bahia,2021-06-20,49272
Bahia,2021-06-27,35706
Bahia,2021-07-04,41160
Bahia,2021-07-11,31720.3041770192
Bahia,2021-07-18,23411.338567935
Bahia,2021-07-25,11491.7800034756
Bahia,2021-08-01,8261
Bahia,2021-08-08,7109.41546727099
Bahia,2021-08-15,8353.61454707085
Bahia,2021-08-22,5653.35243938216
Bahia,2021-08-29,5190.7022503513
Bahia,2021-09-05,2441.35560061693
Bahia,2021-09-12,3409.79245394817
Bahia,2021-09-19,2976
Bahia,2021-09-26,3059
Bahia,2021-10-03,2609.81396941816
Bahia,2021-10-10,2382.37416627707
Bahia,2021-10-17,5979.62865037491
Bahia,2021-10-24,4619.95813058039
Bahia,2021-10-31,464
Goias,2020-11-01,11402
Goias,2020-11-08,12386
Goias,2020-11-15,11388
Goias,2020-11-22,11292
Goias,2020-11-29,14182
Goias,2020-12-06,14894
Goias,2020-12-13,13732
Goias,2020-12-20,8316
Goias,2020-12-27,9756
Goias,2021-01-03,15692
Goias,2021-01-10,22138.6002025849
Goias,2021-01-17,20028
Goias,2021-01-24,24728
Goias,2021-01-31,20672
Goias,2021-02-07,20786
Goias,2021-02-14,17850
Goias,2021-02-21,31240
Goias,2021-02-28,33134
Goias,2021-03-07,41628
Goias,2021-03-14,36992
Goias,2021-03-21,50303.5866225936
Goias,2021-03-28,32047.0301348478
Goias,2021-04-04,36602
Goias,2021-04-11,33070
Goias,2021-04-18,27916
Goias,2021-04-25,30648
Goias,2021-05-02,27264
Goias,2021-05-09,25442
Goias,2021-05-16,27323.2629642887
Goias,2021-05-23,24344
Goias,2021-05-30,29860.4382370075
Goias,2021-06-06,33442
Goias,2021-06-13,33410
Goias,2021-06-20,31708
Goias,2021-06-27,23696
Goias,2021-07-04,27572
Goias,2021-07-11,26282
Goias,2021-07-18,32032
Goias,2021-07-25,34316
Goias,2021-08-01,35126
Goias,2021-08-08,33886
Goias,2021-08-15,39598
Goias,2021-08-22,31066
Goias,2021-08-29,29292
Goias,2021-09-05,18366
Goias,2021-09-12,18756.6532246751
Goias,2021-09-19,27466.8049005806
Goias,2021-09-26,17030
Goias,2021-10-03,28708
Goias,2021-10-10,11536
Goias,2021-10-17,20594
Goias,2021-10-24,15704.6914632819
Goias,2021-10-31,570
Parana,2020-11-01,14319.6027844452
Parana,2020-11-08,35812
Parana,2020-11-15,32346
Parana,2020-11-22,43396
Parana,2020-11-29,48172
Parana,2020-12-06,54056
Parana,2020-12-13,94100
