Country,week,Alpha.count,Delta.count,Gamma.count,Lambda.count,Mu.count,Others.count,total.count,Alpha.prop,Delta.prop,Gamma.prop,Lambda.prop,Mu.prop,Others.prop
Argentina,2020-11-01,0,0,0,0,0,33,33,0,0,0,0,0,1
Argentina,2020-11-08,0,1,0,1,0,24,26,0,0.0384615384615385,0,0.0384615384615385,0,0.923076923076923
Argentina,2020-11-15,0,0,0,0,0,39,39,0,0,0,0,0,1
Argentina,2020-11-22,0,0,0,0,0,37,37,0,0,0,0,0,1
Argentina,2020-11-29,0,0,0,0,0,32,32,0,0,0,0,0,1
Argentina,2020-12-06,0,0,0,0,0,28,28,0,0,0,0,0,1
Argentina,2020-12-13,0,0,0,0,0,94,94,0,0,0,0,0,1
Argentina,2020-12-20,0,0,0,0,0,98,98,0,0,0,0,0,1
Argentina,2020-12-27,0,0,0,0,0,82,82,0,0,0,0,0,1
Argentina,2021-01-03,0,0,0,0,0,132,132,0,0,0,0,0,1
Argentina,2021-01-10,0,0,0,0,0,99,99,0,0,0,0,0,1
Argentina,2021-01-17,0,0,0,1,0,68,69,0,0,0,0.0144927536231884,0,0.985507246376812
Argentina,2021-01-24,0,0,0,0,0,56,56,0,0,0,0,0,1
Argentina,2021-01-31,2,0,0,1,0,61,64,0.03125,0,0,0.015625,0,0.953125
Argentina,2021-02-07,0,0,1,0,0,74,75,0,0,0.0133333333333333,0,0,0.986666666666667
Argentina,2021-02-14,0,0,0,2,0,76,78,0,0,0,0.0256410256410256,0,0.974358974358974
Argentina,2021-02-21,0,0,1,0,0,87,88,0,0,0.0113636363636364,0,0,0.988636363636364
Argentina,2021-02-28,4,1,4,2,0,142,153,0.0261437908496732,0.0065359477124183,0.0261437908496732,0.0130718954248366,0,0.928104575163399
Argentina,2021-03-07,6,0,1,4,0,155,166,0.036144578313253,0,0.00602409638554217,0.0240963855421687,0,0.933734939759036
Argentina,2021-03-14,11,0,10,5,0,166,192,0.0572916666666667,0,0.0520833333333333,0.0260416666666667,0,0.864583333333333
Argentina,2021-03-21,18,0,17,14,0,200,249,0.072289156626506,0,0.0682730923694779,0.0562248995983936,0,0.803212851405622
Argentina,2021-03-28,8,0,23,9,0,177,217,0.0368663594470046,0,0.105990783410138,0.0414746543778802,0,0.815668202764977
Argentina,2021-04-04,14,0,45,32,0,233,324,0.0432098765432099,0,0.138888888888889,0.0987654320987654,0,0.719135802469136
Argentina,2021-04-11,24,0,47,16,0,250,337,0.0712166172106825,0,0.13946587537092,0.0474777448071217,0,0.741839762611276
Argentina,2021-04-18,27,0,78,40,0,212,357,0.0756302521008403,0,0.218487394957983,0.112044817927171,0,0.593837535014006
Argentina,2021-04-25,17,0,53,19,1,123,213,0.07981220657277,0,0.248826291079812,0.0892018779342723,0.00469483568075117,0.577464788732394
Argentina,2021-05-02,16,0,79,31,0,105,231,0.0692640692640693,0,0.341991341991342,0.134199134199134,0,0.454545454545455
Argentina,2021-05-09,21,0,100,25,0,159,305,0.0688524590163934,0,0.327868852459016,0.0819672131147541,0,0.521311475409836
Argentina,2021-05-16,20,0,94,25,0,199,338,0.0591715976331361,0,0.27810650887574,0.0739644970414201,0,0.588757396449704
Argentina,2021-05-23,16,0,88,51,0,135,290,0.0551724137931034,0,0.303448275862069,0.175862068965517,0,0.46551724137931
Argentina,2021-05-30,20,1,116,47,0,171,355,0.0563380281690141,0.0028169014084507,0.326760563380282,0.132394366197183,0,0.48169014084507
Argentina,2021-06-06,17,0,140,43,0,179,379,0.0448548812664908,0,0.369393139841689,0.113456464379947,0,0.472295514511873
Argentina,2021-06-13,18,0,137,43,0,96,294,0.0612244897959184,0,0.465986394557823,0.146258503401361,0,0.326530612244898
Argentina,2021-06-20,18,2,128,41,0,102,291,0.0618556701030928,0.00687285223367698,0.439862542955326,0.140893470790378,0,0.350515463917526
Argentina,2021-06-27,8,9,121,30,0,112,280,0.0285714285714286,0.0321428571428571,0.432142857142857,0.107142857142857,0,0.4
Argentina,2021-07-04,6,8,133,28,2,141,318,0.0188679245283019,0.0251572327044025,0.418238993710692,0.0880503144654088,0.00628930817610063,0.443396226415094
Argentina,2021-07-11,5,24,126,42,0,128,325,0.0153846153846154,0.0738461538461539,0.387692307692308,0.129230769230769,0,0.393846153846154
Argentina,2021-07-18,10,21,66,40,1,92,230,0.0434782608695652,0.091304347826087,0.28695652173913,0.173913043478261,0.00434782608695652,0.4
Argentina,2021-07-25,6,34,106,40,1,146,333,0.018018018018018,0.102102102102102,0.318318318318318,0.12012012012012,0.003003003003003,0.438438438438438
Argentina,2021-08-01,7,48,173,53,2,156,439,0.0159453302961276,0.109339407744875,0.394077448747153,0.120728929384966,0.00455580865603645,0.355353075170843
Argentina,2021-08-08,4,42,119,44,0,126,335,0.0119402985074627,0.125373134328358,0.355223880597015,0.13134328358209,0,0.376119402985075
Argentina,2021-08-15,5,41,124,57,3,115,345,0.0144927536231884,0.118840579710145,0.359420289855072,0.165217391304348,0.00869565217391304,0.333333333333333
Argentina,2021-08-22,2,42,118,39,3,116,320,0.00625,0.13125,0.36875,0.121875,0.009375,0.3625
Argentina,2021-08-29,1,46,129,54,2,112,344,0.00290697674418605,0.133720930232558,0.375,0.156976744186047,0.00581395348837209,0.325581395348837
Argentina,2021-09-05,1,55,82,38,1,126,303,0.0033003300330033,0.181518151815182,0.270627062706271,0.125412541254125,0.0033003300330033,0.415841584158416
Argentina,2021-09-12,3,72,46,25,2,52,200,0.015,0.36,0.23,0.125,0.01,0.26
Argentina,2021-09-19,2,58,48,17,3,51,179,0.0111731843575419,0.324022346368715,0.268156424581006,0.0949720670391061,0.0167597765363128,0.284916201117318
Argentina,2021-09-26,0,62,33,19,1,43,158,0,0.392405063291139,0.208860759493671,0.120253164556962,0.00632911392405063,0.272151898734177
Argentina,2021-10-03,0,50,47,26,0,53,176,0,0.284090909090909,0.267045454545455,0.147727272727273,0,0.301136363636364
Argentina,2021-10-10,2,121,67,48,2,100,340,0.00588235294117647,0.355882352941176,0.197058823529412,0.141176470588235,0.00588235294117647,0.294117647058824
Argentina,2021-10-17,8,198,43,30,0,64,343,0.0233236151603499,0.577259475218659,0.12536443148688,0.0874635568513119,0,0.186588921282799
Argentina,2021-10-24,2,286,49,28,6,61,432,0.00462962962962963,0.662037037037037,0.113425925925926,0.0648148148148148,0.0138888888888889,0.141203703703704
Argentina,2021-10-31,3,274,33,29,2,29,370,0.00810810810810811,0.740540540540541,0.0891891891891892,0.0783783783783784,0.00540540540540541,0.0783783783783784
Australia,2020-11-01,0,0,0,0,0,20,20,0,0,0,0,0,1
Australia,2020-11-08,0,0,0,0,0,33,33,0,0,0,0,0,1
Australia,2020-11-15,0,0,0,0,0,35,35,0,0,0,0,0,1
Australia,2020-11-22,0,0,0,0,0,23,23,0,0,0,0,0,1
Australia,2020-11-29,1,0,0,0,0,29,30,0.0333333333333333,0,0,0,0,0.966666666666667
Australia,2020-12-06,5,0,0,0,0,26,31,0.161290322580645,0,0,0,0,0.838709677419355
Australia,2020-12-13,1,0,0,0,0,99,100,0.01,0,0,0,0,0.99
Australia,2020-12-20,10,0,0,0,0,66,76,0.131578947368421,0,0,0,0,0.868421052631579
Australia,2020-12-27,8,0,0,0,0,134,142,0.0563380281690141,0,0,0,0,0.943661971830986
Australia,2021-01-03,17,0,0,0,0,48,65,0.261538461538462,0,0,0,0,0.738461538461539
Australia,2021-01-10,18,0,0,0,0,45,63,0.285714285714286,0,0,0,0,0.714285714285714
Australia,2021-01-17,21,0,0,0,0,26,47,0.446808510638298,0,0,0,0,0.553191489361702
Australia,2021-01-24,11,0,0,0,0,14,25,0.44,0,0,0,0,0.56
Australia,2021-01-31,9,0,0,0,0,20,29,0.310344827586207,0,0,0,0,0.689655172413793
Australia,2021-02-07,42,0,0,0,0,11,53,0.792452830188679,0,0,0,0,0.207547169811321
Australia,2021-02-14,17,0,0,0,0,12,29,0.586206896551724,0,0,0,0,0.413793103448276
Australia,2021-02-21,12,0,0,0,0,14,26,0.461538461538462,0,0,0,0,0.538461538461538
Australia,2021-02-28,16,0,1,0,0,23,40,0.4,0,0.025,0,0,0.575
Australia,2021-03-07,38,0,1,0,0,28,67,0.567164179104478,0,0.0149253731343284,0,0,0.417910447761194
Australia,2021-03-14,22,1,0,0,0,32,55,0.4,0.0181818181818182,0,0,0,0.581818181818182
Australia,2021-03-21,31,0,2,0,0,27,60,0.516666666666667,0,0.0333333333333333,0,0,0.45
Australia,2021-03-28,38,1,0,1,0,24,64,0.59375,0.015625,0,0.015625,0,0.375
Australia,2021-04-04,20,2,1,0,0,19,42,0.476190476190476,0.0476190476190476,0.0238095238095238,0,0,0.452380952380952
Australia,2021-04-11,52,26,1,0,0,28,107,0.485981308411215,0.242990654205607,0.00934579439252336,0,0,0.261682242990654
Australia,2021-04-18,34,43,1,0,0,37,115,0.295652173913043,0.373913043478261,0.00869565217391304,0,0,0.321739130434783
Australia,2021-04-25,28,47,1,0,0,21,97,0.288659793814433,0.484536082474227,0.0103092783505155,0,0,0.216494845360825
