iso_code,location,week,new_cases
ARG,Argentina,2020-11-01,69927
ARG,Argentina,2020-11-08,67995
ARG,Argentina,2020-11-15,61336
ARG,Argentina,2020-11-22,47193
ARG,Argentina,2020-11-29,46457
ARG,Argentina,2020-12-06,34770
ARG,Argentina,2020-12-13,42567
ARG,Argentina,2020-12-20,41098
ARG,Argentina,2020-12-27,56567
ARG,Argentina,2021-01-03,79575
ARG,Argentina,2021-01-10,77570
ARG,Argentina,2021-01-17,70213
ARG,Argentina,2021-01-24,60072
ARG,Argentina,2021-01-31,54425
ARG,Argentina,2021-02-07,44864
ARG,Argentina,2021-02-14,39072
ARG,Argentina,2021-02-21,43572
ARG,Argentina,2021-02-28,42517
ARG,Argentina,2021-03-07,45311
ARG,Argentina,2021-03-14,49714
ARG,Argentina,2021-03-21,59650
ARG,Argentina,2021-03-28,82148
ARG,Argentina,2021-04-04,133763
ARG,Argentina,2021-04-11,160447
ARG,Argentina,2021-04-18,168125
ARG,Argentina,2021-04-25,147993
ARG,Argentina,2021-05-02,142293
ARG,Argentina,2021-05-09,154777
ARG,Argentina,2021-05-16,223748
ARG,Argentina,2021-05-23,217580
ARG,Argentina,2021-05-30,206761
ARG,Argentina,2021-06-06,172123
ARG,Argentina,2021-06-13,147247
ARG,Argentina,2021-06-20,134748
ARG,Argentina,2021-06-27,133331
ARG,Argentina,2021-07-04,112625
ARG,Argentina,2021-07-11,110345
ARG,Argentina,2021-07-18,89666
ARG,Argentina,2021-07-25,90655
ARG,Argentina,2021-08-01,82990
ARG,Argentina,2021-08-08,68154
ARG,Argentina,2021-08-15,49944
ARG,Argentina,2021-08-22,40606
ARG,Argentina,2021-08-29,30947
ARG,Argentina,2021-09-05,21199
ARG,Argentina,2021-09-12,15006
ARG,Argentina,2021-09-19,11230
ARG,Argentina,2021-09-26,9512
ARG,Argentina,2021-10-03,6176
ARG,Argentina,2021-10-10,6623
ARG,Argentina,2021-10-17,7667
ARG,Argentina,2021-10-24,8441
ARG,Argentina,2021-10-31,548
AUS,Australia,2020-11-01,63
AUS,Australia,2020-11-08,53
AUS,Australia,2020-11-15,110
AUS,Australia,2020-11-22,71
AUS,Australia,2020-11-29,73
AUS,Australia,2020-12-06,65
AUS,Australia,2020-12-13,138
AUS,Australia,2020-12-20,140
AUS,Australia,2020-12-27,176
AUS,Australia,2021-01-03,111
AUS,Australia,2021-01-10,113
AUS,Australia,2021-01-17,58
AUS,Australia,2021-01-24,45
AUS,Australia,2021-01-31,40
AUS,Australia,2021-02-07,47
AUS,Australia,2021-02-14,28
AUS,Australia,2021-02-21,44
AUS,Australia,2021-02-28,64
AUS,Australia,2021-03-07,83
AUS,Australia,2021-03-14,79
AUS,Australia,2021-03-21,63
AUS,Australia,2021-03-28,89
AUS,Australia,2021-04-04,57
AUS,Australia,2021-04-11,114
AUS,Australia,2021-04-18,144
AUS,Australia,2021-04-25,161
AUS,Australia,2021-05-02,98
AUS,Australia,2021-05-09,53
AUS,Australia,2021-05-16,32
AUS,Australia,2021-05-23,89
AUS,Australia,2021-05-30,77
AUS,Australia,2021-06-06,75
AUS,Australia,2021-06-13,83
AUS,Australia,2021-06-20,168
AUS,Australia,2021-06-27,254
AUS,Australia,2021-07-04,347
AUS,Australia,2021-07-11,799
AUS,Australia,2021-07-18,1019
AUS,Australia,2021-07-25,1465
AUS,Australia,2021-08-01,1945
AUS,Australia,2021-08-08,2769
AUS,Australia,2021-08-15,4929
AUS,Australia,2021-08-22,7230
AUS,Australia,2021-08-29,10363
AUS,Australia,2021-09-05,11984
AUS,Australia,2021-09-12,12025
AUS,Australia,2021-09-19,11931
AUS,Australia,2021-09-26,13829
AUS,Australia,2021-10-03,16083
AUS,Australia,2021-10-10,15733
AUS,Australia,2021-10-17,15342
AUS,Australia,2021-10-24,12018
AUS,Australia,2021-10-31,1466
BOL,Bolivia,2020-11-01,670
BOL,Bolivia,2020-11-08,754
BOL,Bolivia,2020-11-15,741
BOL,Bolivia,2020-11-22,670
BOL,Bolivia,2020-11-29,900
BOL,Bolivia,2020-12-06,1538
BOL,Bolivia,2020-12-13,2740
BOL,Bolivia,2020-12-20,4579
BOL,Bolivia,2020-12-27,7706
BOL,Bolivia,2021-01-03,10743
BOL,Bolivia,2021-01-10,12882
BOL,Bolivia,2021-01-17,14309
BOL,Bolivia,2021-01-24,15408
BOL,Bolivia,2021-01-31,11731
BOL,Bolivia,2021-02-07,8908
BOL,Bolivia,2021-02-14,5735
BOL,Bolivia,2021-02-21,6776
BOL,Bolivia,2021-02-28,5403
BOL,Bolivia,2021-03-07,5054
BOL,Bolivia,2021-03-14,5407
BOL,Bolivia,2021-03-21,4891
BOL,Bolivia,2021-03-28,5165
BOL,Bolivia,2021-04-04,7103
BOL,Bolivia,2021-04-11,5790
BOL,Bolivia,2021-04-18,9825
BOL,Bolivia,2021-04-25,9342
BOL,Bolivia,2021-05-02,11020
BOL,Bolivia,2021-05-09,12186
BOL,Bolivia,2021-05-16,16337
BOL,Bolivia,2021-05-23,20644
BOL,Bolivia,2021-05-30,19020
BOL,Bolivia,2021-06-06,19613
BOL,Bolivia,2021-06-13,15614
BOL,Bolivia,2021-06-20,12052
BOL,Bolivia,2021-06-27,11077
BOL,Bolivia,2021-07-04,9505
BOL,Bolivia,2021-07-11,8119
BOL,Bolivia,2021-07-18,6261
BOL,Bolivia,2021-07-25,5531
BOL,Bolivia,2021-08-01,3756
BOL,Bolivia,2021-08-08,4369
BOL,Bolivia,2021-08-15,4763
BOL,Bolivia,2021-08-22,3408
BOL,Bolivia,2021-08-29,2707
BOL,Bolivia,2021-09-05,2155
BOL,Bolivia,2021-09-12,2286
BOL,Bolivia,2021-09-19,1840
BOL,Bolivia,2021-09-26,2033
BOL,Bolivia,2021-10-03,2609
BOL,Bolivia,2021-10-10,2718
BOL,Bolivia,2021-10-17,3559
BOL,Bolivia,2021-10-24,3875
BOL,Bolivia,2021-10-31,0
COL,Colombia,2020-11-01,62263
COL,Colombia,2020-11-08,55187
COL,Colombia,2020-11-15,48859
COL,Colombia,2020-11-22,59120
COL,Colombia,2020-11-29,62636
COL,Colombia,2020-12-06,54823
COL,Colombia,2020-12-13,78990
COL,Colombia,2020-12-20,88841
COL,Colombia,2020-12-27,81505
COL,Colombia,2021-01-03,104955
COL,Colombia,2021-01-10,119671
COL,Colombia,2021-01-17,111935
COL,Colombia,2021-01-24,83837
COL,Colombia,2021-01-31,64401
COL,Colombia,2021-02-07,38909
COL,Colombia,2021-02-14,31902
COL,Colombia,2021-02-21,26117
COL,Colombia,2021-02-28,25110
COL,Colombia,2021-03-07,25837
COL,Colombia,2021-03-14,32105
COL,Colombia,2021-03-21,44404
COL,Colombia,2021-03-28,61606
COL,Colombia,2021-04-04,81518
COL,Colombia,2021-04-11,117361
COL,Colombia,2021-04-18,121198
COL,Colombia,2021-04-25,120472
COL,Colombia,2021-05-02,107790
COL,Colombia,2021-05-09,117797
COL,Colombia,2021-05-16,107454
COL,Colombia,2021-05-23,152274
COL,Colombia,2021-05-30,183956
COL,Colombia,2021-06-06,177688
COL,Colombia,2021-06-13,192643
COL,Colombia,2021-06-20,208992
COL,Colombia,2021-06-27,197890
COL,Colombia,2021-07-04,168307
COL,Colombia,2021-07-11,128723
COL,Colombia,2021-07-18,95538
COL,Colombia,2021-07-25,68522
COL,Colombia,2021-08-01,49314
COL,Colombia,2021-08-08,29995
COL,Colombia,2021-08-15,22268
COL,Colombia,2021-08-22,16407
COL,Colombia,2021-08-29,13676
COL,Colombia,2021-09-05,11598
COL,Colombia,2021-09-12,10673
COL,Colombia,2021-09-19,11002
COL,Colombia,2021-09-26,10388
COL,Colombia,2021-10-03,10077
COL,Colombia,2021-10-10,9515
COL,Colombia,2021-10-17,9448
COL,Colombia,2021-10-24,10996
COL,Colombia,2021-10-31,1710
DOM,Dominican Republic,2020-11-01,2627
DOM,Dominican Republic,2020-11-08,3580
DOM,Dominican Republic,2020-11-15,4545
DOM,Dominican Republic,2020-11-22,4883
DOM,Dominican Republic,2020-11-29,5002
DOM,Dominican Republic,2020-12-06,5930
DOM,Dominican Republic,2020-12-13,5479
DOM,Dominican Republic,2020-12-20,6876
DOM,Dominican Republic,2020-12-27,7025
DOM,Dominican Republic,2021-01-03,7679
DOM,Dominican Republic,2021-01-10,10695
DOM,Dominican Republic,2021-01-17,11168
DOM,Dominican Republic,2021-01-24,10046
DOM,Dominican Republic,2021-01-31,9595
DOM,Dominican Republic,2021-02-07,6747
DOM,Dominican Republic,2021-02-14,5607
DOM,Dominican Republic,2021-02-21,4507
DOM,Dominican Republic,2021-02-28,3651
DOM,Dominican Republic,2021-03-07,2956
DOM,Dominican Republic,2021-03-14,3373
DOM,Dominican Republic,2021-03-21,2593
DOM,Dominican Republic,2021-03-28,2554
DOM,Dominican Republic,2021-04-04,3050
DOM,Dominican Republic,2021-04-11,3441
DOM,Dominican Republic,2021-04-18,3317
DOM,Dominican Republic,2021-04-25,2917
DOM,Dominican Republic,2021-05-02,3739
DOM,Dominican Republic,2021-05-09,5672
DOM,Dominican Republic,2021-05-16,6413
DOM,Dominican Republic,2021-05-23,7841
DOM,Dominican Republic,2021-05-30,9155
DOM,Dominican Republic,2021-06-06,8166
DOM,Dominican Republic,2021-06-13,7968
DOM,Dominican Republic,2021-06-20,6256
DOM,Dominican Republic,2021-06-27,6305
DOM,Dominican Republic,2021-07-04,4677
DOM,Dominican Republic,2021-07-11,4094
DOM,Dominican Republic,2021-07-18,2522
DOM,Dominican Republic,2021-07-25,2236
DOM,Dominican Republic,2021-08-01,2246
DOM,Dominican Republic,2021-08-08,1809
DOM,Dominican Republic,2021-08-15,1677
DOM,Dominican Republic,2021-08-22,1983
DOM,Dominican Republic,2021-08-29,1833
DOM,Dominican Republic,2021-09-05,1618
DOM,Dominican Republic,2021-09-12,1942
DOM,Dominican Republic,2021-09-19,1921
DOM,Dominican Republic,2021-09-26,3323
DOM,Dominican Republic,2021-10-03,4806
DOM,Dominican Republic,2021-10-10,4637
DOM,Dominican Republic,2021-10-17,5845
DOM,Dominican Republic,2021-10-24,5429
DOM,Dominican Republic,2021-10-31,693
ECU,Ecuador,2020-11-01,5294
ECU,Ecuador,2020-11-08,6141
ECU,Ecuador,2020-11-15,5249
ECU,Ecuador,2020-11-22,6033
ECU,Ecuador,2020-11-29,6482
ECU,Ecuador,2020-12-06,4133
ECU,Ecuador,2020-12-13,4396
ECU,Ecuador,2020-12-20,3354
ECU,Ecuador,2020-12-27,5239
ECU,Ecuador,2021-01-03,5836
ECU,Ecuador,2021-01-10,10459
ECU,Ecuador,2021-01-17,7424
ECU,Ecuador,2021-01-24,11547
ECU,Ecuador,2021-01-31,7336
ECU,Ecuador,2021-02-07,8412
ECU,Ecuador,2021-02-14,7570
ECU,Ecuador,2021-02-21,11250
ECU,Ecuador,2021-02-28,8596
ECU,Ecuador,2021-03-07,7723
ECU,Ecuador,2021-03-14,10202
ECU,Ecuador,2021-03-21,11831
ECU,Ecuador,2021-03-28,10476
ECU,Ecuador,2021-04-04,11702
ECU,Ecuador,2021-04-11,13280
ECU,Ecuador,2021-04-18,14597
ECU,Ecuador,2021-04-25,11835
ECU,Ecuador,2021-05-02,14332
ECU,Ecuador,2021-05-09,10599
ECU,Ecuador,2021-05-16,8320
ECU,Ecuador,2021-05-23,6901
ECU,Ecuador,2021-05-30,6688
ECU,Ecuador,2021-06-06,6679
ECU,Ecuador,2021-06-13,7478
ECU,Ecuador,2021-06-20,7776
ECU,Ecuador,2021-06-27,8780
ECU,Ecuador,2021-07-04,5834
ECU,Ecuador,2021-07-11,7239
ECU,Ecuador,2021-07-18,5505
ECU,Ecuador,2021-07-25,6652
ECU,Ecuador,2021-08-01,4459
ECU,Ecuador,2021-08-08,2988
ECU,Ecuador,2021-08-15,3795
ECU,Ecuador,2021-08-22,2435
ECU,Ecuador,2021-08-29,2718
ECU,Ecuador,2021-09-05,1495
ECU,Ecuador,2021-09-12,1712
ECU,Ecuador,2021-09-19,1529
ECU,Ecuador,2021-09-26,2422
ECU,Ecuador,2021-10-03,973
ECU,Ecuador,2021-10-10,1659
ECU,Ecuador,2021-10-17,1754
ECU,Ecuador,2021-10-24,1891
ECU,Ecuador,2021-10-31,60
ESP,Spain,2020-11-01,143154
ESP,Spain,2020-11-08,129759
ESP,Spain,2020-11-15,98139
ESP,Spain,2020-11-22,71478
ESP,Spain,2020-11-29,56439
ESP,Spain,2020-12-06,45928
ESP,Spain,2020-12-13,66661
ESP,Spain,2020-12-20,57715
ESP,Spain,2020-12-27,73314
ESP,Spain,2021-01-03,122095
ESP,Spain,2021-01-10,201804
ESP,Spain,2021-01-17,247396
ESP,Spain,2021-01-24,243559
ESP,Spain,2021-01-31,198871
ESP,Spain,2021-02-07,114045
ESP,Spain,2021-02-14,77087
ESP,Spain,2021-02-21,55431
ESP,Spain,2021-02-28,34806
ESP,Spain,2021-03-07,34692
ESP,Spain,2021-03-14,28628
ESP,Spain,2021-03-21,42992
ESP,Spain,2021-03-28,45641
ESP,Spain,2021-04-04,46547
ESP,Spain,2021-04-11,59771
ESP,Spain,2021-04-18,61334
ESP,Spain,2021-04-25,55460
ESP,Spain,2021-05-02,43331
ESP,Spain,2021-05-09,37391
ESP,Spain,2021-05-16,31654
ESP,Spain,2021-05-23,32205
ESP,Spain,2021-05-30,29323
ESP,Spain,2021-06-06,35619
ESP,Spain,2021-06-13,23842
ESP,Spain,2021-06-20,25021
ESP,Spain,2021-06-27,51405
ESP,Spain,2021-07-04,103324
ESP,Spain,2021-07-11,163030
ESP,Spain,2021-07-18,180207
ESP,Spain,2021-07-25,166615
ESP,Spain,2021-08-01,141088
ESP,Spain,2021-08-08,105408
ESP,Spain,2021-08-15,76913
ESP,Spain,2021-08-22,61356
ESP,Spain,2021-08-29,45946
ESP,Spain,2021-09-05,29706
ESP,Spain,2021-09-12,22085
ESP,Spain,2021-09-19,17055
ESP,Spain,2021-09-26,14527
ESP,Spain,2021-10-03,12491
ESP,Spain,2021-10-10,10767
ESP,Spain,2021-10-17,13346
ESP,Spain,2021-10-24,13416
ESP,Spain,2021-10-31,0
FRA,France,2020-11-01,427902
FRA,France,2020-11-08,205943
FRA,France,2020-11-15,172137
FRA,France,2020-11-22,82001
FRA,France,2020-11-29,72907
FRA,France,2020-12-06,83877
FRA,France,2020-12-13,95305
FRA,France,2020-12-20,90368
FRA,France,2020-12-27,92430
FRA,France,2021-01-03,124081
FRA,France,2021-01-10,127112
FRA,France,2021-01-17,141131
FRA,France,2021-01-24,142698
FRA,France,2021-01-31,139555
FRA,France,2021-02-07,131418
FRA,France,2021-02-14,134647
FRA,France,2021-02-21,153116
FRA,France,2021-02-28,146478
FRA,France,2021-03-07,162911
FRA,France,2021-03-14,206788
FRA,France,2021-03-21,256625
FRA,France,2021-03-28,233454
FRA,France,2021-04-04,198973
FRA,France,2021-04-11,319402
FRA,France,2021-04-18,213430
FRA,France,2021-04-25,168820
FRA,France,2021-05-02,125667
FRA,France,2021-05-09,95880
FRA,France,2021-05-16,79047
FRA,France,2021-05-23,64523
FRA,France,2021-05-30,49381
FRA,France,2021-06-06,30237
FRA,France,2021-06-13,17804
FRA,France,2021-06-20,13041
FRA,France,2021-06-27,15267
FRA,France,2021-07-04,24785
FRA,France,2021-07-11,46929
FRA,France,2021-07-18,123561
FRA,France,2021-07-25,148542
FRA,France,2021-08-01,157971
FRA,France,2021-08-08,165336
FRA,France,2021-08-15,152823
FRA,France,2021-08-22,126795
FRA,France,2021-08-29,97184
FRA,France,2021-09-05,71553
FRA,France,2021-09-12,52248
FRA,France,2021-09-19,40186
FRA,France,2021-09-26,33767
FRA,France,2021-10-03,29244
FRA,France,2021-10-10,32822
FRA,France,2021-10-17,35600
FRA,France,2021-10-24,39717
FRA,France,2021-10-31,6329
GBR,United Kingdom,2020-11-01,159781
GBR,United Kingdom,2020-11-08,172915
GBR,United Kingdom,2020-11-15,149027
GBR,United Kingdom,2020-11-22,111789
GBR,United Kingdom,2020-11-29,100799
GBR,United Kingdom,2020-12-06,124985
GBR,United Kingdom,2020-12-13,173263
GBR,United Kingdom,2020-12-20,251786
GBR,United Kingdom,2020-12-27,343784
GBR,United Kingdom,2021-01-03,417620
GBR,United Kingdom,2021-01-10,339952
GBR,United Kingdom,2021-01-17,260098
GBR,United Kingdom,2021-01-24,178629
GBR,United Kingdom,2021-01-31,133747
GBR,United Kingdom,2021-02-07,97271
GBR,United Kingdom,2021-02-14,78569
GBR,United Kingdom,2021-02-21,64844
GBR,United Kingdom,2021-02-28,42824
GBR,United Kingdom,2021-03-07,40477
GBR,United Kingdom,2021-03-14,37451
GBR,United Kingdom,2021-03-21,37909
GBR,United Kingdom,2021-03-28,27911
GBR,United Kingdom,2021-04-04,15814
GBR,United Kingdom,2021-04-11,17893
GBR,United Kingdom,2021-04-18,17232
GBR,United Kingdom,2021-04-25,15360
GBR,United Kingdom,2021-05-02,14560
GBR,United Kingdom,2021-05-09,15761
GBR,United Kingdom,2021-05-16,13959
GBR,United Kingdom,2021-05-23,20499
GBR,United Kingdom,2021-05-30,30724
GBR,United Kingdom,2021-06-06,46825
GBR,United Kingdom,2021-06-13,62474
GBR,United Kingdom,2021-06-20,96843
GBR,United Kingdom,2021-06-27,161805
GBR,United Kingdom,2021-07-04,210277
GBR,United Kingdom,2021-07-11,296447
GBR,United Kingdom,2021-07-18,282920
GBR,United Kingdom,2021-07-25,187268
GBR,United Kingdom,2021-08-01,185724
GBR,United Kingdom,2021-08-08,198759
GBR,United Kingdom,2021-08-15,219919
GBR,United Kingdom,2021-08-22,237556
GBR,United Kingdom,2021-08-29,243125
GBR,United Kingdom,2021-09-05,256051
GBR,United Kingdom,2021-09-12,203077
GBR,United Kingdom,2021-09-19,230494
GBR,United Kingdom,2021-09-26,239781
GBR,United Kingdom,2021-10-03,249699
GBR,United Kingdom,2021-10-10,283756
GBR,United Kingdom,2021-10-17,330465
GBR,United Kingdom,2021-10-24,285028
GBR,United Kingdom,2021-10-31,37667
HTI,Haiti,2020-11-01,55
HTI,Haiti,2020-11-08,59
HTI,Haiti,2020-11-15,43
HTI,Haiti,2020-11-22,53
HTI,Haiti,2020-11-29,83
HTI,Haiti,2020-12-06,118
HTI,Haiti,2020-12-13,183
HTI,Haiti,2020-12-20,198
HTI,Haiti,2020-12-27,169
HTI,Haiti,2021-01-03,226
HTI,Haiti,2021-01-10,394
HTI,Haiti,2021-01-17,400
HTI,Haiti,2021-01-24,555
HTI,Haiti,2021-01-31,318
HTI,Haiti,2021-02-07,284
HTI,Haiti,2021-02-14,133
HTI,Haiti,2021-02-21,168
HTI,Haiti,2021-02-28,121
HTI,Haiti,2021-03-07,74
HTI,Haiti,2021-03-14,48
HTI,Haiti,2021-03-21,61
HTI,Haiti,2021-03-28,58
HTI,Haiti,2021-04-04,63
HTI,Haiti,2021-04-11,81
HTI,Haiti,2021-04-18,79
HTI,Haiti,2021-04-25,86
HTI,Haiti,2021-05-02,91
HTI,Haiti,2021-05-09,265
HTI,Haiti,2021-05-16,517
HTI,Haiti,2021-05-23,894
HTI,Haiti,2021-05-30,964
HTI,Haiti,2021-06-06,880
HTI,Haiti,2021-06-13,935
HTI,Haiti,2021-06-20,852
HTI,Haiti,2021-06-27,545
HTI,Haiti,2021-07-04,405
HTI,Haiti,2021-07-11,271
HTI,Haiti,2021-07-18,294
HTI,Haiti,2021-07-25,249
HTI,Haiti,2021-08-01,215
HTI,Haiti,2021-08-08,164
HTI,Haiti,2021-08-15,140
HTI,Haiti,2021-08-22,117
HTI,Haiti,2021-08-29,177
HTI,Haiti,2021-09-05,160
HTI,Haiti,2021-09-12,187
HTI,Haiti,2021-09-19,387
HTI,Haiti,2021-09-26,481
HTI,Haiti,2021-10-03,473
HTI,Haiti,2021-10-10,579
HTI,Haiti,2021-10-17,457
HTI,Haiti,2021-10-24,210
HTI,Haiti,2021-10-31,18
IND,India,2020-11-01,323672
IND,India,2020-11-08,306825
IND,India,2020-11-15,281227
IND,India,2020-11-22,297113
IND,India,2020-11-29,251303
IND,India,2020-12-06,212807
IND,India,2020-12-13,174194
IND,India,2020-12-20,156627
IND,India,2020-12-27,136115
IND,India,2021-01-03,126319
IND,India,2021-01-10,107701
IND,India,2021-01-17,96548
IND,India,2021-01-24,91641
IND,India,2021-01-31,80189
IND,India,2021-02-07,78577
IND,India,2021-02-14,86711
IND,India,2021-02-21,105080
IND,India,2021-02-28,114068
IND,India,2021-03-07,148249
IND,India,2021-03-14,240082
IND,India,2021-03-21,372494
IND,India,2021-03-28,513885
IND,India,2021-04-04,873296
IND,India,2021-04-11,1429198
IND,India,2021-04-18,2172169
IND,India,2021-04-25,2597285
IND,India,2021-05-02,2738624
IND,India,2021-05-09,2387996
IND,India,2021-05-16,1846055
IND,India,2021-05-23,1364668
IND,India,2021-05-30,914539
IND,India,2021-06-06,630650
IND,India,2021-06-13,441783
IND,India,2021-06-20,351411
IND,India,2021-06-27,312250
IND,India,2021-07-04,291789
IND,India,2021-07-11,268843
IND,India,2021-07-18,265836
IND,India,2021-07-25,283923
IND,India,2021-08-01,278631
IND,India,2021-08-08,258121
IND,India,2021-08-15,231658
IND,India,2021-08-22,270796
IND,India,2021-08-29,293643
IND,India,2021-09-05,248248
IND,India,2021-09-12,211242
IND,India,2021-09-19,204582
IND,India,2021-09-26,161158
IND,India,2021-10-03,139572
IND,India,2021-10-10,114244
IND,India,2021-10-17,107749
IND,India,2021-10-24,97832
IND,India,2021-10-31,12514
MEX,Mexico,2020-11-01,36976
MEX,Mexico,2020-11-08,41315
MEX,Mexico,2020-11-15,29435
MEX,Mexico,2020-11-22,68715
MEX,Mexico,2020-11-29,66992
MEX,Mexico,2020-12-06,73041
MEX,Mexico,2020-12-13,72239
MEX,Mexico,2020-12-20,63542
MEX,Mexico,2020-12-27,66327
MEX,Mexico,2021-01-03,80492
MEX,Mexico,2021-01-10,106222
MEX,Mexico,2021-01-17,122089
MEX,Mexico,2021-01-24,104883
MEX,Mexico,2021-01-31,68850
MEX,Mexico,2021-02-07,62615
MEX,Mexico,2021-02-14,49581
MEX,Mexico,2021-02-21,45852
MEX,Mexico,2021-02-28,41738
MEX,Mexico,2021-03-07,38009
MEX,Mexico,2021-03-14,29764
MEX,Mexico,2021-03-21,31265
MEX,Mexico,2021-03-28,24291
MEX,Mexico,2021-04-04,29225
MEX,Mexico,2021-04-11,25676
MEX,Mexico,2021-04-18,22642
MEX,Mexico,2021-04-25,21042
MEX,Mexico,2021-05-02,16837
MEX,Mexico,2021-05-09,16073
MEX,Mexico,2021-05-16,14640
MEX,Mexico,2021-05-23,16173
MEX,Mexico,2021-05-30,20199
MEX,Mexico,2021-06-06,20767
MEX,Mexico,2021-06-13,19272
MEX,Mexico,2021-06-20,31667
MEX,Mexico,2021-06-27,34049
MEX,Mexico,2021-07-04,49264
MEX,Mexico,2021-07-11,67978
MEX,Mexico,2021-07-18,87284
MEX,Mexico,2021-07-25,106269
MEX,Mexico,2021-08-01,115992
MEX,Mexico,2021-08-08,127727
MEX,Mexico,2021-08-15,125444
MEX,Mexico,2021-08-22,111448
MEX,Mexico,2021-08-29,92017
MEX,Mexico,2021-09-05,85863
MEX,Mexico,2021-09-12,46240
MEX,Mexico,2021-09-19,66132
MEX,Mexico,2021-09-26,59865
MEX,Mexico,2021-10-03,35412
MEX,Mexico,2021-10-10,40671
MEX,Mexico,2021-10-17,26598
MEX,Mexico,2021-10-24,24104
MEX,Mexico,2021-10-31,1446
NLD,Netherlands,2020-11-01,50264
