State,week,Alpha.count,Delta.count,Gamma.count,Lambda.count,Mu.count,Others.count,total.count,Alpha.prop,Delta.prop,Gamma.prop,Lambda.prop,Mu.prop,Others.prop
California,2020-11-01,0,0,0,0,0,534,534,0,0,0,0,0,1
California,2020-11-08,0,0,0,0,0,703,703,0,0,0,0,0,1
California,2020-11-15,0,0,0,0,0,924,924,0,0,0,0,0,1
California,2020-11-22,0,0,0,0,0,799,799,0,0,0,0,0,1
California,2020-11-29,0,0,0,0,0,2424,2424,0,0,0,0,0,1
California,2020-12-06,0,0,0,0,0,3673,3673,0,0,0,0,0,1
California,2020-12-13,3,0,0,0,0,5508,5511,0.000544365813826892,0,0,0,0,0.999455634186173
California,2020-12-20,12,0,0,0,0,1854,1866,0.00643086816720257,0,0,0,0,0.993569131832797
California,2020-12-27,40,0,0,0,0,2378,2418,0.0165425971877585,0,0,0,0,0.983457402812241
California,2021-01-03,51,3,0,0,0,6062,6116,0.00833878351863963,0.000490516677567037,0,0,0,0.991170699803793
California,2021-01-10,52,0,0,0,0,6541,6593,0.0078871530411042,0,0,0,0,0.992112846958896
California,2021-01-17,69,0,0,0,0,4772,4841,0.0142532534600289,0,0,0,0,0.985746746539971
California,2021-01-24,70,1,0,0,0,4651,4722,0.0148242270224481,0.000211774671749259,0,0,0,0.984963998305803
California,2021-01-31,129,1,0,0,0,5512,5642,0.0228642325416519,0.000177242112725984,0,0,0,0.976958525345622
California,2021-02-07,219,1,0,0,0,6622,6842,0.0320081847413037,0.000146156094709149,0,0,0,0.967845659163987
California,2021-02-14,258,0,0,0,0,4261,4519,0.0570922770524452,0,0,0,0,0.942907722947555
California,2021-02-21,323,0,1,0,0,3408,3732,0.0865487674169346,0,0.000267952840300107,0,0,0.913183279742765
California,2021-02-28,515,0,18,0,0,4138,4671,0.110254763433954,0,0.00385356454720617,0,0,0.88589167201884
California,2021-03-07,596,0,29,4,0,3411,4040,0.147524752475248,0,0.00717821782178218,0.00099009900990099,0,0.844306930693069
California,2021-03-14,904,1,52,2,0,3004,3963,0.228110017663386,0.000252334090335604,0.0131213726974514,0.000504668180671209,0,0.758011607368155
California,2021-03-21,945,0,109,2,0,2307,3363,0.28099910793934,0,0.0324115373178709,0.000594707106749926,0,0.685994647636039
California,2021-03-28,1213,2,173,5,2,1973,3368,0.360154394299287,0.000593824228028504,0.0513657957244656,0.00148456057007126,0.000593824228028504,0.585807600950119
California,2021-04-04,1478,15,195,21,2,1544,3255,0.454070660522273,0.00460829493087558,0.0599078341013825,0.00645161290322581,0.000614439324116743,0.474347158218126
California,2021-04-11,1623,67,280,32,1,1261,3264,0.497242647058824,0.0205269607843137,0.0857843137254902,0.00980392156862745,0.000306372549019608,0.386335784313726
California,2021-04-18,1679,101,287,31,2,1107,3207,0.523542251325226,0.0314936077330839,0.0894917368256938,0.00966635484876832,0.00062363579669473,0.345182413470533
California,2021-04-25,1508,124,325,24,14,947,2942,0.512576478585996,0.0421481985044188,0.110469068660775,0.00815771583956492,0.00475866757307954,0.321889870836166
California,2021-05-02,1650,176,372,14,8,969,3189,0.517403574788335,0.0551897146440891,0.116650987770461,0.00439009093759799,0.00250862339291314,0.303857008466604
California,2021-05-09,1322,92,262,26,6,653,2361,0.55993223210504,0.0389665396018636,0.110969927996612,0.0110122829309615,0.00254129606099111,0.276577721304532
California,2021-05-16,1086,105,222,11,18,562,2004,0.541916167664671,0.0523952095808383,0.110778443113772,0.00548902195608782,0.00898203592814371,0.280439121756487
California,2021-05-23,730,176,218,10,28,302,1464,0.498633879781421,0.120218579234973,0.148907103825137,0.00683060109289617,0.0191256830601093,0.206284153005464
California,2021-05-30,652,321,207,0,24,232,1436,0.454038997214485,0.223537604456825,0.144150417827298,0,0.0167130919220056,0.161559888579387
California,2021-06-06,547,572,239,5,31,256,1650,0.331515151515152,0.346666666666667,0.144848484848485,0.00303030303030303,0.0187878787878788,0.155151515151515
California,2021-06-13,570,905,193,5,42,255,1970,0.289340101522843,0.459390862944162,0.0979695431472081,0.00253807106598985,0.0213197969543147,0.129441624365482
California,2021-06-20,466,1491,225,5,43,196,2426,0.192085737840066,0.614591920857378,0.0927452596867271,0.00206100577081616,0.017724649629019,0.0807914262159934
California,2021-06-27,388,2291,197,6,115,204,3201,0.121212121212121,0.71571383942518,0.0615432677288347,0.00187441424554827,0.0359262730396751,0.0637300843486411
California,2021-07-04,374,5341,240,2,175,209,6341,0.0589812332439678,0.842296167796877,0.0378489197287494,0.000315407664406245,0.0275981706355464,0.0329601009304526
California,2021-07-11,301,9794,209,8,251,226,10789,0.0278987858003522,0.907776438965613,0.019371582167022,0.000741495968115673,0.0232644359996293,0.0209472610992678
California,2021-07-18,231,15135,190,11,235,200,16002,0.0144356955380577,0.945819272590926,0.0118735158105237,0.000687414073240845,0.0146856642919635,0.0124984376952881
California,2021-07-25,175,19373,149,16,210,173,20096,0.00870820063694267,0.964022691082803,0.00741441082802548,0.000796178343949045,0.0104498407643312,0.00860867834394904
California,2021-08-01,71,19518,126,13,82,214,20024,0.00354574510587295,0.974730323611666,0.00629244906112665,0.000649220934878146,0.00409508589692369,0.0106871753895326
California,2021-08-08,33,16091,60,4,45,47,16280,0.00202702702702703,0.988390663390663,0.00368550368550369,0.000245700245700246,0.00276412776412776,0.00288697788697789
California,2021-08-15,14,10875,23,3,15,219,11149,0.00125571800161449,0.975423804825545,0.00206296528836667,0.000269082428917392,0.00134541214458696,0.0196430173109696
California,2021-08-22,7,10578,15,1,9,161,10771,0.0006498932318262,0.982081515179649,0.00139262835391329,9.28418902608857e-05,0.000835577012347971,0.0149475443320026
California,2021-08-29,9,8952,5,4,11,157,9138,0.000984898227183191,0.979645436638214,0.00054716568176844,0.000437732545414752,0.00120376449989057,0.017181002407529
California,2021-09-05,3,9101,4,1,4,240,9353,0.000320752699668556,0.973056773227841,0.000427670266224741,0.000106917566556185,0.000427670266224741,0.0256602159734844
California,2021-09-12,28,7799,19,0,5,245,8096,0.00345849802371542,0.963315217391304,0.00234683794466403,0,0.000617588932806324,0.0302618577075099
California,2021-09-19,0,6864,0,0,1,53,6918,0,0.992194275802255,0,0,0.000144550448106389,0.00766117374963862
California,2021-09-26,2,6902,0,0,1,49,6954,0.000287604256542997,0.992522289329882,0,0,0.000143802128271498,0.00704630428530342
California,2021-10-03,0,6810,0,0,1,57,6868,0,0.991555037856727,0,0,0.000145602795573675,0.00829935934769948
California,2021-10-10,0,6874,0,0,0,52,6926,0,0.992492058908461,0,0,0,0.00750794109153913
California,2021-10-17,0,8012,0,0,0,40,8052,0,0.995032290114257,0,0,0,0.00496770988574267
California,2021-10-24,0,9973,0,0,0,68,10041,0,0.993227766158749,0,0,0,0.00677223384125087
California,2021-10-31,0,10699,0,0,0,68,10767,0,0.99368440605554,0,0,0,0.00631559394445992
Florida,2020-11-01,0,0,0,0,0,49,49,0,0,0,0,0,1
Florida,2020-11-08,0,0,0,0,0,50,50,0,0,0,0,0,1
Florida,2020-11-15,0,0,0,0,0,143,143,0,0,0,0,0,1
Florida,2020-11-22,0,0,0,0,0,51,51,0,0,0,0,0,1
Florida,2020-11-29,0,0,0,0,0,138,138,0,0,0,0,0,1
Florida,2020-12-06,0,0,0,0,0,22,22,0,0,0,0,0,1
Florida,2020-12-13,1,0,0,0,0,81,82,0.0121951219512195,0,0,0,0,0.98780487804878
Florida,2020-12-20,6,0,0,0,0,150,156,0.0384615384615385,0,0,0,0,0.961538461538462
Florida,2020-12-27,35,0,0,0,0,130,165,0.212121212121212,0,0,0,0,0.787878787878788
Florida,2021-01-03,31,0,0,0,0,352,383,0.0809399477806789,0,0,0,0,0.919060052219321
Florida,2021-01-10,62,1,0,0,0,238,301,0.205980066445183,0.00332225913621262,0,0,0,0.790697674418605
Florida,2021-01-17,76,0,0,0,0,429,505,0.15049504950495,0,0,0,0,0.849504950495049
Florida,2021-01-24,133,0,1,0,0,599,733,0.181446111869031,0,0.00136425648021828,0,0,0.81718963165075
Florida,2021-01-31,104,0,0,1,0,491,596,0.174496644295302,0,0,0.00167785234899329,0,0.823825503355705
Florida,2021-02-07,223,0,4,1,0,1015,1243,0.17940466613033,0,0.00321802091713596,0.00080450522928399,0,0.81657280772325
Florida,2021-02-14,353,0,7,3,0,1014,1377,0.256354393609296,0,0.00508351488743646,0.00217864923747277,0,0.736383442265795
Florida,2021-02-21,383,0,13,4,0,849,1249,0.306645316253002,0,0.0104083266613291,0.00320256204963971,0,0.679743795036029
Florida,2021-02-28,621,0,16,2,0,692,1331,0.46656649135988,0,0.0120210368144252,0.00150262960180316,0,0.519909842223892
Florida,2021-03-07,1168,0,42,10,2,849,2071,0.563978754225012,0,0.0202800579430227,0.00482858522452921,0.000965717044905843,0.40994688556253
Florida,2021-03-14,1441,0,67,8,6,948,2470,0.583400809716599,0,0.0271255060728745,0.00323886639676113,0.00242914979757085,0.383805668016194
Florida,2021-03-21,1460,0,82,1,2,821,2366,0.617075232459848,0,0.0346576500422654,0.000422654268808115,0.00084530853761623,0.346999154691462
Florida,2021-03-28,1727,0,159,10,6,850,2752,0.627543604651163,0,0.0577761627906977,0.00363372093023256,0.00218023255813953,0.308866279069767
Florida,2021-04-04,2237,2,256,5,10,844,3354,0.666964818127609,0.000596302921884317,0.0763267740011926,0.00149075730471079,0.00298151460942159,0.251639833035182
Florida,2021-04-11,2222,4,260,8,17,739,3250,0.683692307692308,0.00123076923076923,0.08,0.00246153846153846,0.00523076923076923,0.227384615384615
Florida,2021-04-18,2089,15,284,8,17,589,3002,0.695869420386409,0.00499666888740839,0.0946035976015989,0.00266489007328448,0.00566289140572951,0.19620253164557
Florida,2021-04-25,1908,21,307,13,46,454,2749,0.69407057111677,0.00763914150600218,0.111676973444889,0.00472899236085849,0.0167333575845762,0.165150963986904
Florida,2021-05-02,1565,33,275,13,38,400,2324,0.673407917383821,0.0141996557659208,0.118330464716007,0.00559380378657487,0.0163511187607573,0.172117039586919
Florida,2021-05-09,1176,16,239,13,35,258,1737,0.677029360967185,0.00921128382268279,0.137593552101324,0.00748416810592976,0.0201496833621186,0.14853195164076
Florida,2021-05-16,711,19,213,18,51,207,1219,0.583264971287941,0.0155865463494668,0.17473338802297,0.014766201804758,0.0418375717801477,0.169811320754717
Florida,2021-05-23,341,21,91,6,31,80,570,0.598245614035088,0.0368421052631579,0.159649122807018,0.0105263157894737,0.0543859649122807,0.140350877192982
Florida,2021-05-30,327,45,150,6,54,99,681,0.480176211453745,0.066079295154185,0.220264317180617,0.00881057268722467,0.079295154185022,0.145374449339207
Florida,2021-06-06,389,112,148,6,81,84,820,0.474390243902439,0.136585365853659,0.180487804878049,0.00731707317073171,0.0987804878048781,0.102439024390244
Florida,2021-06-13,417,234,187,8,105,75,1026,0.406432748538012,0.228070175438596,0.182261208576998,0.00779727095516569,0.10233918128655,0.0730994152046784
Florida,2021-06-20,415,554,191,9,141,91,1401,0.29621698786581,0.395431834403997,0.13633119200571,0.00642398286937901,0.100642398286938,0.0649536045681656
Florida,2021-06-27,296,1027,149,11,99,53,1635,0.181039755351682,0.628134556574924,0.091131498470948,0.00672782874617737,0.0605504587155963,0.0324159021406728
Florida,2021-07-04,236,1734,108,13,93,77,2261,0.10437859354268,0.766917293233083,0.0477664750110571,0.00574966828836798,0.0411322423706325,0.0340557275541796
Florida,2021-07-11,183,3064,124,7,131,103,3612,0.0506644518272425,0.84828349944629,0.0343300110741971,0.00193798449612403,0.0362679955703211,0.028516057585825
Florida,2021-07-18,152,5287,91,3,118,86,5737,0.0264946836325606,0.921561791877288,0.015861948753704,0.000522921387484748,0.0205682412410668,0.0149904131078961
Florida,2021-07-25,114,7369,90,1,98,129,7801,0.014613511088322,0.944622484296885,0.011536982438149,0.000128188693757211,0.0125624919882066,0.0165363414946802
Florida,2021-08-01,65,7963,57,1,70,273,8429,0.00771147229801874,0.944714675524973,0.00676236801518567,0.000118638035354135,0.00830466247478942,0.0323881836516787
Florida,2021-08-08,28,3438,8,0,20,35,3529,0.00793425899688297,0.97421365826013,0.00226693114196656,0,0.00566732785491641,0.00991782374610371
