State,week,new_cases
California,2020-11-01,34952
California,2020-11-08,51420
California,2020-11-15,79337
California,2020-11-22,95606
California,2020-11-29,128305
California,2020-12-06,209807
California,2020-12-13,286550
California,2020-12-20,264683
California,2020-12-27,273244
California,2021-01-03,275368
California,2021-01-10,278969
California,2021-01-17,184794
California,2021-01-24,139334
California,2021-01-31,96488
California,2021-02-07,70174
California,2021-02-14,44150
California,2021-02-21,35691
California,2021-02-28,26701
California,2021-03-07,25985
California,2021-03-14,18365
California,2021-03-21,17265
California,2021-03-28,18758
California,2021-04-04,17273
California,2021-04-11,18888
California,2021-04-18,13773
California,2021-04-25,12341
California,2021-05-02,12466
California,2021-05-09,10847
California,2021-05-16,8116
California,2021-05-23,11654
California,2021-05-30,5584
California,2021-06-06,6637
California,2021-06-13,6396
California,2021-06-20,8618
California,2021-06-27,9171.63864779102
California,2021-07-04,10889
California,2021-07-11,23532
California,2021-07-18,43051
California,2021-07-25,57654
California,2021-08-01,89637
California,2021-08-08,82274
California,2021-08-15,99954
California,2021-08-22,93455
California,2021-08-29,96188
California,2021-09-05,72275
California,2021-09-12,68311
California,2021-09-19,46661
California,2021-09-26,52305
California,2021-10-03,43286
California,2021-10-10,38497
California,2021-10-17,38415
California,2021-10-24,44809
California,2021-10-31,0
Florida,2020-11-01,33929
Florida,2020-11-08,40507
Florida,2020-11-15,52326
Florida,2020-11-22,52497
Florida,2020-11-29,64232
Florida,2020-12-06,66806
Florida,2020-12-13,74470
Florida,2020-12-20,68595
Florida,2020-12-27,91046
Florida,2021-01-03,109919
Florida,2021-01-10,92479
Florida,2021-01-17,76655
Florida,2021-01-24,70800
Florida,2021-01-31,54360
Florida,2021-02-07,48507
Florida,2021-02-14,41433
Florida,2021-02-21,40088
Florida,2021-02-28,34085
Florida,2021-03-07,32056
Florida,2021-03-14,31206
Florida,2021-03-21,35876
Florida,2021-03-28,37760
Florida,2021-04-04,42282
Florida,2021-04-11,43723
Florida,2021-04-18,38998
Florida,2021-04-25,34471
Florida,2021-05-02,27548
Florida,2021-05-09,22208
Florida,2021-05-16,18308
Florida,2021-05-23,13980
Florida,2021-05-30,11678
Florida,2021-06-06,11255
Florida,2021-06-13,10879
Florida,2021-06-20,12786
Florida,2021-06-27,17847
Florida,2021-07-04,28327
Florida,2021-07-11,52473
Florida,2021-07-18,84672
Florida,2021-07-25,121697
Florida,2021-08-01,140485
Florida,2021-08-08,150651
Florida,2021-08-15,152814
Florida,2021-08-22,151855
Florida,2021-08-29,126288
Florida,2021-09-05,92188
Florida,2021-09-12,68553
Florida,2021-09-19,48324
Florida,2021-09-26,33770
Florida,2021-10-03,24491
Florida,2021-10-10,17879
Florida,2021-10-17,14990
Florida,2021-10-24,12343
Florida,2021-10-31,970
Georgia,2020-11-01,14858
Georgia,2020-11-08,19054
Georgia,2020-11-15,23899
Georgia,2020-11-22,20760
Georgia,2020-11-29,31807
Georgia,2020-12-06,38669
Georgia,2020-12-13,44260
Georgia,2020-12-20,46488
Georgia,2020-12-27,56334
Georgia,2021-01-03,63730
Georgia,2021-01-10,60811
Georgia,2021-01-17,52495
Georgia,2021-01-24,43700
Georgia,2021-01-31,31544
Georgia,2021-02-07,25406
Georgia,2021-02-14,20939
