taxa	date
EPI_ISL_1540999	2021-03-14
EPI_ISL_1167930	2020-12-27
EPI_ISL_1167925	2020-12-30
EPI_ISL_1167927	2021-01-03
EPI_ISL_1167926	2020-12-30
EPI_ISL_1167924	2020-12-29
EPI_ISL_2391334	2021-05-10
EPI_ISL_2391065	2021-04-27
EPI_ISL_2391154	2021-04-26
EPI_ISL_2391235	2021-05-03
EPI_ISL_2391237	2021-05-03
EPI_ISL_2391240	2021-05-03
EPI_ISL_2391269	2021-05-04
EPI_ISL_2391421	2021-05-08
EPI_ISL_2509162	2021-05-15
EPI_ISL_2543594	2021-05-23
EPI_ISL_2543507	2021-05-20
EPI_ISL_2557304	2021-05-26
EPI_ISL_2557275	2021-05-25
EPI_ISL_2597291	2021-04-20
EPI_ISL_2009598	2021-04-18
EPI_ISL_2659165	2021-05-30
EPI_ISL_2663414	2021-05-30
EPI_ISL_2663446	2021-05-31
EPI_ISL_1300449	2020-12-30
EPI_ISL_1300519	2021-02-10
EPI_ISL_1321464	2021-02-04
EPI_ISL_1321461	2021-02-27
EPI_ISL_1321462	2021-03-01
EPI_ISL_1321460	2021-02-21
EPI_ISL_1321467	2021-03-05
EPI_ISL_1321447	2021-03-03
EPI_ISL_1534577	2021-03-27
EPI_ISL_1534585	2021-03-29
EPI_ISL_1470416	2021-03-09
EPI_ISL_1470544	2021-03-27
EPI_ISL_1534553	2021-03-13
EPI_ISL_1541051	2021-04-04
EPI_ISL_1541044	2021-04-03
EPI_ISL_1541000	2021-03-14
EPI_ISL_2756263	2021-06-06
EPI_ISL_1633377	2021-03-31
EPI_ISL_1633375	2021-04-01
EPI_ISL_1633376	2021-03-31
EPI_ISL_1633374	2021-04-01
EPI_ISL_1633509	2021-04-02
EPI_ISL_1633522	2021-04-04
EPI_ISL_1633409	2021-04-06
EPI_ISL_2508578	2021-05-10
EPI_ISL_1712377	2021-04-12
EPI_ISL_1712375	2021-04-12
EPI_ISL_1712376	2021-04-12
EPI_ISL_2508570	2021-05-11
EPI_ISL_2597292	2021-04-20
EPI_ISL_2597293	2021-04-20
EPI_ISL_2597295	2021-04-20
EPI_ISL_1321457	2021-02-25
EPI_ISL_1321455	2021-03-08
EPI_ISL_2009278	2021-04-14
EPI_ISL_2009536	2021-04-26
EPI_ISL_2009208	2021-04-12
EPI_ISL_2009206	2021-04-09
EPI_ISL_2009599	2021-04-18
