head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
22	23	0.027258000000000004	22.119853689263902	-4662953.12101355	-8095819.904668917	-4648329.744371801	-8073940.9977246225	-72.72598757843134	-38.77656993121688	-72.52944601335247	-38.67366511137737	Nueva Imperial	False	Temuco	False	2021-01-08	2021.02177	2021-01-18	2021.0490280000001
22	24	0.08205200000000001	49.68941574689745	-4662953.12101355	-8095819.904668917	-4479297.661101921	-8121171.219393061	-72.72598757843134	-38.77656993121688	-72.95372231332358	-37.47337452093086	Nueva Imperial	False	Nacimiento	False	2021-01-08	2021.02177	2021-02-07	2021.103822
21	22	0.008535999999999988	27.37813619764569	-4733817.688964779	-8117838.577680008	-4662953.12101355	-8095819.904668917	-72.92378468345028	-39.273125308991865	-72.72598757843134	-38.77656993121688	Tolten	False	Nueva Imperial	False	2021-01-05	2021.013234	2021-01-08	2021.02177
21	25	0.038532999999999984	258.66675291134214	-4733817.688964779	-8117838.577680008	-5743554.195240529	-7990549.406644203	-72.92378468345028	-39.273125308991865	-71.78032660500661	-45.9621399516518	Tolten	False	Coihaique	False	2021-01-05	2021.013234	2021-01-19	2021.0517670000002
20	21	0.027712000000000014	37.756642223895525	-4817314.676935739	-8150620.537674261	-4733817.688964779	-8117838.577680008	-73.2182700405126	-39.85367672089211	-72.92378468345028	-39.273125308991865	Mariquina	False	Tolten	False	2020-12-25	2020.985522	2021-01-05	2021.013234
26	27	0.00035400000000002096	12.417672587834376	-4815958.991831182	-8152919.7049529115	-4816081.49455523	-8165351.258585982	-73.2389238115842	-39.84428984047595	-73.35059835792359	-39.84513811305559	Mariquina	False	Valdivia	False	2020-12-26	2020.9884	2020-12-26	2020.988754
26	28	0.005832999999999977	9.357388732936567	-4815958.991831182	-8152919.7049529115	-4813835.538365889	-8143563.794483339	-73.2389238115842	-39.84428984047595	-73.15487823786749	-39.82958426576275	Mariquina	False	Mariquina	False	2020-12-26	2020.9884	2020-12-28	2020.9942330000001
20	26	0.0028779999999999917	2.316259682759928	-4817314.676935739	-8150620.537674261	-4815958.991831182	-8152919.7049529115	-73.2182700405126	-39.85367672089211	-73.2389238115842	-39.84428984047595	Mariquina	False	Mariquina	False	2020-12-25	2020.985522	2020-12-26	2020.9884
19	20	0.020006000000000024	3.870605952427126	-4825875.184287583	-8147246.662553506	-4817314.676935739	-8150620.537674261	-73.18796200463575	-39.91292053093436	-73.2182700405126	-39.85367672089211	Mariquina	False	Mariquina	False	2020-12-18	2020.965516	2020-12-25	2020.985522
19	29	0.064334	30.09444234822215	-4825875.184287583	-8147246.662553506	-4816171.428696416	-8117197.418518974	-73.18796200463575	-39.91292053093436	-72.91802505271119	-39.84576085710332	Mariquina	False	Mariquina	False	2020-12-18	2020.965516	2021-01-11	2021.0298500000001
