head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
67	68	0.010001	29.777260737155512	-4476470.466857286	-8085033.834342495	-4491308.201595377	-8114637.945623976	-72.62909466013322	-37.453130125008514	-72.89503291650253	-37.55931550994563	Nacimiento	False	Nacimiento	False	2021-09-12	2021.696559	2021-09-15	2021.7065599999999
67	69	0.004521	1.599717826746008	-4476470.466857286	-8085033.834342495	-4470385.523700896	-8085716.996880352	-72.62909466013322	-37.453130125008514	-72.63523161362616	-37.40953955624793	Nacimiento	False	Los Angeles	False	2021-09-12	2021.696559	2021-09-13	2021.70108
66	67	0.003085	9.68393109415119	-4486673.53156583	-8075649.310694979	-4476470.466857286	-8085033.834342495	-72.54479204986578	-37.526164122336915	-72.62909466013322	-37.453130125008514	Negrete	False	Nacimiento	False	2021-09-11	2021.693474	2021-09-12	2021.696559
66	70	0.002127	2.3183297761251835	-4486673.53156583	-8075649.310694979	-4496393.124847393	-8075658.828433744	-72.54479204986578	-37.526164122336915	-72.54487754916781	-37.59567041466903	Negrete	False	Negrete	False	2021-09-11	2021.693474	2021-09-11	2021.695601
65	66	0.015361	15.676501726614152	-4469510.561270348	-8060505.441892512	-4486673.53156583	-8075649.310694979	-72.40875236180621	-37.40326950287075	-72.54479204986578	-37.526164122336915	Los Angeles	False	Negrete	False	2021-09-05	2021.678113	2021-09-11	2021.693474
65	71	0.00379	1.5206497218990507	-4469510.561270348	-8060505.441892512	-4467873.814689303	-8061975.789060542	-72.40875236180621	-37.40326950287075	-72.42196071514624	-37.391539020318135	Los Angeles	False	Los Angeles	False	2021-09-05	2021.678113	2021-09-06	2021.681903
64	65	0.001216	7.298853138641649	-4468815.99698831	-8053200.33857073	-4469510.561270348	-8060505.441892512	-72.34312950214591	-37.398291820842715	-72.40875236180621	-37.40326950287075	Los Angeles	False	Los Angeles	False	2021-09-05	2021.676897	2021-09-05	2021.678113
72	73	0.002974	3.332123531563875	-4465730.1590982955	-8049370.6518994905	-4452619.992196284	-8050376.28299046	-72.30872684144428	-37.376172745364016	-72.31776057923632	-37.28212661557745	Los Angeles	False	Los Angeles	False	2021-09-08	2021.6871469999999	2021-09-09	2021.6901209999999
72	74	0.002974	7.885643341624815	-4465730.1590982955	-8049370.6518994905	-4486022.736239971	-8043199.947664454	-72.30872684144428	-37.376172745364016	-72.25329446216314	-37.521507850353416	Los Angeles	False	Los Angeles	False	2021-09-08	2021.6871469999999	2021-09-09	2021.6901209999999
64	72	0.01025	3.8975995424780443	-4468815.99698831	-8053200.33857073	-4465730.1590982955	-8049370.6518994905	-72.34312950214591	-37.398291820842715	-72.30872684144428	-37.376172745364016	Los Angeles	False	Los Angeles	False	2021-09-05	2021.676897	2021-09-08	2021.6871469999999
