head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
18	19	0.029368000000000005	12.897470570153692	-5637309.914035976	-7998190.434438968	-5620854.248295084	-8006168.805153105	-45.29251249640185	-71.8489671255508	-45.18807684705467	-71.92063804909962	Coihaique	False	Coihaique	False	2021-05-07	2021.346099	2021-05-18	2021.375467
18	20	0.007450000000000012	32.12567035868217	-5637309.914035976	-7998190.434438968	-5605405.407307903	-7965664.618507306	-45.29251249640185	-71.8489671255508	-45.08985512190982	-71.5567827497521	Coihaique	False	Coihaique	False	2021-05-07	2021.346099	2021-05-10	2021.353549
17	18	0.00878699999999999	31.838643630454975	-5680101.651695633	-8013004.328120201	-5637309.914035976	-7998190.434438968	-45.563185109671956	-71.98204259666254	-45.29251249640185	-71.8489671255508	Coihaique	False	Coihaique	False	2021-05-04	2021.337312	2021-05-07	2021.346099
17	21	0.008018000000000025	17.357930107021144	-5680101.651695633	-8013004.328120201	-5699417.652307991	-8028555.008038187	-45.563185109671956	-71.98204259666254	-45.68493757844765	-72.1217367311503	Coihaique	False	Coihaique	False	2021-05-04	2021.337312	2021-05-07	2021.34533
16	17	0.019069999999999976	7.914009344597196	-5689171.234594083	-8006267.067886103	-5680101.651695633	-8013004.328120201	-45.62038558218025	-71.92152075824872	-45.563185109671956	-71.98204259666254	Coihaique	False	Coihaique	False	2021-04-27	2021.318242	2021-05-04	2021.337312
16	22	0.002430999999999961	1391.0715499008054	-5689171.234594083	-8006267.067886103	-3886936.449935441	-7969631.201598461	-45.62038558218025	-71.92152075824872	-33.1127350537633	-71.59241517191724	Coihaique	False	Casa Blanca	False	2021-04-27	2021.318242	2021-04-28	2021.320673
15	16	0.004603000000000024	4.17366173944083	-5694143.602021107	-8002977.36442405	-5689171.234594083	-8006267.067886103	-45.65172063905874	-71.8919688492469	-45.62038558218025	-71.92152075824872	Coihaique	False	Coihaique	False	2021-04-25	2021.313639	2021-04-27	2021.318242
23	24	0.0023180000000000422	21.719924111680196	-5700070.474872925	-7993067.344871995	-5731122.017213421	-7991727.665680936	-45.68904779514933	-71.80294562895155	-45.88419940788321	-71.7909110860201	Coihaique	False	Coihaique	False	2021-04-26	2021.315615	2021-04-27	2021.317933
23	25	0.0023180000000000422	7.194434000673243	-5700070.474872925	-7993067.344871995	-5690152.939038556	-7990387.097841357	-45.68904779514933	-71.80294562895155	-45.62657352244115	-71.77886856022317	Coihaique	False	Coihaique	False	2021-04-26	2021.315615	2021-04-27	2021.317933
15	23	0.0019759999999999778	8.066932233542799	-5694143.602021107	-8002977.36442405	-5700070.474872925	-7993067.344871995	-45.65172063905874	-71.8919688492469	-45.68904779514933	-71.80294562895155	Coihaique	False	Coihaique	False	2021-04-25	2021.313639	2021-04-26	2021.315615
14	15	0.0019959999999999978	1.480210670102471	-5693614.394892171	-8005029.661723558	-5694143.602021107	-8002977.36442405	-45.64838649981343	-71.91040494956395	-45.65172063905874	-71.8919688492469	Coihaique	False	Coihaique	False	2021-04-24	2021.311643	2021-04-25	2021.313639
14	26	0.19259200000000004	47.67059925959441	-5693614.394892171	-8005029.661723558	-5752429.065461481	-8039811.641011525	-45.64838649981343	-71.91040494956395	-46.01771139678007	-72.22285678562703	Coihaique	False	Rio Ibanez	False	2021-04-24	2021.311643	2021-07-04	2021.504235
13	14	0.008465999999999974	3.592992836859394	-5688580.982929337	-8006008.838703733	-5693614.394892171	-8005029.661723558	-45.61666474038342	-71.91920104603544	-45.64838649981343	-71.91040494956395	Coihaique	False	Coihaique	False	2021-04-21	2021.303177	2021-04-24	2021.311643
29	30	0.020415000000000016	70.31490094281278	-5712955.8396008145	-7997028.167660688	-5612941.99505325	-7995936.750564659	-45.77011274307859	-71.83852630543927	-45.1377930469999	-71.82872193885215	Coihaique	False	Coihaique	False	2021-06-21	2021.47012	2021-06-29	2021.4905350000001
29	31	0.0039759999999999796	18.211157177556114	-5712955.8396008145	-7997028.167660688	-5738875.504333797	-7994042.867589604	-45.77011274307859	-71.83852630543927	-45.932820960002694	-71.81170889862389	Coihaique	False	Coihaique	False	2021-06-21	2021.47012	2021-06-23	2021.4740960000001
28	29	0.11413800000000002	10.952938632035716	-5711389.901981222	-8012667.921077527	-5712955.8396008145	-7997028.167660688	-45.7602673718652	-71.97902060078134	-45.77011274307859	-71.83852630543927	Coihaique	False	Coihaique	False	2021-05-10	2021.355982	2021-06-21	2021.47012
28	32	0.003045999999999993	30.58869893674795	-5711389.901981222	-8012667.921077527	-5742969.808985884	-8043159.098084181	-45.7602673718652	-71.97902060078134	-45.95847875130584	-72.25292750414005	Coihaique	False	Coihaique	False	2021-05-10	2021.355982	2021-05-12	2021.359028
27	28	0.015722000000000014	14.302130864611133	-5693452.805616066	-8002845.121107572	-5711389.901981222	-8012667.921077527	-45.64736840654352	-71.89078088732275	-45.7602673718652	-71.97902060078134	Coihaique	False	Coihaique	False	2021-05-05	2021.34026	2021-05-10	2021.355982
27	33	0.016029000000000015	5.800539676372936	-5693452.805616066	-8002845.121107572	-5688124.8898804495	-7996490.03716438	-45.64736840654352	-71.89078088732275	-45.61378944048564	-71.83369219694242	Coihaique	False	Coihaique	False	2021-05-05	2021.34026	2021-05-11	2021.356289
13	27	0.03708299999999998	4.066845401063058	-5688580.982929337	-8006008.838703733	-5693452.805616066	-8002845.121107572	-45.61666474038342	-71.91920104603544	-45.64736840654352	-71.89078088732275	Coihaique	False	Coihaique	False	2021-04-21	2021.303177	2021-05-05	2021.34026
12	13	0.00396300000000005	5.594800271214058	-5681171.999215108	-8008977.815394222	-5688580.982929337	-8006008.838703733	-45.569938681807834	-71.94587181742804	-45.61666474038342	-71.91920104603544	Coihaique	False	Coihaique	False	2021-04-20	2021.2992140000001	2021-04-21	2021.303177
34	35	0.030814000000000008	8.159895007996644	-5632908.661288963	-7999637.263374881	-5639527.839186956	-7990113.405591351	-45.26459893863974	-71.86196421101717	-45.30657374921037	-71.77640994090991	Coihaique	False	Coihaique	False	2021-06-11	2021.443283	2021-06-23	2021.474097
