head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
17	18	0.004973	3.016315410731417	-3876196.309856096	-7961268.644606351	-3879543.1552730463	-7959976.590074594	-33.03150344213494	-71.51729304431392	-33.05682497840215	-71.50568632097598	Valparaiso	False	Valparaiso	False	2021-08-09	2021.603219	2021-08-10	2021.6081920000001
17	19	0.004973	2.534523769529799	-3876196.309856096	-7961268.644606351	-3873523.279325598	-7962663.234255167	-33.03150344213494	-71.51729304431392	-33.01127457197779	-71.52982085627998	Valparaiso	False	Vina del Mar	False	2021-08-09	2021.603219	2021-08-10	2021.6081920000001
16	17	0.015062	0.9576596238342165	-3875131.9070514617	-7960863.786479985	-3876196.309856096	-7961268.644606351	-33.02344885197716	-71.51365614188578	-33.03150344213494	-71.51729304431392	Valparaiso	False	Valparaiso	False	2021-08-03	2021.5881570000001	2021-08-09	2021.603219
16	20	0.020035	1.220466236618381	-3875131.9070514617	-7960863.786479985	-3873686.8234061403	-7960740.376171131	-33.02344885197716	-71.51365614188578	-33.01251236991123	-71.51254752821916	Valparaiso	False	Vina del Mar	False	2021-08-03	2021.5881570000001	2021-08-10	2021.6081920000001
15	16	0.004297	99.09804655374028	-3943216.236452982	-7863889.665309667	-3875131.9070514617	-7960863.786479985	-33.537159115924005	-70.64252278977222	-33.02344885197716	-71.51365614188578	Pirque	False	Valparaiso	False	2021-08-02	2021.5838600000002	2021-08-03	2021.5881570000001
22	23	0.017663	2.5653063654514163	-3935702.1183046997	-7850708.464455599	-3938754.2895332607	-7850425.631862358	-33.480613506602445	-70.52411404786963	-33.50358635229463	-70.52157331945608	San Jode de Maipo	False	San Jode de Maipo	False	2021-09-02	2021.6699820000001	2021-09-08	2021.6876450000002
22	24	0.001224	0.799818060946005	-3935702.1183046997	-7850708.464455599	-3934856.3228188665	-7850261.868249265	-33.480613506602445	-70.52411404786963	-33.474246350277085	-70.52010220588983	San Jode de Maipo	False	San Jode de Maipo	False	2021-09-02	2021.6699820000001	2021-09-02	2021.6712060000002
21	22	0.015857	7.270934683444718	-3936237.638940819	-7859419.221962385	-3935702.1183046997	-7850708.464455599	-33.48464466676244	-70.60236411391568	-33.480613506602445	-70.52411404786963	San Jode de Maipo	False	San Jode de Maipo	False	2021-08-27	2021.654125	2021-09-02	2021.6699820000001
21	25	0.0253	6.2299516278777	-3936237.638940819	-7859419.221962385	-3933041.522208204	-7866171.572753544	-33.48464466676244	-70.60236411391568	-33.46058292053933	-70.66302151311002	San Jode de Maipo	False	Puente Alto	False	2021-08-27	2021.654125	2021-09-05	2021.679425
15	21	0.070265	6.9253233309179	-3943216.236452982	-7863889.665309667	-3936237.638940819	-7859419.221962385	-33.537159115924005	-70.64252278977222	-33.48464466676244	-70.60236411391568	Pirque	False	San Jode de Maipo	False	2021-08-02	2021.5838600000002	2021-08-27	2021.654125
14	15	0.010024	3.2753042771030434	-3947087.984679727	-7864480.680630602	-3943216.236452982	-7863889.665309667	-33.56628042227168	-70.64783197073167	-33.537159115924005	-70.64252278977222	Pirque	False	Pirque	False	2021-07-29	2021.573836	2021-08-02	2021.5838600000002
26	27	0.00578	0.6064937925674863	-3942406.701589333	-7864003.605625521	-3941918.909968007	-7863464.764247271	-33.53106895726723	-70.64354633304431	-33.52739907503906	-70.63870583858633	Pirque	False	Pirque	False	2021-08-19	2021.63255	2021-08-21	2021.6383300000002
26	28	0.00578	0.49873528558747016	-3942406.701589333	-7864003.605625521	-3942653.7539952016	-7864548.734923705	-33.53106895726723	-70.64354633304431	-33.53292758693378	-70.64844331284812	Pirque	False	Pirque	False	2021-08-19	2021.63255	2021-08-21	2021.6383300000002
14	26	0.058714	3.9354278078597797	-3947087.984679727	-7864480.680630602	-3942406.701589333	-7864003.605625521	-33.56628042227168	-70.64783197073167	-33.53106895726723	-70.64354633304431	Pirque	False	Pirque	False	2021-07-29	2021.573836	2021-08-19	2021.63255
13	14	0.168269	57.60275300107364	-4014656.129632369	-7878975.191182149	-3947087.984679727	-7864480.680630602	-34.072894315424996	-70.77803837437453	-33.56628042227168	-70.64783197073167	Codegua	False	Pirque	False	2021-05-29	2021.4055670000002	2021-07-29	2021.573836
30	31	0.003084	23.10822291670012	-4011711.3937131613	-7874259.17536599	-3995095.6659305757	-7851902.43359699	-34.05087840249131	-70.73567368349649	-33.92654509651764	-70.53483965515441	Codegua	False	Mostazal	False	2021-05-31	2021.4133270000002	2021-06-01	2021.4164110000002
30	32	0.003084	1.359230435697552	-4011711.3937131613	-7874259.17536599	-4012763.7834231043	-7875516.062901944	-34.05087840249131	-70.73567368349649	-34.058747112153505	-70.74696449633615	Codegua	False	Codegua	False	2021-05-31	2021.4133270000002	2021-06-01	2021.4164110000002
29	30	0.001681	1.8163561640082444	-4012961.1112394733	-7876059.43176398	-4011711.3937131613	-7874259.17536599	-34.06022244863059	-70.75184566187296	-34.05087840249131	-70.73567368349649	Codegua	False	Codegua	False	2021-05-31	2021.411646	2021-05-31	2021.4133270000002
29	33	0.114354	385.99469034947595	-4012961.1112394733	-7876059.43176398	-4418912.46236574	-8119830.49489474	-34.06022244863059	-70.75184566187296	-37.03978021535668	-72.94167838023724	Codegua	False	Hualqui	False	2021-05-31	2021.411646	2021-07-11	2021.526
13	29	0.006079	2.7939967894349285	-4014656.129632369	-7878975.191182149	-4012961.1112394733	-7876059.43176398	-34.072894315424996	-70.77803837437453	-34.06022244863059	-70.75184566187296	Codegua	False	Codegua	False	2021-05-29	2021.4055670000002	2021-05-31	2021.411646
12	13	0.009774	7.37572183891197	-4021859.767464804	-7884185.095201027	-4014656.129632369	-7878975.191182149	-34.1267269846202	-70.82483973846406	-34.072894315424996	-70.77803837437453	Requinao	False	Codegua	False	2021-05-25	2021.3957930000001	2021-05-29	2021.4055670000002
12	34	0.034317	2.8796731128600097	-4021859.767464804	-7884185.095201027	-4019556.031711593	-7886786.970158719	-34.1267269846202	-70.82483973846406	-34.10951496351756	-70.8482127788827	Requinao	False	Olivar	False	2021-05-25	2021.3957930000001	2021-06-06	2021.4301100000002
11	12	0.002013	2.803694889991352	-4025056.4276089137	-7885274.6068568025	-4021859.767464804	-7884185.095201027	-34.150604501072	-70.83462698819017	-34.1267269846202	-70.82483973846406	Requinao	False	Requinao	False	2021-05-24	2021.39378	2021-05-25	2021.3957930000001
11	35	0.022631	7.84176963289605	-4025056.4276089137	-7885274.6068568025	-4028583.868103151	-7876473.434571726	-34.150604501072	-70.83462698819017	-34.17694488427805	-70.75556471237164	Requinao	False	Requinao	False	2021-05-24	2021.39378	2021-06-01	2021.4164110000002
10	11	0.002726	6.636554701367911	-4030273.821532027	-7891358.304743959	-4025056.4276089137	-7885274.6068568025	-34.189561299555216	-70.88927777615014	-34.150604501072	-70.83462698819017	Requinao	False	Requinao	False	2021-05-23	2021.3910540000002	2021-05-24	2021.39378
10	36	0.0007	7.266649939566456	-4030273.821532027	-7891358.304743959	-4037626.2475459	-7896137.30070949	-34.189561299555216	-70.88927777615014	-34.24442896235179	-70.93220822733596	Requinao	False	Requinao	False	2021-05-23	2021.3910540000002	2021-05-23	2021.3917540000002
9	10	0.002126	14.21241590995442	-4013767.481129603	-7886835.060414877	-4030273.821532027	-7891358.304743959	-34.06625106528116	-70.84864478100393	-34.189561299555216	-70.88927777615014	Graneros	False	Requinao	False	2021-05-22	2021.3889280000003	2021-05-23	2021.3910540000002
39	40	0.006634	0.16004682580764196	-3942963.0169023126	-7863929.769975403	-3943123.081142271	-7864035.07360833	-33.53525418306453	-70.64288305611417	-33.53645832736129	-70.64382901474349	Pirque	False	Pirque	False	2021-07-13	2021.530324	2021-07-15	2021.5369580000001
39	41	0.069648	396.78118862516834	-3942963.0169023126	-7863929.769975403	-3485146.504021693	-7946567.613278339	-33.53525418306453	-70.64288305611417	-30.023121221283322	-71.38523143297118	Pirque	False	Coquimbo	False	2021-07-13	2021.530324	2021-08-07	2021.5999720000002
38	39	4.100000000001e-05	0.013901601664001598	-3942949.228489757	-7863920.449960205	-3942963.0169023126	-7863929.769975403	-33.53515045367994	-70.64279933299316	-33.53525418306453	-70.64288305611417	Pirque	False	Pirque	False	2021-07-13	2021.530283	2021-07-13	2021.530324
38	42	0.045032	1.6419998779019827	-3942949.228489757	-7863920.449960205	-3941109.776699553	-7863232.546434829	-33.53515045367994	-70.64279933299316	-33.52131124415592	-70.63661979048472	Pirque	False	Pirque	False	2021-07-13	2021.530283	2021-07-29	2021.575315
37	38	0.036707	2.209820987219007	-3945539.620589194	-7864442.558258159	-3942949.228489757	-7863920.449960205	-33.554635609760055	-70.64748951163334	-33.53515045367994	-70.64279933299316	Pirque	False	Pirque	False	2021-06-30	2021.493576	2021-07-13	2021.530283
43	44	0.030199	2.1594458177060756	-3942924.2096879464	-7863211.38443221	-3945117.9344695695	-7864578.966093809	-33.534962238442844	-70.63642968898075	-33.55146395205158	-70.64871488406972	Pirque	False	Pirque	False	2021-07-07	2021.514979	2021-07-18	2021.545178
43	45	0.211021	18.65498197773241	-3942924.2096879464	-7863211.38443221	-3923269.5071989545	-7852666.291573013	-33.534962238442844	-70.63642968898075	-33.38697316142595	-70.54170150810201	Pirque	False	Santiago	False	2021-07-07	2021.514979	2021-09-22	2021.726
37	43	0.021403	2.4157986758876455	-3945539.620589194	-7864442.558258159	-3942924.2096879464	-7863211.38443221	-33.554635609760055	-70.64748951163334	-33.534962238442844	-70.63642968898075	Pirque	False	Pirque	False	2021-06-30	2021.493576	2021-07-07	2021.514979
9	37	0.104648	59.84772318256892	-4013767.481129603	-7886835.060414877	-3945539.620589194	-7864442.558258159	-34.06625106528116	-70.84864478100393	-33.554635609760055	-70.64748951163334	Graneros	False	Pirque	False	2021-05-22	2021.3889280000003	2021-06-30	2021.493576
8	9	0.001884	1.5846514014269926	-4011871.229140153	-7886640.715330089	-4013767.481129603	-7886835.060414877	-34.052073538209015	-70.84689894940335	-34.06625106528116	-70.84864478100393	Graneros	False	Graneros	False	2021-05-22	2021.387044	2021-05-22	2021.3889280000003
8	46	0.278683	72.02931574659385	-4011871.229140153	-7886640.715330089	-3927025.203734225	-7870748.395544772	-34.052073538209015	-70.84689894940335	-33.4152711885979	-70.7041358117707	Graneros	False	Santiago	False	2021-05-22	2021.387044	2021-08-31	2021.665727
7	8	0.002825	0.19291474693556754	-4012032.334020749	-7886808.4690557355	-4011871.229140153	-7886640.715330089	-34.05327814879238	-70.84840590676052	-34.052073538209015	-70.84689894940335	Graneros	False	Graneros	False	2021-05-21	2021.384219	2021-05-22	2021.387044
48	49	0.01086	10.979072316611745	-4777562.16380395	-8011989.000082577	-4764898.621192054	-8018427.07269627	-39.57788997710225	-71.9729217497166	-39.48980215423441	-72.03075594000813	Villarrica	False	Villarrica	False	2021-08-02	2021.5836350000002	2021-08-05	2021.594495
48	50	0.01086	24.497435164630502	-4777562.16380395	-8011989.000082577	-4807810.502159895	-8002332.113977388	-39.57788997710225	-71.9729217497166	-39.78784174272643	-71.88617246586368	Villarrica	False	Panguipulli	False	2021-08-02	2021.5836350000002	2021-08-05	2021.594495
47	48	0.058624	5.054996672321523	-4771036.151627192	-8011600.52552086	-4777562.16380395	-8011989.000082577	-39.53250899267612	-71.96943202335379	-39.57788997710225	-71.9729217497166	Villarrica	False	Villarrica	False	2021-07-11	2021.5250110000002	2021-08-02	2021.5836350000002
