taxa	lat	long
EPI_ISL_11976011	-33.4387132655863	-70.5463446565972
EPI_ISL_12144483	-33.1901294088679	-70.2674454185478
EPI_ISL_12144506	-33.4227943625545	-70.5671226263281
EPI_ISL_12144530	-33.5072143872803	-70.7736624417205
EPI_ISL_12144531	-28.9088616458935	-70.7737224968292
EPI_ISL_12144532	-33.3505627400054	-70.6987117343662
EPI_ISL_3341921	-33.3768265479831	-70.5349852093813
EPI_ISL_3341922	-33.384953122044	-70.5923075914504
EPI_ISL_3536121	-33.4710877108971	-70.6712774300811
EPI_ISL_3537185	-33.4521050086606	-70.5162810600298
EPI_ISL_3537300	-33.4481306043403	-70.5259657110896
EPI_ISL_3546358	-33.4601955674341	-70.540185075417
EPI_ISL_3546359	-33.4803256546818	-70.5120720777707
EPI_ISL_3546360	-33.4349781801253	-70.5088737138112
EPI_ISL_3987626	-33.367945539031	-70.5699999432602
EPI_ISL_3987898	-33.4127800286686	-70.5255776052842
EPI_ISL_3988159	-33.3960594547667	-70.517010547084
EPI_ISL_4005068	-33.3730862391721	-70.5528373421573
EPI_ISL_4005070	-33.4448309161599	-70.5372999153909
EPI_ISL_4005071	-33.3722109915623	-70.4954516454322
EPI_ISL_4005135	-33.4441324048621	-70.489374932569
EPI_ISL_4005149	-33.4095314403586	-70.5960891153496
EPI_ISL_4005211	-33.4291940041305	-70.519884086589
EPI_ISL_4628775	-33.4310039448062	-70.6160207727755
EPI_ISL_4630477	-33.2708445319708	-70.515705782234
EPI_ISL_4631642	-33.4219328658292	-70.5618638091928
EPI_ISL_4632011	-33.2673828566698	-70.228180959564
EPI_ISL_4632230	-33.4061951443829	-70.5728713163098
EPI_ISL_4632283	-33.4704451409129	-70.6743546160407
EPI_ISL_4632426	-33.3813800058838	-70.5524488500892
EPI_ISL_4632639	-33.2041133929871	-70.3972793894509
EPI_ISL_4635488	-33.3837633021495	-70.5133616155456
EPI_ISL_4635573	-33.3799132164258	-70.5736851002661
EPI_ISL_4636596	-33.3979143412702	-70.5916613115846
EPI_ISL_4652592	-33.2130857546159	-70.2503643722902
EPI_ISL_4652610	-33.3846269361038	-70.5825340160786
EPI_ISL_4654351	-33.4466484931941	-70.6014512995848
EPI_ISL_4654380	-33.434329220229	-70.6179256042648
EPI_ISL_4655246	-33.5498738336843	-70.7986531495356
EPI_ISL_4656127	-36.5869645001876	-72.1069156246447
EPI_ISL_4656234	-33.5954117100577	-70.6397372464505
EPI_ISL_4656360	-33.5264510366933	-70.8336395633633
EPI_ISL_4659569	-33.4071238780059	-70.5822040204415
EPI_ISL_4659574	-41.0742702148367	-73.2131820763344
EPI_ISL_4659640	-33.38955502568	-70.5903428356064
EPI_ISL_4704300	-30.1048061221571	-71.2283601822327
EPI_ISL_4704398	-33.3998114011454	-70.7520055563781
EPI_ISL_4704521	-33.3061747651205	-70.9527130434329
EPI_ISL_5010736	-36.7506363604464	-71.6287074181497
EPI_ISL_5010739	-36.7874835530011	-71.4143979941169
EPI_ISL_5010788	-33.5569898514314	-70.6888690928882
EPI_ISL_5010850	-33.5835902244835	-71.0053881282274
EPI_ISL_5411218	-18.2593497611686	-69.8200287899779
EPI_ISL_5411249	-18.8090261482857	-69.9410910423939
EPI_ISL_5411250	-18.6802447436638	-69.7945917742514
EPI_ISL_5431310	-18.5720918354026	-70.2726031230158
EPI_ISL_5431318	-18.59493326674	-70.0644366494524
EPI_ISL_5431543	-33.3633954708362	-70.7116046639115
EPI_ISL_5431544	-33.3792672571564	-70.7510292720284
EPI_ISL_5431546	-33.3595459182682	-70.7547292349605
EPI_ISL_5431547	-33.3440926248297	-70.6987605270488
EPI_ISL_5431554	-33.3942683727745	-70.7418444654173
EPI_ISL_5544272	-18.7943626424624	-70.1803963534404
EPI_ISL_5544344	-37.3571702023848	-72.2452997363492
