taxa	date
EPI_ISL_5431258	2021-09-24
EPI_ISL_5010688	2021-09-16
EPI_ISL_5010693	2021-09-15
EPI_ISL_5010694	2021-09-14
EPI_ISL_5010773	2021-09-19
EPI_ISL_5010816	2021-09-20
EPI_ISL_5010827	2021-09-19
EPI_ISL_5010830	2021-09-17
EPI_ISL_5010831	2021-09-17
EPI_ISL_5010832	2021-09-17
EPI_ISL_5010833	2021-09-15
EPI_ISL_5010914	2021-09-21
EPI_ISL_5011141	2021-09-20
EPI_ISL_5011304	2021-09-20
EPI_ISL_5011709	2021-09-22
EPI_ISL_5011643	2021-09-21
EPI_ISL_5431274	2021-09-19
EPI_ISL_5431305	2021-09-20
EPI_ISL_5544260	2021-09-27
EPI_ISL_5544698	2021-10-08
EPI_ISL_4632037	2021-09-06
EPI_ISL_4632585	2021-08-31
EPI_ISL_4654479	2021-09-08
EPI_ISL_4656068	2021-09-13
EPI_ISL_4632036	2021-09-04
EPI_ISL_4632371	2021-08-20
EPI_ISL_4632565	2021-09-02
EPI_ISL_4635563	2021-08-27
EPI_ISL_4636116	2021-09-03
EPI_ISL_4636155	2021-09-06
EPI_ISL_4654448	2021-09-09
EPI_ISL_4654454	2021-09-08
EPI_ISL_4654455	2021-09-09
EPI_ISL_4654999	2021-09-07
EPI_ISL_4655053	2021-09-06
EPI_ISL_4655487	2021-09-08
EPI_ISL_4657932	2021-09-02
EPI_ISL_4657940	2021-09-04
EPI_ISL_4659553	2021-09-08
EPI_ISL_4659793	2021-09-06
EPI_ISL_5411136	2021-09-20
EPI_ISL_5411140	2021-09-19
EPI_ISL_5411148	2021-09-17
EPI_ISL_5411158	2021-09-18
EPI_ISL_5411211	2021-09-22
EPI_ISL_5411213	2021-09-23
EPI_ISL_5411214	2021-09-21
EPI_ISL_5411215	2021-09-22
EPI_ISL_5411219	2021-09-23
EPI_ISL_5411222	2021-09-22
EPI_ISL_5411223	2021-09-22
EPI_ISL_5411224	2021-09-22
EPI_ISL_5411225	2021-09-22
EPI_ISL_5411226	2021-09-22
EPI_ISL_5411227	2021-09-23
EPI_ISL_5411245	2021-09-20
EPI_ISL_5411247	2021-09-21
EPI_ISL_5411248	2021-09-21
EPI_ISL_5411251	2021-09-20
EPI_ISL_5411254	2021-09-20
EPI_ISL_5411256	2021-09-21
EPI_ISL_5411257	2021-09-21
EPI_ISL_5411258	2021-09-21
EPI_ISL_5411262	2021-09-21
EPI_ISL_5411263	2021-09-21
EPI_ISL_5411269	2021-09-22
EPI_ISL_5411288	2021-09-20
EPI_ISL_5411289	2021-09-20
EPI_ISL_5411316	2021-09-21
EPI_ISL_5411321	2021-09-22
EPI_ISL_5411255	2021-09-21
EPI_ISL_5411265	2021-09-23
EPI_ISL_5421811	2021-09-23
EPI_ISL_5421812	2021-09-23
EPI_ISL_5421813	2021-09-28
EPI_ISL_5421820	2021-09-28
EPI_ISL_5431316	2021-09-20
EPI_ISL_5431251	2021-09-26
EPI_ISL_5431255	2021-09-24
EPI_ISL_5431256	2021-09-23
EPI_ISL_5431259	2021-09-24
EPI_ISL_5431260	2021-09-25
EPI_ISL_5431263	2021-09-23
EPI_ISL_5431268	2021-09-17
EPI_ISL_5431271	2021-09-16
EPI_ISL_5431304	2021-09-20
EPI_ISL_5431309	2021-09-20
EPI_ISL_5431312	2021-09-20
EPI_ISL_5431314	2021-09-20
EPI_ISL_5431332	2021-09-18
EPI_ISL_5431253	2021-09-23
EPI_ISL_5431261	2021-09-24
EPI_ISL_5431262	2021-09-24
EPI_ISL_5431264	2021-09-19
EPI_ISL_5431265	2021-09-19
EPI_ISL_5431273	2021-09-16
EPI_ISL_5431320	2021-09-20
EPI_ISL_5431249	2021-09-26
EPI_ISL_5431252	2021-09-23
EPI_ISL_5431266	2021-09-19
EPI_ISL_5431270	2021-09-15
EPI_ISL_5431403	2021-09-26
EPI_ISL_5431549	2021-09-30
EPI_ISL_5431550	2021-10-01
EPI_ISL_5431568	2021-09-21
EPI_ISL_5431583	2021-09-19
EPI_ISL_5431393	2021-09-23
EPI_ISL_5431396	2021-09-21
EPI_ISL_5431397	2021-09-25
EPI_ISL_5431409	2021-09-22
