taxa	lat	long
EPI_ISL_11976013	-37.2092121274246	-71.9282061244021
EPI_ISL_11976020	-33.373582286736	-70.6711282964735
EPI_ISL_11976023	-33.0781179261538	-71.5848889661966
EPI_ISL_11976031	-35.5942873400552	-72.2852352090245
EPI_ISL_11976038	-33.5366935616532	-70.6317365951883
EPI_ISL_11976052	-33.0902636683246	-71.621050628152
EPI_ISL_11976054	-33.0103849849545	-71.5325522707899
EPI_ISL_11976087	-33.547648426035	-70.6185681932464
EPI_ISL_11976088	-33.5324104209214	-70.6206818178243
EPI_ISL_11976126	-36.8481118692837	-73.1142680022006
EPI_ISL_11976129	-27.435341289688	-69.8224030380859
EPI_ISL_11976138	-40.100773245558	-73.3626088820408
EPI_ISL_11976139	-40.1101181935576	-72.2316813820431
EPI_ISL_11976140	-40.0668534599744	-72.1034720156854
EPI_ISL_11976141	-39.8559235125925	-72.7941635917685
EPI_ISL_11976142	-33.0908031326968	-71.6143682336933
EPI_ISL_11976159	-39.8976523187867	-73.13514423468
EPI_ISL_11976164	-46.5252123715066	-73.7658398735876
EPI_ISL_11992222	-41.5084982575364	-73.0701713143341
EPI_ISL_11992225	-33.5341131120447	-70.6146440867195
EPI_ISL_11992228	-33.5398694901866	-70.6282117079746
EPI_ISL_12012957	-38.667548626631	-72.509836402476
EPI_ISL_12012961	-39.8357245801423	-73.3785390777174
EPI_ISL_12012963	-40.1516253341251	-72.6512150428778
EPI_ISL_12013412	-20.2074278315699	-70.1547990080093
EPI_ISL_12013413	-45.6223149361773	-72.0162304385245
EPI_ISL_12017330	-37.3254864974303	-72.2217216839692
EPI_ISL_12144288	-46.0029303139485	-71.9220452180597
EPI_ISL_12144289	-45.1290612960908	-71.652493039458
EPI_ISL_12144342	-37.9781084984511	-72.8373555715569
EPI_ISL_12144343	-38.7679596559194	-72.4794304410552
EPI_ISL_12144365	-27.5006931778419	-69.6636908035367
EPI_ISL_12144376	-27.2250541517952	-69.1106516108688
EPI_ISL_12144377	-27.6162966361729	-70.7062047305359
EPI_ISL_12144378	-27.2641669102799	-70.7935756334771
EPI_ISL_12144388	-37.3104526654987	-72.6476291089373
EPI_ISL_12144397	-37.0569498847503	-72.9970755954083
EPI_ISL_12144399	-37.1267600950448	-73.0997491431063
EPI_ISL_12144428	-34.1560070002139	-70.8434112516442
EPI_ISL_12144436	-41.4655599641674	-72.941301892776
EPI_ISL_12144446	-39.8029441742641	-73.3107503476978
EPI_ISL_12144450	-35.4460625951579	-71.6791960033272
EPI_ISL_12144468	-33.5416016315494	-70.6131257961055
EPI_ISL_12144548	-33.5305132702279	-70.6466047255509
EPI_ISL_12144562	-20.2108487460938	-70.1604823276242
EPI_ISL_12144565	-20.2060973659391	-70.1633041696925
EPI_ISL_12144573	-33.1589556716911	-71.552795397535
EPI_ISL_12144575	-32.9272390116159	-71.2851436206453
EPI_ISL_12144576	-33.15202609263	-71.6923016459497
EPI_ISL_12144577	-33.1332966174067	-71.625166362271
EPI_ISL_12144579	-33.0431250652599	-71.3544556978247
EPI_ISL_12144580	-40.6190250668239	-73.1486990987317
EPI_ISL_12144581	-33.1192252063398	-71.6400764224562
EPI_ISL_12144582	-32.9260966368194	-71.4655234707085
EPI_ISL_12144607	-33.0707555954612	-71.6302584690498
EPI_ISL_12144608	-32.9291226095931	-71.2012277632321
EPI_ISL_1321469	-35.4128426368182	-71.5751339987287
EPI_ISL_1321470	-35.3644826492171	-70.818988527931
EPI_ISL_1321471	-33.109937144973	-71.7019352657664
EPI_ISL_1321472	-33.605469202394	-70.6275939402817
EPI_ISL_1321473	-33.5324826288594	-70.6165744936172
EPI_ISL_1470436	-33.6675876086332	-71.3740649939383
EPI_ISL_1470437	-33.6734952990218	-70.8954253015145
EPI_ISL_1470439	-33.6922345743906	-70.8793225631402
EPI_ISL_1470442	-33.8204809698596	-71.1520300297485
EPI_ISL_1470454	-33.4023580183366	-70.5770820902846
EPI_ISL_1470456	-33.4239819228931	-70.6558938178468
EPI_ISL_1470463	-35.4513064372033	-71.5235618133361
EPI_ISL_1470465	-35.4247894364274	-71.5960682900586
EPI_ISL_1470477	-41.5034384316788	-72.6024167832073
EPI_ISL_1470491	-33.6332429689157	-70.6008344667459
EPI_ISL_1470506	-33.5518796667335	-70.6386198912233
EPI_ISL_1470508	-33.5701045455968	-70.5806621342779
EPI_ISL_1470522	-33.5956110144887	-70.619835377945
EPI_ISL_1470523	-33.5971808489607	-70.6481557907409
EPI_ISL_1470542	-41.5783327775669	-73.1286224864883
EPI_ISL_1470558	-33.4371033116914	-70.7624734140819
EPI_ISL_1534544	-33.5402049904546	-70.6289578450082
EPI_ISL_1534555	-34.1727879302216	-69.9642685525502
EPI_ISL_1534556	-33.5397533475674	-70.5831814148485
EPI_ISL_1534567	-33.5306757080941	-70.6149015280989
EPI_ISL_1534570	-33.5766335838603	-70.6153791899387
EPI_ISL_1534572	-33.5532155877991	-70.6484733719962
EPI_ISL_1534581	-33.5393372294128	-70.629639103777
EPI_ISL_1534593	-33.4540242505404	-70.6667445088017
EPI_ISL_1534596	-33.4277435317388	-70.695172740071
EPI_ISL_1534601	-33.4486687332655	-70.6775775421666
EPI_ISL_1534605	-33.0857689057394	-71.5771969148846
EPI_ISL_1534606	-33.3372185463703	-71.3821315485529
EPI_ISL_1534607	-33.1219110039442	-71.4912665427016
EPI_ISL_1540997	-34.2247497296029	-70.0062205282816
EPI_ISL_1541006	-33.5297679502068	-70.6253230396848
