taxa	date
EPI_ISL_3368419	2021-07-26
EPI_ISL_5010826	2021-09-20
EPI_ISL_5431383	2021-09-21
EPI_ISL_3988278	2021-08-13
EPI_ISL_3988280	2021-08-13
EPI_ISL_4654026	2021-09-10
EPI_ISL_3537162	2021-08-01
EPI_ISL_3537304	2021-08-02
EPI_ISL_3537305	2021-08-03
EPI_ISL_3537306	2021-08-03
EPI_ISL_3537327	2021-08-02
EPI_ISL_4632411	2021-08-22
EPI_ISL_4632412	2021-08-22
EPI_ISL_4655161	2021-09-08
EPI_ISL_4655172	2021-09-08
EPI_ISL_5431368	2021-09-20
EPI_ISL_5431384	2021-09-21
EPI_ISL_5431388	2021-09-23
EPI_ISL_2391141	2021-05-03
EPI_ISL_2391172	2021-05-04
EPI_ISL_2391209	2021-05-02
EPI_ISL_5544329	2021-09-27
EPI_ISL_3982392	2021-08-11
EPI_ISL_3987871	2021-08-09
EPI_ISL_3987873	2021-08-09
EPI_ISL_3988279	2021-08-13
EPI_ISL_3987872	2021-08-09
EPI_ISL_3988275	2021-08-14
EPI_ISL_4005168	2021-08-15
EPI_ISL_4005169	2021-08-15
EPI_ISL_4005170	2021-08-15
EPI_ISL_2892685	2021-06-21
EPI_ISL_2892724	2021-06-21
EPI_ISL_2892855	2021-06-21
EPI_ISL_2892903	2021-06-13
EPI_ISL_2892911	2021-06-20
EPI_ISL_2894948	2021-06-28
EPI_ISL_4005164	2021-08-15
EPI_ISL_12144474	2021-06-29
EPI_ISL_3185526	2021-07-05
EPI_ISL_3262713	2021-07-20
EPI_ISL_3262676	2021-07-17
EPI_ISL_4630508	2021-08-16
EPI_ISL_4630511	2021-08-16
EPI_ISL_4630509	2021-08-16
EPI_ISL_4631953	2021-08-21
EPI_ISL_4631962	2021-08-20
EPI_ISL_4631966	2021-08-20
EPI_ISL_4632435	2021-08-24
EPI_ISL_4632475	2021-09-01
EPI_ISL_4632683	2021-08-16
EPI_ISL_4632410	2021-08-22
EPI_ISL_4635797	2021-08-23
EPI_ISL_4636045	2021-08-30
EPI_ISL_4636049	2021-08-30
EPI_ISL_4636053	2021-08-30
EPI_ISL_4636567	2021-09-04
EPI_ISL_4636568	2021-09-04
EPI_ISL_4636569	2021-09-04
EPI_ISL_4636570	2021-09-04
EPI_ISL_4636571	2021-09-04
EPI_ISL_4653008	2021-09-03
EPI_ISL_4654036	2021-09-11
EPI_ISL_4654042	2021-09-12
EPI_ISL_4654043	2021-09-11
EPI_ISL_4654050	2021-09-12
EPI_ISL_4654064	2021-09-10
EPI_ISL_4655162	2021-09-08
EPI_ISL_4655149	2021-09-07
EPI_ISL_4655158	2021-09-07
EPI_ISL_4655159	2021-09-08
EPI_ISL_4655150	2021-09-07
EPI_ISL_4658071	2021-09-02
EPI_ISL_4658075	2021-09-05
EPI_ISL_4658080	2021-09-05
EPI_ISL_4659734	2021-09-06
EPI_ISL_4659747	2021-09-06
EPI_ISL_4659748	2021-09-06
EPI_ISL_4704333	2021-09-13
EPI_ISL_4630507	2021-08-16
