taxa	lat	long
EPI_ISL_11976014	-33.156552465269	-71.504410022187
EPI_ISL_11976026	-38.0241665255958	-71.957200569698
EPI_ISL_11976027	-37.9887134581115	-72.2879872958081
EPI_ISL_11976078	-37.3047819153742	-72.2445306620227
EPI_ISL_11976160	-39.9309980502827	-73.444390617796
EPI_ISL_11976163	-38.5630078159624	-72.7209652396527
EPI_ISL_12012958	-38.5799416184549	-72.4289547232967
EPI_ISL_12017329	-37.087305918131	-72.4728824222797
EPI_ISL_12144360	-27.115642006848	-69.3640007745666
EPI_ISL_12144361	-27.2334175528926	-70.3416462857276
EPI_ISL_12144362	-27.9193535970449	-71.0338753896469
EPI_ISL_12144363	-27.0836009178886	-70.3879492452939
EPI_ISL_12144368	-27.4338050516716	-70.0283435695315
EPI_ISL_12144369	-27.8719035774562	-70.6575506268059
EPI_ISL_12144380	-36.8455803428229	-73.065748628553
EPI_ISL_12144403	-30.2486364699771	-71.4404173182616
EPI_ISL_12144437	-39.8072071259459	-72.8577396476909
EPI_ISL_12144438	-39.896326911615	-73.0716226088008
EPI_ISL_12144440	-39.7757128590881	-73.1500820792643
EPI_ISL_12144441	-40.0236303433156	-72.8913118868313
EPI_ISL_12144442	-39.8490534021357	-73.0602402798518
EPI_ISL_12144473	-33.6192432387651	-70.6306559524512
EPI_ISL_12144545	-33.5526439560768	-70.624855487513
EPI_ISL_12144547	-33.4934039153444	-70.5164079438559
EPI_ISL_12144574	-33.0669779916038	-71.6061120527674
EPI_ISL_1321479	-33.5907852517253	-70.6145073118264
EPI_ISL_1321482	-33.564977731596	-70.633540758301
EPI_ISL_1470441	-33.6796547615273	-71.2139453246647
EPI_ISL_1470460	-35.4459890338675	-71.6314097195587
EPI_ISL_1470536	-35.404527042278	-70.8584791010833
EPI_ISL_1470555	-33.5212475907176	-70.7359749934554
EPI_ISL_1534573	-33.5258571163243	-70.64165573753
EPI_ISL_1534586	-33.589813754668	-70.65205583786
EPI_ISL_1534599	-33.5005593475138	-70.6642587091539
EPI_ISL_1541005	-33.5389975721471	-70.6168957042929
EPI_ISL_1541037	-33.4558597632168	-70.7146106461725
EPI_ISL_1541039	-33.3848681945463	-70.9050375875984
EPI_ISL_1633369	-33.413193930812	-70.6384845119593
EPI_ISL_1633378	-35.0284622851975	-71.200939187956
EPI_ISL_1633398	-41.4316167771207	-73.2064808079976
EPI_ISL_1633501	-33.5678437272577	-70.6276027908128
EPI_ISL_1633513	-33.5783252158953	-70.5414258575697
EPI_ISL_1633515	-33.545645238943	-70.6143507727268
EPI_ISL_1633517	-33.5820651099664	-70.5424711799394
EPI_ISL_1712374	-33.4550709189485	-70.889313533573
EPI_ISL_2009198	-33.5196969301356	-70.6385965394694
EPI_ISL_2009202	-33.920709914436	-70.1971214405664
EPI_ISL_2009211	-33.5344834118758	-70.6376804507357
