taxa	date
EPI_ISL_3363501	2021-07-25
EPI_ISL_3363678	2021-07-27
EPI_ISL_3363680	2021-07-26
EPI_ISL_3363685	2021-07-26
EPI_ISL_3365078	2021-07-19
EPI_ISL_3368436	2021-07-26
EPI_ISL_3368449	2021-07-27
EPI_ISL_3369427	2021-07-10
EPI_ISL_3369326	2021-07-20
EPI_ISL_3369366	2021-07-14
EPI_ISL_3369428	2021-07-10
EPI_ISL_3369433	2021-07-11
EPI_ISL_3369420	2021-07-11
EPI_ISL_3369426	2021-07-10
EPI_ISL_3981968	2021-08-09
EPI_ISL_3536099	2021-07-30
EPI_ISL_3536122	2021-08-01
EPI_ISL_3536145	2021-07-28
EPI_ISL_3537149	2021-08-02
EPI_ISL_3537354	2021-08-02
EPI_ISL_3537352	2021-08-04
EPI_ISL_3537355	2021-08-02
EPI_ISL_3546362	2021-07-30
EPI_ISL_3369421	2021-07-11
EPI_ISL_3262682	2021-07-20
EPI_ISL_12144411	2021-06-07
EPI_ISL_12144543	2021-05-08
EPI_ISL_2391020	2021-04-25
EPI_ISL_2391138	2021-05-03
EPI_ISL_2391134	2021-05-03
EPI_ISL_2391144	2021-05-03
EPI_ISL_2391195	2021-05-03
EPI_ISL_2391313	2021-05-10
EPI_ISL_2391399	2021-05-03
EPI_ISL_2391409	2021-05-05
EPI_ISL_2391424	2021-05-09
EPI_ISL_2391426	2021-05-08
EPI_ISL_2391438	2021-05-05
EPI_ISL_2391443	2021-05-03
EPI_ISL_2391436	2021-05-04
EPI_ISL_2391232	2021-05-05
EPI_ISL_2391441	2021-05-03
EPI_ISL_2508598	2021-05-10
EPI_ISL_2508587	2021-05-12
EPI_ISL_2508595	2021-05-12
EPI_ISL_2509171	2021-05-15
EPI_ISL_2509174	2021-05-16
EPI_ISL_2509180	2021-05-16
EPI_ISL_2509182	2021-05-16
EPI_ISL_2543531	2021-05-23
EPI_ISL_2543532	2021-05-23
EPI_ISL_2597262	2021-04-19
EPI_ISL_2597242	2021-04-16
EPI_ISL_2597266	2021-04-21
EPI_ISL_2597302	2021-04-14
EPI_ISL_2009636	2021-04-18
EPI_ISL_3982413	2021-08-16
EPI_ISL_3982661	2021-08-04
EPI_ISL_3987631	2021-08-07
EPI_ISL_4005061	2021-08-10
EPI_ISL_4005078	2021-08-09
EPI_ISL_4005079	2021-08-09
EPI_ISL_4005189	2021-08-02
EPI_ISL_4005196	2021-08-04
EPI_ISL_4005202	2021-08-15
EPI_ISL_2663424	2021-05-30
EPI_ISL_2663594	2021-05-30
EPI_ISL_2663608	2021-05-31
EPI_ISL_2663425	2021-05-30
EPI_ISL_1534574	2021-03-27
EPI_ISL_1470443	2021-03-18
EPI_ISL_1470500	2021-03-15
EPI_ISL_1470492	2021-03-13
EPI_ISL_1541018	2021-03-23
EPI_ISL_1541026	2021-04-04
EPI_ISL_1541030	2021-04-04
EPI_ISL_1541028	2021-04-05
EPI_ISL_2756059	2021-06-04
EPI_ISL_2756065	2021-06-04
EPI_ISL_2756084	2021-06-07
EPI_ISL_2756096	2021-06-07
EPI_ISL_2756170	2021-06-13
EPI_ISL_2756146	2021-06-13
EPI_ISL_2756285	2021-06-03
EPI_ISL_2756298	2021-06-06
EPI_ISL_2756307	2021-06-05
EPI_ISL_2756174	2021-06-13
EPI_ISL_2892613	2021-06-15
EPI_ISL_2892810	2021-06-08
EPI_ISL_2892811	2021-06-08
EPI_ISL_2892876	2021-06-10
EPI_ISL_2892897	2021-06-16
EPI_ISL_2892944	2021-06-16
EPI_ISL_2893007	2021-06-23
EPI_ISL_2893008	2021-06-24
EPI_ISL_2893022	2021-06-15
EPI_ISL_2894933	2021-06-27
EPI_ISL_1633361	2021-04-06
EPI_ISL_1633410	2021-04-09
EPI_ISL_1633543	2021-04-07
EPI_ISL_1633546	2021-04-06
EPI_ISL_1633542	2021-04-07
EPI_ISL_1633407	2021-04-06
EPI_ISL_12144595	2021-08-17
EPI_ISL_12144459	2021-03-09
EPI_ISL_12144452	2021-06-26
EPI_ISL_12144549	2021-05-15
EPI_ISL_11976068	2021-07-15
EPI_ISL_2756118	2021-06-10
EPI_ISL_2663555	2021-05-25
EPI_ISL_2756300	2021-06-06
EPI_ISL_2756316	2021-06-05
EPI_ISL_3149141	2021-07-03
EPI_ISL_3149136	2021-07-04
EPI_ISL_3149137	2021-07-04
EPI_ISL_1712327	2021-04-12
EPI_ISL_1712334	2021-04-12
EPI_ISL_1712332	2021-04-12
EPI_ISL_3185533	2021-07-03
EPI_ISL_3185652	2021-07-07
EPI_ISL_3185653	2021-07-07
EPI_ISL_3185654	2021-07-07
EPI_ISL_3185655	2021-07-07
EPI_ISL_3185686	2021-07-12
EPI_ISL_3185704	2021-07-11
EPI_ISL_3220094	2021-06-23
EPI_ISL_2597243	2021-04-16
EPI_ISL_3262694	2021-07-20
EPI_ISL_3262697	2021-07-19
EPI_ISL_3262714	2021-07-20
EPI_ISL_3262681	2021-07-20
EPI_ISL_3262702	2021-07-19
EPI_ISL_4628804	2021-08-15
EPI_ISL_4631894	2021-08-20
EPI_ISL_4632443	2021-09-01
EPI_ISL_4635789	2021-08-23
EPI_ISL_4635790	2021-08-23
EPI_ISL_2509184	2021-05-15
EPI_ISL_4654319	2021-09-12
EPI_ISL_2009259	2021-04-18
EPI_ISL_2009564	2021-04-25
EPI_ISL_2009563	2021-04-25
EPI_ISL_2009566	2021-04-25
EPI_ISL_2009258	2021-04-18
EPI_ISL_2009301	2021-04-14
EPI_ISL_2009567	2021-04-26
EPI_ISL_2009302	2021-04-12
EPI_ISL_2009644	2021-04-18
EPI_ISL_2009643	2021-04-18
EPI_ISL_2009645	2021-04-17
