taxa	lat	long
EPI_ISL_11976061	-23.9655536562225	-69.6646707396133
EPI_ISL_11976063	-24.4267731793662	-70.0782932750875
EPI_ISL_11976153	-33.5358472854424	-70.6131887502047
EPI_ISL_11976156	-33.4763255695104	-70.8272384048573
EPI_ISL_12144305	-21.9250078254557	-70.0980254535049
EPI_ISL_12144454	-35.3250546415192	-71.4067863189125
EPI_ISL_12144578	-33.1042823171317	-71.5814518750521
EPI_ISL_12144601	-33.051165027226	-71.3455857672013
EPI_ISL_12144602	-32.9873752669812	-71.4871008966593
EPI_ISL_3981959	-20.2794402344936	-70.0215670888636
EPI_ISL_3988253	-33.5352528812628	-70.642017859094
EPI_ISL_4005194	-26.4399451603121	-70.372291011556
EPI_ISL_4632242	-27.7673829952672	-70.5340788610213
EPI_ISL_4632245	-26.1445327573959	-70.6094767078774
EPI_ISL_4632253	-27.3959205190286	-69.0616057464307
EPI_ISL_4632452	-30.1607854377598	-71.2571921328405
EPI_ISL_4632555	-27.3739998075663	-70.7708829016016
EPI_ISL_4632816	-27.1309950402936	-70.6530442431298
EPI_ISL_4632865	-33.3715380185112	-70.536701266296
EPI_ISL_4632877	-27.3153598756291	-70.8871804965516
EPI_ISL_4632880	-27.9869065080349	-70.2215096536679
EPI_ISL_4635516	-27.8384928241311	-70.5031972119719
EPI_ISL_4635750	-33.5437238448881	-70.6409289406579
EPI_ISL_4636015	-33.3734997317726	-70.5587535262097
EPI_ISL_4636027	-34.1928568638201	-70.7245860881038
EPI_ISL_4636597	-26.963722592361	-70.7672924849261
EPI_ISL_4636598	-27.1522362901972	-70.6844299264645
EPI_ISL_4636599	-27.2044713759784	-70.7478078860078
EPI_ISL_4636600	-27.1722524715924	-70.6820164501261
EPI_ISL_4649142	-27.0833191984516	-70.3584041719639
EPI_ISL_4649148	-27.8419661343456	-71.0322007515151
EPI_ISL_4649325	-30.0887271097028	-71.3470632129143
EPI_ISL_4652671	-33.1337334071967	-71.688269943717
EPI_ISL_4654259	-33.1161923357081	-71.3886053515963
EPI_ISL_4654396	-26.9441550186588	-69.184206807086
EPI_ISL_4654397	-27.1601698344242	-69.1956306973212
EPI_ISL_4654400	-27.1169362228155	-69.9873468575021
EPI_ISL_4654410	-27.1943650041053	-69.8345716112642
EPI_ISL_4654411	-27.8456914559221	-70.6529121244612
EPI_ISL_4654418	-27.9950428229783	-71.022789387815
EPI_ISL_4654419	-27.3802689857414	-70.0057059043166
EPI_ISL_4654428	-27.9987331908443	-70.6825816266419
EPI_ISL_4654432	-26.1532954534074	-70.4286811617198
EPI_ISL_4654433	-27.0547510893831	-70.6141318936241
EPI_ISL_4654437	-26.1765458751719	-70.532619646361
EPI_ISL_4654438	-26.8560532572538	-70.680571164871
EPI_ISL_4654443	-26.2211247877358	-70.4203517883197
EPI_ISL_4655081	-26.8370855325204	-70.786840397561
EPI_ISL_4655103	-27.1600550414476	-70.7768545968005
EPI_ISL_4655109	-27.1759910979474	-70.6873973006872
EPI_ISL_4658016	-26.6142743396391	-70.3729384652346
EPI_ISL_4658017	-30.9472673844548	-70.6242020850503
EPI_ISL_4658022	-27.1792263949821	-69.5773222840693
EPI_ISL_4658023	-27.2598343965571	-69.5699474777532
EPI_ISL_4658030	-27.2728429207867	-70.2602286007661
EPI_ISL_4658031	-27.4625587319549	-70.1195544389502
EPI_ISL_4658039	-27.0358277534813	-69.4406449124683
EPI_ISL_4658046	-27.4764574150647	-70.4672194991931
EPI_ISL_4658050	-27.1133714283227	-69.5747413135673
EPI_ISL_4658051	-26.2900261284515	-69.4889986984363
EPI_ISL_4658365	-27.2446890121745	-70.2708038044261
EPI_ISL_4659826	-36.8688124144803	-73.0419726926928
EPI_ISL_5011403	-27.0451466197501	-70.5826809442354
EPI_ISL_5011416	-26.4640648232997	-70.5536725123339
EPI_ISL_5011422	-27.2671652063929	-70.7258712166315
EPI_ISL_5011429	-27.563638466168	-69.831190663588
EPI_ISL_5011436	-26.329648383182	-70.4722192624784
EPI_ISL_5011441	-26.2362721094219	-70.549096210314
EPI_ISL_5011449	-27.4506613540979	-69.9998527206517
EPI_ISL_5011454	-26.8605391777133	-70.6617889135907
EPI_ISL_5011463	-27.0064265736287	-69.3699195820404
EPI_ISL_5411154	-27.058578689914	-69.9730605341835
EPI_ISL_5411156	-26.9164715482935	-70.0629445783541
EPI_ISL_5411157	-26.8412470148284	-70.7683162776913
EPI_ISL_5421787	-27.1978469450993	-70.8236163892274
EPI_ISL_5421791	-26.8856611777168	-70.5997191587544
EPI_ISL_5543960	-27.0669435879121	-70.8485628786733
EPI_ISL_5543961	-27.3084434221454	-69.6453435195838
EPI_ISL_5543962	-27.2248518562078	-70.9230662606802
EPI_ISL_5543964	-27.1331385994415	-70.6093506390674
EPI_ISL_5543978	-27.6804644054991	-70.3973446688817
EPI_ISL_5543990	-27.1519464480865	-70.7633463683115
EPI_ISL_5544000	-27.1991571932226	-70.627452883071
