taxa	date
EPI_ISL_5010742	2021-09-15
EPI_ISL_5011585	2021-09-22
EPI_ISL_3537141	2021-07-28
EPI_ISL_12144589	2021-08-18
EPI_ISL_12144401	2021-06-14
EPI_ISL_5431292	2021-09-16
EPI_ISL_5431584	2021-09-23
EPI_ISL_12017324	2021-07-09
EPI_ISL_3982407	2021-08-15
EPI_ISL_3988099	2021-08-08
EPI_ISL_3987907	2021-08-11
EPI_ISL_3987908	2021-08-11
EPI_ISL_3987909	2021-08-11
EPI_ISL_4005118	2021-08-06
EPI_ISL_4005119	2021-08-06
EPI_ISL_4005120	2021-08-06
EPI_ISL_4005121	2021-08-06
EPI_ISL_11976122	2021-07-23
EPI_ISL_11976120	2021-07-28
EPI_ISL_11976124	2021-07-28
EPI_ISL_12144472	2021-06-24
EPI_ISL_12144398	2021-05-09
EPI_ISL_12144406	2021-05-24
EPI_ISL_12144407	2021-06-02
EPI_ISL_12144405	2021-05-24
EPI_ISL_12144408	2021-06-02
EPI_ISL_12144409	2021-06-02
EPI_ISL_12144322	2021-06-22
EPI_ISL_12144410	2021-06-07
EPI_ISL_12017326	2021-07-10
EPI_ISL_11976047	2021-07-19
EPI_ISL_11976040	2021-07-12
EPI_ISL_11976041	2021-07-16
EPI_ISL_11976123	2021-07-28
EPI_ISL_11976130	2021-07-30
EPI_ISL_11976094	2021-07-30
EPI_ISL_11976084	2021-07-28
EPI_ISL_11976121	2021-07-28
EPI_ISL_3185462	2021-07-05
EPI_ISL_3185466	2021-07-05
EPI_ISL_3185517	2021-06-30
EPI_ISL_3185751	2021-07-12
EPI_ISL_4630490	2021-08-16
EPI_ISL_4632062	2021-09-06
EPI_ISL_4632063	2021-09-09
EPI_ISL_4632254	2021-08-30
EPI_ISL_4631960	2021-08-21
EPI_ISL_4632255	2021-08-28
EPI_ISL_4632317	2021-08-27
EPI_ISL_4632534	2021-09-02
EPI_ISL_4632535	2021-09-01
EPI_ISL_4632867	2021-09-03
EPI_ISL_4635513	2021-08-25
EPI_ISL_4635515	2021-08-25
EPI_ISL_4635759	2021-08-22
EPI_ISL_4635760	2021-08-22
EPI_ISL_4636467	2021-09-08
EPI_ISL_4636491	2021-09-07
EPI_ISL_4636585	2021-09-05
EPI_ISL_4649161	2021-08-24
EPI_ISL_4649153	2021-08-21
EPI_ISL_4649154	2021-08-21
