transmission_lineage	last_sampling_date	comuna	evalTimes	ancTimes
Alpha_TL_13	2021.1205479452055	Antofagasta	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.380110786735486,0.360985103675603,0.341859420615492,0.322733737555382,0.303608054495271,0.28448237143516,0.26535668837505,0.246231005314939,0.227105322254829,0.207979639194718,0.188853956134608,0.169728273074497,0.150602590014387,0.131476906954276,0.126012426079797,0.10684931506853,0.0876712328768008,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.380110786735486,0.380110786735486,0.380110786735486,0.380110786735486,0.380110786735486,0.380110786735486,0.26535668837505,0.26535668837505,0.26535668837505,0.26535668837505,0.26535668837505,0.26535668837505,0.26535668837505,0.26535668837505,0.126012426079797,0.126012426079797,0.126012426079797,0.0849315068494434,0.0849315068494434,0.0849315068494434,0.0849315068494434
Alpha_TL_13	2021.1205479452055	Arica	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.363717344112729,0.344591661052618,0.325465977992508,0.306340294932397,0.287214611872287,0.268088928812176,0.26535668837505,0.246231005314939,0.227105322254829,0.207979639194718,0.188853956134608,0.169728273074497,0.150602590014387,0.131476906954276,0.112328767123245,0.0931506849315156,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.26535668837505,0.26535668837505,0.227105322254829,0.227105322254829,0.227105322254829,0.227105322254829,0.227105322254829,0.227105322254829,0.227105322254829,0.227105322254829,0.0849315068494434,0.0849315068494434,0.0849315068494434,0.0273972602740287
Alpha_TL_13	2021.1205479452055	Concepcion	0.497597125533503,0.483935923347644,0.464810240287534,0.445684557227423,0.426558874167313,0.407433191107202,0.388307508047092,0.369181824986981,0.350056141926871,0.33093045886676,0.322733737555382,0.303608054495271,0.28448237143516,0.26535668837505,0.246231005314939,0.227105322254829,0.207979639194718,0.188853956134608,0.169728273074497,0.150602590014387,0.131476906954276,0.112328767123245,0.0931506849315156,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.483935923347644,0.464810240287534,0.464810240287534,0.464810240287534,0.464810240287534,0.464810240287534,0.464810240287534,0.464810240287534,0.464810240287534,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.322733737555382,0.0849315068494434,0.0849315068494434,0.0849315068494434,0.0849315068494434
Alpha_TL_13	2021.1205479452055	Copiapo	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.366449584549855,0.347323901489744,0.328198218429634,0.309072535369523,0.289946852309413,0.276285650123555,0.257159967063444,0.238034284003334,0.218908600943223,0.199782917883113,0.180657234823002,0.161531551762891,0.142405868702781,0.12328018564267,0.104109589041173,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.0219178082193139,0.00273972602735739	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.0849315068494434,0.0849315068494434,0.0849315068494434,0.0849315068494434,0.0219178082193139
Alpha_TL_13	2021.1205479452055	Iquique	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.366449584549855,0.347323901489744,0.328198218429634,0.309072535369523,0.289946852309413,0.270821169249302,0.251695486189192,0.232569803129081,0.213444120068971,0.19431843700886,0.17519275394875,0.156067070888639,0.150602590014387,0.131476906954276,0.112328767123245,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561643717	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.366449584549855,0.150602590014387,0.150602590014387,0.112328767123245,0.112328767123245,0.112328767123245,0.112328767123245,0.112328767123245
Alpha_TL_13	2021.1205479452055	Los_Angeles	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.363717344112729,0.344591661052618,0.325465977992508,0.306340294932397,0.287214611872287,0.268088928812176,0.251695486189192,0.232569803129081,0.213444120068971,0.19431843700886,0.17519275394875,0.156067070888639,0.136941387828529,0.117808219178187,0.0986301369864577,0.0794520547945012,0.0602739726027721,0.0547945205480573,0.0356164383563282,0.0164383561643717	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.251695486189192,0.251695486189192,0.251695486189192,0.251695486189192,0.17519275394875,0.17519275394875,0.17519275394875,0.17519275394875,0.17519275394875,0.17519275394875,0.17519275394875,0.0547945205480573,0.0547945205480573
Alpha_TL_13	2021.1205479452055	Pirque	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.363717344112729,0.344591661052618,0.325465977992508,0.306340294932397,0.287214611872287,0.268088928812176,0.248963245752066,0.229837562691955,0.210711879631845,0.191586196571734,0.180657234823002,0.161531551762891,0.142405868702781,0.12328018564267,0.112328767123245,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002,0.112328767123245,0.112328767123245,0.112328767123245,0.112328767123245,0.112328767123245,0.0273972602740287
Alpha_TL_13	2021.1205479452055	Puente_Alto	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.380110786735486,0.360985103675603,0.341859420615492,0.322733737555382,0.303608054495271,0.28448237143516,0.276285650123555,0.257159967063444,0.238034284003334,0.218908600943223,0.199782917883113,0.180657234823002,0.161531551762891,0.142405868702781,0.12328018564267,0.104109589041173,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.380110786735486,0.380110786735486,0.380110786735486,0.380110786735486,0.380110786735486,0.380110786735486,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.276285650123555,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002,0.180657234823002
Alpha_TL_13	2021.1205479452055	Puerto_Montt	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.363717344112729,0.344591661052618,0.325465977992508,0.306340294932397,0.287214611872287,0.268088928812176,0.248963245752066,0.229837562691955,0.210711879631845,0.191586196571734,0.188853956134608,0.169728273074497,0.150602590014387,0.131476906954276,0.112328767123245,0.0931506849315156,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.188853956134608,0.188853956134608,0.188853956134608,0.188853956134608,0.188853956134608,0.188853956134608,0.0849315068494434,0.0849315068494434,0.0849315068494434,0.0849315068494434
Alpha_TL_13	2021.1205479452055	Requinoa	0.497597125533503,0.478471442473392,0.459345759413281,0.440220076353171,0.42109439329306,0.40196871023295,0.382843027172839,0.363717344112729,0.344591661052618,0.325465977992508,0.306340294932397,0.287214611872287,0.268088928812176,0.248963245752066,0.229837562691955,0.210711879631845,0.191586196571734,0.172460513511624,0.153334830451513,0.134209147391402,0.115068493150829,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0465753424657578,0.0273972602740287,0.00821917808229955	0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.516722808593613,0.0465753424657578,0.0465753424657578
