transmission_lineage	last_sampling_date	comuna	evalTimes	ancTimes
Delta_TL_186	2021.772602739726	Antofagasta	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.03216558125587,1.01303989819598,0.993914215135874,0.974788532075763,0.955662849015653,0.936537165955542,0.917411482895432,0.898285799835321,0.87916011677521,0.8600344337151,0.84090875065499,0.821783067594879,0.802657384534768,0.783531701474658,0.778067220600178,0.758904109588912,0.739726027397182,0.736986301369825,0.717808219177869,0.698630136986139,0.67945205479441,0.660273972602681,0.646575342465667,0.627397260273938,0.608219178081981,0.589041095890252,0.569863013698523,0.550684931506794,0.539726027397137,0.520547945205408,0.501369863013679,0.482191780821722,0.463013698629993,0.449315068492979,0.43013698630125,0.41095890410952,0.391780821917791,0.380821917808134,0.361643835616405,0.342465753424449,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698432,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.03216558125587,1.03216558125587,1.03216558125587,1.03216558125587,1.03216558125587,1.03216558125587,0.917411482895432,0.917411482895432,0.917411482895432,0.917411482895432,0.917411482895432,0.917411482895432,0.917411482895432,0.917411482895432,0.778067220600178,0.778067220600178,0.778067220600178,0.736986301369825,0.736986301369825,0.736986301369825,0.736986301369825,0.736986301369825,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.539726027397137,0.539726027397137,0.539726027397137,0.539726027397137,0.539726027397137,0.449315068492979,0.449315068492979,0.449315068492979,0.449315068492979,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134,0.380821917808134
Delta_TL_186	2021.772602739726	Arica	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01577213863311,0.996646455573,0.977520772512889,0.958395089452779,0.939269406392668,0.920143723332558,0.917411482895432,0.898285799835321,0.87916011677521,0.8600344337151,0.84090875065499,0.821783067594879,0.802657384534768,0.783531701474658,0.764383561643626,0.745205479451897,0.736986301369825,0.717808219177869,0.698630136986139,0.67945205479441,0.660273972602681,0.641095890410952,0.621917808218996,0.602739726027266,0.59178082191761,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.495890410958737,0.476712328767007,0.457534246575278,0.449315068492979,0.43013698630125,0.41095890410952,0.391780821917791,0.372602739725835,0.353424657534106,0.334246575342377,0.315068493150648,0.295890410958691,0.276712328766962,0.257534246575233,0.238356164383504,0.224657534246489,0.20547945205476,0.186301369862804,0.167123287671075,0.147945205479346,0.128767123287616,0.109589041095887,0.0904109589039308,0.0712328767122017,0.0520547945204726,0.0328767123287435,0.013698630136787	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,0.917411482895432,0.917411482895432,0.87916011677521,0.87916011677521,0.87916011677521,0.87916011677521,0.87916011677521,0.87916011677521,0.87916011677521,0.87916011677521,0.736986301369825,0.736986301369825,0.736986301369825,0.67945205479441,0.67945205479441,0.67945205479441,0.67945205479441,0.67945205479441,0.59178082191761,0.59178082191761,0.59178082191761,0.59178082191761,0.59178082191761,0.59178082191761,0.59178082191761,0.59178082191761,0.449315068492979,0.449315068492979,0.449315068492979,0.449315068492979,0.449315068492979,0.449315068492979,0.449315068492979,0.315068493150648,0.315068493150648,0.315068493150648,0.315068493150648,0.315068493150648,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489,0.224657534246489
Delta_TL_186	2021.772602739726	Concepcion	1.14965192005388,1.13599071786803,1.11686503480792,1.0977393517478,1.07861366868769,1.05948798562758,1.04036230256747,1.02123661950736,1.00211093644725,0.982985253387142,0.974788532075763,0.955662849015653,0.936537165955542,0.917411482895432,0.898285799835321,0.87916011677521,0.8600344337151,0.84090875065499,0.821783067594879,0.802657384534768,0.783531701474658,0.764383561643626,0.745205479451897,0.736986301369825,0.717808219177869,0.698630136986139,0.67945205479441,0.660273972602681,0.641095890410952,0.621917808218996,0.602739726027266,0.597260273972552,0.578082191780823,0.558904109588866,0.539726027397137,0.520547945205408,0.501369863013679,0.482191780821722,0.463013698629993,0.443835616438264,0.424657534246535,0.419178082191593,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424449,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.257534246575233,0.238356164383504,0.219178082191775,0.199999999999818,0.180821917808089,0.16164383561636,0.142465753424631,0.123287671232674,0.104109589040945,0.084931506849216,0.0657534246574869,0.0465753424657578,0.0273972602738013,0.00821917808207218	1.16877760311399,1.16877760311399,1.13599071786803,1.11686503480792,1.11686503480792,1.11686503480792,1.11686503480792,1.11686503480792,1.11686503480792,1.11686503480792,1.11686503480792,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.974788532075763,0.736986301369825,0.736986301369825,0.736986301369825,0.736986301369825,0.660273972602681,0.660273972602681,0.660273972602681,0.660273972602681,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.419178082191593,0.419178082191593,0.419178082191593,0.419178082191593,0.419178082191593,0.419178082191593,0.419178082191593,0.419178082191593,0.419178082191593,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233
Delta_TL_186	2021.772602739726	Copiapo	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01850437907024,0.999378696010126,0.980253012950016,0.961127329889905,0.942001646829794,0.928340444643936,0.909214761583826,0.890089078523715,0.870963395463605,0.851837712403494,0.832712029343384,0.813586346283273,0.794460663223163,0.775334980163052,0.756164383561554,0.736986301369825,0.717808219177869,0.698630136986139,0.67945205479441,0.673972602739696,0.654794520547739,0.646575342465667,0.627397260273938,0.608219178081981,0.589041095890252,0.569863013698523,0.550684931506794,0.531506849315065,0.512328767123108,0.501369863013679,0.482191780821722,0.463013698629993,0.443835616438264,0.424657534246535,0.405479452054806,0.391780821917791,0.372602739725835,0.353424657534106,0.334246575342377,0.315068493150648,0.295890410958691,0.276712328766962,0.257534246575233,0.238356164383504,0.219178082191775,0.202739726027403,0.183561643835446,0.164383561643717,0.145205479451988,0.126027397260259,0.106849315068303,0.0876712328765734,0.0684931506848443,0.0493150684931152,0.0301369863011587,0.0109589041094296	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.736986301369825,0.736986301369825,0.736986301369825,0.736986301369825,0.673972602739696,0.673972602739696,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.501369863013679,0.501369863013679,0.501369863013679,0.501369863013679,0.501369863013679,0.501369863013679,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.391780821917791,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403,0.202739726027403
Delta_TL_186	2021.772602739726	Iquique	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01850437907024,0.999378696010126,0.980253012950016,0.961127329889905,0.942001646829794,0.922875963769684,0.903750280709573,0.884624597649463,0.865498914589352,0.846373231529242,0.827247548469131,0.808121865409021,0.802657384534768,0.783531701474658,0.764383561643626,0.745205479451897,0.726027397260168,0.706849315068439,0.68767123287671,0.668493150684753,0.649315068493024,0.646575342465667,0.627397260273938,0.608219178081981,0.589041095890252,0.569863013698523,0.558904109588866,0.539726027397137,0.520547945205408,0.501369863013679,0.482191780821722,0.463013698629993,0.443835616438264,0.424657534246535,0.405479452054806,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424449,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698432,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,1.01850437907024,0.802657384534768,0.802657384534768,0.764383561643626,0.764383561643626,0.764383561643626,0.764383561643626,0.764383561643626,0.764383561643626,0.764383561643626,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.558904109588866,0.558904109588866,0.558904109588866,0.558904109588866,0.558904109588866,0.558904109588866,0.558904109588866,0.558904109588866,0.558904109588866,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532
Delta_TL_186	2021.772602739726	Los_Angeles	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01577213863311,0.996646455573,0.977520772512889,0.958395089452779,0.939269406392668,0.920143723332558,0.903750280709573,0.884624597649463,0.865498914589352,0.846373231529242,0.827247548469131,0.808121865409021,0.78899618234891,0.769863013698568,0.750684931506839,0.731506849314883,0.712328767123154,0.706849315068439,0.68767123287671,0.668493150684753,0.649315068493024,0.63561643835601,0.616438356164281,0.597260273972552,0.578082191780823,0.558904109588866,0.539726027397137,0.520547945205408,0.501369863013679,0.482191780821722,0.463013698629993,0.443835616438264,0.424657534246535,0.405479452054806,0.399999999999864,0.380821917808134,0.361643835616405,0.347945205479391,0.328767123287662,0.309589041095705,0.290410958903976,0.271232876712247,0.265753424657532,0.246575342465576,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698432,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,0.903750280709573,0.903750280709573,0.903750280709573,0.903750280709573,0.827247548469131,0.827247548469131,0.827247548469131,0.827247548469131,0.827247548469131,0.827247548469131,0.827247548469131,0.706849315068439,0.706849315068439,0.706849315068439,0.706849315068439,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.63561643835601,0.399999999999864,0.399999999999864,0.399999999999864,0.347945205479391,0.347945205479391,0.347945205479391,0.347945205479391,0.347945205479391,0.265753424657532,0.265753424657532,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847
Delta_TL_186	2021.772602739726	Pirque	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01577213863311,0.996646455573,0.977520772512889,0.958395089452779,0.939269406392668,0.920143723332558,0.901018040272447,0.881892357212337,0.862766674152226,0.843640991092116,0.832712029343384,0.813586346283273,0.794460663223163,0.775334980163052,0.764383561643626,0.745205479451897,0.726027397260168,0.706849315068439,0.68767123287671,0.67945205479441,0.660273972602681,0.641095890410952,0.621917808218996,0.602739726027266,0.583561643835537,0.564383561643808,0.545205479451852,0.526027397260123,0.506849315068393,0.487671232876664,0.468493150684935,0.449315068492979,0.43013698630125,0.41095890410952,0.391780821917791,0.372602739725835,0.353424657534106,0.334246575342377,0.315068493150648,0.295890410958691,0.282191780821904,0.263013698629948,0.243835616438218,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698432,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.764383561643626,0.764383561643626,0.764383561643626,0.764383561643626,0.764383561643626,0.67945205479441,0.67945205479441,0.67945205479441,0.67945205479441,0.67945205479441,0.67945205479441,0.67945205479441,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.282191780821904,0.282191780821904,0.282191780821904,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847
Delta_TL_186	2021.772602739726	Puente_Alto	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.03216558125587,1.01303989819598,0.993914215135874,0.974788532075763,0.955662849015653,0.936537165955542,0.928340444643936,0.909214761583826,0.890089078523715,0.870963395463605,0.851837712403494,0.832712029343384,0.813586346283273,0.794460663223163,0.775334980163052,0.756164383561554,0.736986301369825,0.717808219177869,0.698630136986139,0.67945205479441,0.660273972602681,0.641095890410952,0.621917808218996,0.602739726027266,0.583561643835537,0.564383561643808,0.545205479451852,0.526027397260123,0.506849315068393,0.487671232876664,0.468493150684935,0.449315068492979,0.43013698630125,0.41095890410952,0.391780821917791,0.372602739725835,0.353424657534106,0.334246575342377,0.315068493150648,0.295890410958691,0.282191780821904,0.263013698629948,0.243835616438218,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698432,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.03216558125587,1.03216558125587,1.03216558125587,1.03216558125587,1.03216558125587,1.03216558125587,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.928340444643936,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.832712029343384,0.660273972602681,0.660273972602681,0.660273972602681,0.602739726027266,0.602739726027266,0.602739726027266,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.545205479451852,0.282191780821904,0.282191780821904,0.282191780821904,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847,0.227397260273847
Delta_TL_186	2021.772602739726	Puerto_Montt	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01577213863311,0.996646455573,0.977520772512889,0.958395089452779,0.939269406392668,0.920143723332558,0.901018040272447,0.881892357212337,0.862766674152226,0.843640991092116,0.84090875065499,0.821783067594879,0.802657384534768,0.783531701474658,0.764383561643626,0.745205479451897,0.736986301369825,0.717808219177869,0.698630136986139,0.67945205479441,0.660273972602681,0.646575342465667,0.627397260273938,0.608219178081981,0.589041095890252,0.569863013698523,0.550684931506794,0.531506849315065,0.512328767123108,0.493150684931379,0.47397260273965,0.454794520547921,0.435616438355964,0.416438356164235,0.397260273972506,0.378082191780777,0.358904109589048,0.339726027397091,0.320547945205362,0.301369863013633,0.282191780821904,0.263013698629948,0.257534246575233,0.238356164383504,0.219178082191775,0.199999999999818,0.180821917808089,0.16164383561636,0.142465753424631,0.123287671232674,0.104109589040945,0.084931506849216,0.0657534246574869,0.0465753424657578,0.0273972602738013,0.00821917808207218	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,0.84090875065499,0.84090875065499,0.84090875065499,0.84090875065499,0.84090875065499,0.84090875065499,0.736986301369825,0.736986301369825,0.736986301369825,0.736986301369825,0.736986301369825,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.646575342465667,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233,0.257534246575233
Delta_TL_186	2021.772602739726	Requinoa	1.14965192005388,1.13052623699377,1.11140055393366,1.09227487087355,1.07314918781344,1.05402350475333,1.03489782169322,1.01577213863311,0.996646455573,0.977520772512889,0.958395089452779,0.939269406392668,0.920143723332558,0.901018040272447,0.881892357212337,0.862766674152226,0.843640991092116,0.824515308032005,0.805389624971895,0.786263941911784,0.767123287671211,0.747945205479255,0.728767123287525,0.709589041095796,0.698630136986139,0.67945205479441,0.660273972602681,0.641095890410952,0.621917808218996,0.602739726027266,0.583561643835537,0.564383561643808,0.545205479451852,0.526027397260123,0.506849315068393,0.487671232876664,0.468493150684935,0.449315068492979,0.43013698630125,0.41095890410952,0.391780821917791,0.372602739725835,0.353424657534106,0.334246575342377,0.315068493150648,0.295890410958691,0.276712328766962,0.265753424657532,0.246575342465576,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698432,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,1.16877760311399,0.698630136986139,0.698630136986139,0.698630136986139,0.698630136986139,0.621917808218996,0.621917808218996,0.583561643835537,0.583561643835537,0.583561643835537,0.583561643835537,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.506849315068393,0.315068493150648,0.315068493150648,0.315068493150648,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532
