transmission_lineage	last_sampling_date	comuna	evalTimes	ancTimes
Gamma_TL_55	2021.7369863013698	Antofagasta	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.996549142899767,0.977423459839883,0.958297776779773,0.939172093719662,0.920046410659552,0.900920727599441,0.881795044539331,0.86266936147922,0.84354367841911,0.824417995358999,0.805292312298889,0.786166629238778,0.767040946178668,0.747915263118557,0.742450782244077,0.723287671232811,0.704109589041082,0.701369863013724,0.682191780821768,0.663013698630039,0.64383561643831,0.62465753424658,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465621,0.427397260273892,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.345205479452034,0.326027397260304,0.306849315068348,0.287671232876619,0.26849315068489,0.249315068493161,0.230136986301432,0.210958904109475,0.191780821917746,0.172602739726017,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0383561643834582,0.0191780821917291	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.996549142899767,0.996549142899767,0.996549142899767,0.996549142899767,0.996549142899767,0.996549142899767,0.881795044539331,0.881795044539331,0.881795044539331,0.881795044539331,0.881795044539331,0.881795044539331,0.881795044539331,0.881795044539331,0.742450782244077,0.742450782244077,0.742450782244077,0.701369863013724,0.701369863013724,0.701369863013724,0.701369863013724,0.701369863013724,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.413698630136878,0.413698630136878,0.413698630136878,0.413698630136878,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034,0.345205479452034
Gamma_TL_55	2021.7369863013698	Arica	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.98015570027701,0.961030017216899,0.941904334156789,0.922778651096678,0.903652968036567,0.884527284976457,0.881795044539331,0.86266936147922,0.84354367841911,0.824417995358999,0.805292312298889,0.786166629238778,0.767040946178668,0.747915263118557,0.728767123287525,0.709589041095796,0.701369863013724,0.682191780821768,0.663013698630039,0.64383561643831,0.62465753424658,0.605479452054851,0.586301369862895,0.567123287671166,0.556164383561509,0.53698630136978,0.51780821917805,0.498630136986321,0.479452054794592,0.460273972602636,0.441095890410907,0.421917808219177,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.336986301369734,0.317808219178005,0.298630136986276,0.279452054794547,0.26027397260259,0.241095890410861,0.221917808219132,0.202739726027403,0.189041095890389,0.169863013698659,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027397865,0.05479452054783,0.0356164383561008,0.0164383561643717	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.881795044539331,0.881795044539331,0.84354367841911,0.84354367841911,0.84354367841911,0.84354367841911,0.84354367841911,0.84354367841911,0.84354367841911,0.84354367841911,0.701369863013724,0.701369863013724,0.701369863013724,0.64383561643831,0.64383561643831,0.64383561643831,0.64383561643831,0.64383561643831,0.556164383561509,0.556164383561509,0.556164383561509,0.556164383561509,0.556164383561509,0.556164383561509,0.556164383561509,0.556164383561509,0.413698630136878,0.413698630136878,0.413698630136878,0.413698630136878,0.413698630136878,0.413698630136878,0.413698630136878,0.279452054794547,0.279452054794547,0.279452054794547,0.279452054794547,0.279452054794547,0.189041095890389,0.189041095890389,0.189041095890389,0.189041095890389,0.189041095890389,0.189041095890389,0.189041095890389,0.189041095890389,0.189041095890389
Gamma_TL_55	2021.7369863013698	Concepcion	1.11403548169778,1.10037427951193,1.08124859645181,1.0621229133917,1.04299723033159,1.02387154727148,1.00474586421137,0.985620181151262,0.966494498091151,0.947368815031041,0.939172093719662,0.920046410659552,0.900920727599441,0.881795044539331,0.86266936147922,0.84354367841911,0.824417995358999,0.805292312298889,0.786166629238778,0.767040946178668,0.747915263118557,0.728767123287525,0.709589041095796,0.701369863013724,0.682191780821768,0.663013698630039,0.64383561643831,0.62465753424658,0.605479452054851,0.586301369862895,0.567123287671166,0.561643835616451,0.542465753424722,0.523287671232765,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465621,0.427397260273892,0.408219178082163,0.389041095890434,0.383561643835492,0.364383561643763,0.345205479452034,0.326027397260304,0.306849315068348,0.287671232876619,0.26849315068489,0.249315068493161,0.230136986301432,0.221917808219132,0.202739726027403,0.183561643835674,0.164383561643717,0.145205479451988,0.126027397260259,0.10684931506853,0.0876712328765734,0.0684931506848443,0.0493150684931152,0.0301369863013861,0.0109589041096569	1.13316116475789,1.13316116475789,1.10037427951193,1.08124859645181,1.08124859645181,1.08124859645181,1.08124859645181,1.08124859645181,1.08124859645181,1.08124859645181,1.08124859645181,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.939172093719662,0.701369863013724,0.701369863013724,0.701369863013724,0.701369863013724,0.62465753424658,0.62465753424658,0.62465753424658,0.62465753424658,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.561643835616451,0.383561643835492,0.383561643835492,0.383561643835492,0.383561643835492,0.383561643835492,0.383561643835492,0.383561643835492,0.383561643835492,0.383561643835492,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132
Gamma_TL_55	2021.7369863013698	Copiapo	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.982887940714136,0.963762257654025,0.944636574593915,0.925510891533804,0.906385208473694,0.892724006287835,0.873598323227725,0.854472640167614,0.835346957107504,0.816221274047393,0.797095590987283,0.777969907927172,0.758844224867062,0.739718541806951,0.720547945205453,0.701369863013724,0.682191780821768,0.663013698630039,0.64383561643831,0.638356164383595,0.619178082191638,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.495890410958964,0.476712328767007,0.465753424657578,0.446575342465621,0.427397260273892,0.408219178082163,0.389041095890434,0.369863013698705,0.356164383561691,0.336986301369734,0.317808219178005,0.298630136986276,0.279452054794547,0.26027397260259,0.241095890410861,0.221917808219132,0.202739726027403,0.183561643835674,0.167123287671302,0.147945205479346,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767122017,0.0520547945204726,0.0328767123287435,0.0136986301370143	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.701369863013724,0.701369863013724,0.701369863013724,0.701369863013724,0.638356164383595,0.638356164383595,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.356164383561691,0.167123287671302,0.167123287671302,0.167123287671302,0.167123287671302,0.167123287671302,0.167123287671302,0.167123287671302,0.167123287671302
Gamma_TL_55	2021.7369863013698	Iquique	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.982887940714136,0.963762257654025,0.944636574593915,0.925510891533804,0.906385208473694,0.887259525413583,0.868133842353473,0.849008159293362,0.829882476233252,0.810756793173141,0.79163111011303,0.77250542705292,0.767040946178668,0.747915263118557,0.728767123287525,0.709589041095796,0.690410958904067,0.671232876712338,0.652054794520609,0.632876712328653,0.613698630136923,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.523287671232765,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465621,0.427397260273892,0.408219178082163,0.389041095890434,0.369863013698705,0.364383561643763,0.345205479452034,0.326027397260304,0.306849315068348,0.287671232876619,0.26849315068489,0.249315068493161,0.230136986301432,0.210958904109475,0.191780821917746,0.172602739726017,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0383561643834582,0.0191780821917291	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.982887940714136,0.767040946178668,0.767040946178668,0.728767123287525,0.728767123287525,0.728767123287525,0.728767123287525,0.728767123287525,0.728767123287525,0.728767123287525,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.523287671232765,0.523287671232765,0.523287671232765,0.523287671232765,0.523287671232765,0.523287671232765,0.523287671232765,0.523287671232765,0.523287671232765,0.364383561643763,0.364383561643763,0.364383561643763,0.364383561643763,0.364383561643763,0.364383561643763,0.364383561643763,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432
Gamma_TL_55	2021.7369863013698	Los_Angeles	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.98015570027701,0.961030017216899,0.941904334156789,0.922778651096678,0.903652968036567,0.884527284976457,0.868133842353473,0.849008159293362,0.829882476233252,0.810756793173141,0.79163111011303,0.77250542705292,0.753379743992809,0.734246575342468,0.715068493150739,0.695890410958782,0.676712328767053,0.671232876712338,0.652054794520609,0.632876712328653,0.613698630136923,0.599999999999909,0.58082191780818,0.561643835616451,0.542465753424722,0.523287671232765,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465621,0.427397260273892,0.408219178082163,0.389041095890434,0.369863013698705,0.364383561643763,0.345205479452034,0.326027397260304,0.31232876712329,0.293150684931561,0.273972602739605,0.254794520547875,0.235616438356146,0.230136986301432,0.210958904109475,0.191780821917746,0.172602739726017,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0383561643834582,0.0191780821917291	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.868133842353473,0.868133842353473,0.868133842353473,0.868133842353473,0.79163111011303,0.79163111011303,0.79163111011303,0.79163111011303,0.79163111011303,0.79163111011303,0.79163111011303,0.671232876712338,0.671232876712338,0.671232876712338,0.671232876712338,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.599999999999909,0.364383561643763,0.364383561643763,0.364383561643763,0.31232876712329,0.31232876712329,0.31232876712329,0.31232876712329,0.31232876712329,0.230136986301432,0.230136986301432,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746
Gamma_TL_55	2021.7369863013698	Pirque	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.98015570027701,0.961030017216899,0.941904334156789,0.922778651096678,0.903652968036567,0.884527284976457,0.865401601916346,0.846275918856236,0.827150235796125,0.808024552736015,0.797095590987283,0.777969907927172,0.758844224867062,0.739718541806951,0.728767123287525,0.709589041095796,0.690410958904067,0.671232876712338,0.652054794520609,0.64383561643831,0.62465753424658,0.605479452054851,0.586301369862895,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095751,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328834,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.336986301369734,0.317808219178005,0.298630136986276,0.279452054794547,0.26027397260259,0.246575342465803,0.227397260273847,0.208219178082118,0.191780821917746,0.172602739726017,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0383561643834582,0.0191780821917291	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.728767123287525,0.728767123287525,0.728767123287525,0.728767123287525,0.728767123287525,0.64383561643831,0.64383561643831,0.64383561643831,0.64383561643831,0.64383561643831,0.64383561643831,0.64383561643831,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.246575342465803,0.246575342465803,0.246575342465803,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746
Gamma_TL_55	2021.7369863013698	Puente_Alto	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.996549142899767,0.977423459839883,0.958297776779773,0.939172093719662,0.920046410659552,0.900920727599441,0.892724006287835,0.873598323227725,0.854472640167614,0.835346957107504,0.816221274047393,0.797095590987283,0.777969907927172,0.758844224867062,0.739718541806951,0.720547945205453,0.701369863013724,0.682191780821768,0.663013698630039,0.64383561643831,0.62465753424658,0.605479452054851,0.586301369862895,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095751,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328834,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.336986301369734,0.317808219178005,0.298630136986276,0.279452054794547,0.26027397260259,0.246575342465803,0.227397260273847,0.208219178082118,0.191780821917746,0.172602739726017,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0383561643834582,0.0191780821917291	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.996549142899767,0.996549142899767,0.996549142899767,0.996549142899767,0.996549142899767,0.996549142899767,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.892724006287835,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.797095590987283,0.62465753424658,0.62465753424658,0.62465753424658,0.567123287671166,0.567123287671166,0.567123287671166,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.246575342465803,0.246575342465803,0.246575342465803,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746,0.191780821917746
Gamma_TL_55	2021.7369863013698	Puerto_Montt	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.98015570027701,0.961030017216899,0.941904334156789,0.922778651096678,0.903652968036567,0.884527284976457,0.865401601916346,0.846275918856236,0.827150235796125,0.808024552736015,0.805292312298889,0.786166629238778,0.767040946178668,0.747915263118557,0.728767123287525,0.709589041095796,0.701369863013724,0.682191780821768,0.663013698630039,0.64383561643831,0.62465753424658,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.495890410958964,0.476712328767007,0.457534246575278,0.438356164383549,0.41917808219182,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424676,0.323287671232947,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465803,0.227397260273847,0.221917808219132,0.202739726027403,0.183561643835674,0.164383561643717,0.145205479451988,0.126027397260259,0.10684931506853,0.0876712328765734,0.0684931506848443,0.0493150684931152,0.0301369863013861,0.0109589041096569	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.805292312298889,0.805292312298889,0.805292312298889,0.805292312298889,0.805292312298889,0.805292312298889,0.701369863013724,0.701369863013724,0.701369863013724,0.701369863013724,0.701369863013724,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132,0.221917808219132
Gamma_TL_55	2021.7369863013698	Requinoa	1.11403548169778,1.09490979863767,1.07578411557756,1.05665843251745,1.03753274945734,1.01840706639723,0.99928138333712,0.98015570027701,0.961030017216899,0.941904334156789,0.922778651096678,0.903652968036567,0.884527284976457,0.865401601916346,0.846275918856236,0.827150235796125,0.808024552736015,0.788898869675904,0.769773186615794,0.750647503555683,0.73150684931511,0.712328767123154,0.693150684931425,0.673972602739696,0.663013698630039,0.64383561643831,0.62465753424658,0.605479452054851,0.586301369862895,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095751,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328834,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.336986301369734,0.317808219178005,0.298630136986276,0.279452054794547,0.26027397260259,0.241095890410861,0.230136986301432,0.210958904109475,0.191780821917746,0.172602739726017,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465754147,0.0383561643834582,0.0191780821917291	1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,1.13316116475789,0.663013698630039,0.663013698630039,0.663013698630039,0.663013698630039,0.586301369862895,0.586301369862895,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.471232876712293,0.279452054794547,0.279452054794547,0.279452054794547,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432,0.230136986301432
