transmission_lineage	last_sampling_date	comuna	evalTimes	ancTimes
Lambda_TL_95	2021.695890410959	Antofagasta	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.955453252488951,0.936327569429068,0.917201886368957,0.898076203308847,0.878950520248736,0.859824837188626,0.840699154128515,0.821573471068405,0.802447788008294,0.783322104948184,0.764196421888073,0.745070738827962,0.725945055767852,0.706819372707741,0.701354891833262,0.682191780821995,0.663013698630266,0.660273972602909,0.641095890410952,0.621917808219223,0.602739726027494,0.583561643835765,0.56986301369875,0.550684931507021,0.531506849315065,0.512328767123336,0.493150684931607,0.473972602739877,0.46301369863022,0.443835616438491,0.424657534246762,0.405479452054806,0.386301369863077,0.372602739726062,0.353424657534333,0.334246575342604,0.315068493150875,0.304109589041218,0.284931506849489,0.265753424657532,0.246575342465803,0.227397260274074,0.208219178082345,0.189041095890616,0.169863013698659,0.15068493150693,0.131506849315201,0.112328767123472,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561645991	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.955453252488951,0.955453252488951,0.955453252488951,0.955453252488951,0.955453252488951,0.955453252488951,0.840699154128515,0.840699154128515,0.840699154128515,0.840699154128515,0.840699154128515,0.840699154128515,0.840699154128515,0.840699154128515,0.701354891833262,0.701354891833262,0.701354891833262,0.660273972602909,0.660273972602909,0.660273972602909,0.660273972602909,0.660273972602909,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.46301369863022,0.46301369863022,0.46301369863022,0.46301369863022,0.46301369863022,0.372602739726062,0.372602739726062,0.372602739726062,0.372602739726062,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218,0.304109589041218
Lambda_TL_95	2021.695890410959	Arica	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.939059809866194,0.919934126806083,0.900808443745973,0.881682760685862,0.862557077625752,0.843431394565641,0.840699154128515,0.821573471068405,0.802447788008294,0.783322104948184,0.764196421888073,0.745070738827962,0.725945055767852,0.706819372707741,0.68767123287671,0.668493150684981,0.660273972602909,0.641095890410952,0.621917808219223,0.602739726027494,0.583561643835765,0.564383561644036,0.545205479452079,0.52602739726035,0.515068493150693,0.495890410958964,0.476712328767235,0.457534246575506,0.438356164383777,0.41917808219182,0.400000000000091,0.380821917808362,0.372602739726062,0.353424657534333,0.334246575342604,0.315068493150875,0.295890410958918,0.276712328767189,0.25753424657546,0.238356164383731,0.219178082191775,0.200000000000045,0.180821917808316,0.161643835616587,0.147945205479573,0.128767123287844,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123289708,0.0136986301370143	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.840699154128515,0.840699154128515,0.802447788008294,0.802447788008294,0.802447788008294,0.802447788008294,0.802447788008294,0.802447788008294,0.802447788008294,0.802447788008294,0.660273972602909,0.660273972602909,0.660273972602909,0.602739726027494,0.602739726027494,0.602739726027494,0.602739726027494,0.602739726027494,0.515068493150693,0.515068493150693,0.515068493150693,0.515068493150693,0.515068493150693,0.515068493150693,0.515068493150693,0.515068493150693,0.372602739726062,0.372602739726062,0.372602739726062,0.372602739726062,0.372602739726062,0.372602739726062,0.372602739726062,0.238356164383731,0.238356164383731,0.238356164383731,0.238356164383731,0.238356164383731,0.147945205479573,0.147945205479573,0.147945205479573,0.147945205479573,0.147945205479573,0.147945205479573,0.147945205479573
Lambda_TL_95	2021.695890410959	Concepcion	1.07293959128697,1.05927838910111,1.040152706041,1.02102702298089,1.00190133992078,0.982775656860667,0.963649973800557,0.944524290740446,0.925398607680336,0.906272924620225,0.898076203308847,0.878950520248736,0.859824837188626,0.840699154128515,0.821573471068405,0.802447788008294,0.783322104948184,0.764196421888073,0.745070738827962,0.725945055767852,0.706819372707741,0.68767123287671,0.668493150684981,0.660273972602909,0.641095890410952,0.621917808219223,0.602739726027494,0.583561643835765,0.564383561644036,0.545205479452079,0.52602739726035,0.520547945205635,0.501369863013906,0.48219178082195,0.46301369863022,0.443835616438491,0.424657534246762,0.405479452054806,0.386301369863077,0.367123287671347,0.347945205479618,0.342465753424676,0.323287671232947,0.304109589041218,0.284931506849489,0.265753424657532,0.246575342465803,0.227397260274074,0.208219178082345,0.189041095890616,0.180821917808316,0.161643835616587,0.142465753424858,0.123287671232902,0.104109589041173,0.0849315068494434,0.0657534246577143,0.0465753424657578,0.0273972602740287,0.00821917808229955	1.09206527434708,1.09206527434708,1.05927838910111,1.040152706041,1.040152706041,1.040152706041,1.040152706041,1.040152706041,1.040152706041,1.040152706041,1.040152706041,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.898076203308847,0.660273972602909,0.660273972602909,0.660273972602909,0.660273972602909,0.583561643835765,0.583561643835765,0.583561643835765,0.583561643835765,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.520547945205635,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316
Lambda_TL_95	2021.695890410959	Copiapo	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.94179205030332,0.92266636724321,0.903540684183099,0.884415001122989,0.865289318062878,0.85162811587702,0.832502432816909,0.813376749756799,0.794251066696688,0.775125383636578,0.755999700576467,0.736874017516357,0.717748334456246,0.698622651396136,0.679452054794638,0.660273972602909,0.641095890410952,0.621917808219223,0.602739726027494,0.597260273972779,0.578082191780823,0.56986301369875,0.550684931507021,0.531506849315065,0.512328767123336,0.493150684931607,0.473972602739877,0.454794520548148,0.435616438356192,0.424657534246762,0.405479452054806,0.386301369863077,0.367123287671347,0.347945205479618,0.328767123287889,0.315068493150875,0.295890410958918,0.276712328767189,0.25753424657546,0.238356164383731,0.219178082191775,0.200000000000045,0.180821917808316,0.161643835616587,0.142465753424858,0.126027397260486,0.10684931506853,0.0876712328768008,0.0684931506850717,0.0493150684933426,0.0301369863013861,0.0109589041096569	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.660273972602909,0.660273972602909,0.660273972602909,0.660273972602909,0.597260273972779,0.597260273972779,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.424657534246762,0.424657534246762,0.424657534246762,0.424657534246762,0.424657534246762,0.424657534246762,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.315068493150875,0.126027397260486,0.126027397260486,0.126027397260486,0.126027397260486,0.126027397260486,0.126027397260486
Lambda_TL_95	2021.695890410959	Iquique	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.94179205030332,0.92266636724321,0.903540684183099,0.884415001122989,0.865289318062878,0.846163635002767,0.827037951942657,0.807912268882546,0.788786585822436,0.769660902762325,0.750535219702215,0.731409536642104,0.725945055767852,0.706819372707741,0.68767123287671,0.668493150684981,0.649315068493252,0.630136986301522,0.610958904109793,0.591780821917837,0.572602739726108,0.56986301369875,0.550684931507021,0.531506849315065,0.512328767123336,0.493150684931607,0.48219178082195,0.46301369863022,0.443835616438491,0.424657534246762,0.405479452054806,0.386301369863077,0.367123287671347,0.347945205479618,0.328767123287889,0.323287671232947,0.304109589041218,0.284931506849489,0.265753424657532,0.246575342465803,0.227397260274074,0.208219178082345,0.189041095890616,0.169863013698659,0.15068493150693,0.131506849315201,0.112328767123472,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561645991	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.94179205030332,0.725945055767852,0.725945055767852,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.48219178082195,0.48219178082195,0.48219178082195,0.48219178082195,0.48219178082195,0.48219178082195,0.48219178082195,0.48219178082195,0.48219178082195,0.323287671232947,0.323287671232947,0.323287671232947,0.323287671232947,0.323287671232947,0.323287671232947,0.323287671232947,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616
Lambda_TL_95	2021.695890410959	Los_Angeles	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.939059809866194,0.919934126806083,0.900808443745973,0.881682760685862,0.862557077625752,0.843431394565641,0.827037951942657,0.807912268882546,0.788786585822436,0.769660902762325,0.750535219702215,0.731409536642104,0.712283853581994,0.693150684931652,0.673972602739923,0.654794520547966,0.635616438356237,0.630136986301522,0.610958904109793,0.591780821917837,0.572602739726108,0.558904109589093,0.539726027397364,0.520547945205635,0.501369863013906,0.48219178082195,0.46301369863022,0.443835616438491,0.424657534246762,0.405479452054806,0.386301369863077,0.367123287671347,0.347945205479618,0.328767123287889,0.323287671232947,0.304109589041218,0.284931506849489,0.271232876712475,0.252054794520745,0.232876712328789,0.21369863013706,0.194520547945331,0.189041095890616,0.169863013698659,0.15068493150693,0.131506849315201,0.112328767123472,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561645991	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.827037951942657,0.827037951942657,0.827037951942657,0.827037951942657,0.750535219702215,0.750535219702215,0.750535219702215,0.750535219702215,0.750535219702215,0.750535219702215,0.750535219702215,0.630136986301522,0.630136986301522,0.630136986301522,0.630136986301522,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.558904109589093,0.323287671232947,0.323287671232947,0.323287671232947,0.271232876712475,0.271232876712475,0.271232876712475,0.271232876712475,0.271232876712475,0.189041095890616,0.189041095890616,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693
Lambda_TL_95	2021.695890410959	Pirque	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.939059809866194,0.919934126806083,0.900808443745973,0.881682760685862,0.862557077625752,0.843431394565641,0.824305711505531,0.80518002844542,0.78605434538531,0.766928662325199,0.755999700576467,0.736874017516357,0.717748334456246,0.698622651396136,0.68767123287671,0.668493150684981,0.649315068493252,0.630136986301522,0.610958904109793,0.602739726027494,0.583561643835765,0.564383561644036,0.545205479452079,0.52602739726035,0.506849315068621,0.487671232876892,0.468493150684935,0.449315068493206,0.430136986301477,0.410958904109748,0.391780821918019,0.372602739726062,0.353424657534333,0.334246575342604,0.315068493150875,0.295890410958918,0.276712328767189,0.25753424657546,0.238356164383731,0.219178082191775,0.205479452054988,0.186301369863031,0.167123287671302,0.15068493150693,0.131506849315201,0.112328767123472,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561645991	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.602739726027494,0.602739726027494,0.602739726027494,0.602739726027494,0.602739726027494,0.602739726027494,0.602739726027494,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.205479452054988,0.205479452054988,0.205479452054988,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693
Lambda_TL_95	2021.695890410959	Puente_Alto	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.955453252488951,0.936327569429068,0.917201886368957,0.898076203308847,0.878950520248736,0.859824837188626,0.85162811587702,0.832502432816909,0.813376749756799,0.794251066696688,0.775125383636578,0.755999700576467,0.736874017516357,0.717748334456246,0.698622651396136,0.679452054794638,0.660273972602909,0.641095890410952,0.621917808219223,0.602739726027494,0.583561643835765,0.564383561644036,0.545205479452079,0.52602739726035,0.506849315068621,0.487671232876892,0.468493150684935,0.449315068493206,0.430136986301477,0.410958904109748,0.391780821918019,0.372602739726062,0.353424657534333,0.334246575342604,0.315068493150875,0.295890410958918,0.276712328767189,0.25753424657546,0.238356164383731,0.219178082191775,0.205479452054988,0.186301369863031,0.167123287671302,0.15068493150693,0.131506849315201,0.112328767123472,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561645991	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.955453252488951,0.955453252488951,0.955453252488951,0.955453252488951,0.955453252488951,0.955453252488951,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.85162811587702,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.755999700576467,0.583561643835765,0.583561643835765,0.583561643835765,0.52602739726035,0.52602739726035,0.52602739726035,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.468493150684935,0.205479452054988,0.205479452054988,0.205479452054988,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693,0.15068493150693
Lambda_TL_95	2021.695890410959	Puerto_Montt	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.939059809866194,0.919934126806083,0.900808443745973,0.881682760685862,0.862557077625752,0.843431394565641,0.824305711505531,0.80518002844542,0.78605434538531,0.766928662325199,0.764196421888073,0.745070738827962,0.725945055767852,0.706819372707741,0.68767123287671,0.668493150684981,0.660273972602909,0.641095890410952,0.621917808219223,0.602739726027494,0.583561643835765,0.56986301369875,0.550684931507021,0.531506849315065,0.512328767123336,0.493150684931607,0.473972602739877,0.454794520548148,0.435616438356192,0.416438356164463,0.397260273972734,0.378082191781004,0.358904109589048,0.339726027397319,0.32054794520559,0.301369863013861,0.282191780822131,0.263013698630175,0.243835616438446,0.224657534246717,0.205479452054988,0.186301369863031,0.180821917808316,0.161643835616587,0.142465753424858,0.123287671232902,0.104109589041173,0.0849315068494434,0.0657534246577143,0.0465753424657578,0.0273972602740287,0.00821917808229955	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.764196421888073,0.764196421888073,0.764196421888073,0.764196421888073,0.764196421888073,0.764196421888073,0.660273972602909,0.660273972602909,0.660273972602909,0.660273972602909,0.660273972602909,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.56986301369875,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316,0.180821917808316
Lambda_TL_95	2021.695890410959	Requinoa	1.07293959128697,1.05381390822686,1.03468822516675,1.01556254210664,0.996436859046526,0.977311175986415,0.958185492926305,0.939059809866194,0.919934126806083,0.900808443745973,0.881682760685862,0.862557077625752,0.843431394565641,0.824305711505531,0.80518002844542,0.78605434538531,0.766928662325199,0.747802979265089,0.728677296204978,0.709551613144868,0.690410958904295,0.671232876712338,0.652054794520609,0.63287671232888,0.621917808219223,0.602739726027494,0.583561643835765,0.564383561644036,0.545205479452079,0.52602739726035,0.506849315068621,0.487671232876892,0.468493150684935,0.449315068493206,0.430136986301477,0.410958904109748,0.391780821918019,0.372602739726062,0.353424657534333,0.334246575342604,0.315068493150875,0.295890410958918,0.276712328767189,0.25753424657546,0.238356164383731,0.219178082191775,0.200000000000045,0.189041095890616,0.169863013698659,0.15068493150693,0.131506849315201,0.112328767123472,0.0931506849315156,0.0739726027397865,0.0547945205480573,0.0356164383563282,0.0164383561645991	1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,1.09206527434708,0.621917808219223,0.621917808219223,0.621917808219223,0.621917808219223,0.545205479452079,0.545205479452079,0.506849315068621,0.506849315068621,0.506849315068621,0.506849315068621,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.430136986301477,0.238356164383731,0.238356164383731,0.238356164383731,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616,0.189041095890616
