transmission_lineage	last_sampling_date	comuna	evalTimes	ancTimes
Mu_TL_15	2021.731506849315	Antofagasta	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.991069690845052,0.971944007785169,0.952818324725058,0.933692641664948,0.914566958604837,0.895441275544727,0.876315592484616,0.857189909424505,0.838064226364395,0.818938543304284,0.799812860244174,0.780687177184063,0.761561494123953,0.742435811063842,0.736971330189363,0.717808219178096,0.698630136986367,0.695890410959009,0.676712328767053,0.657534246575324,0.638356164383595,0.619178082191866,0.605479452054851,0.586301369863122,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095978,0.498630136986321,0.479452054794592,0.460273972602863,0.441095890410907,0.421917808219177,0.408219178082163,0.389041095890434,0.369863013698705,0.350684931506976,0.339726027397319,0.32054794520559,0.301369863013633,0.282191780821904,0.263013698630175,0.243835616438446,0.224657534246717,0.20547945205476,0.186301369863031,0.167123287671302,0.147945205479573,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123287435,0.0136986301370143	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.991069690845052,0.991069690845052,0.991069690845052,0.991069690845052,0.991069690845052,0.991069690845052,0.876315592484616,0.876315592484616,0.876315592484616,0.876315592484616,0.876315592484616,0.876315592484616,0.876315592484616,0.876315592484616,0.736971330189363,0.736971330189363,0.736971330189363,0.695890410959009,0.695890410959009,0.695890410959009,0.695890410959009,0.695890410959009,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.498630136986321,0.498630136986321,0.498630136986321,0.498630136986321,0.498630136986321,0.408219178082163,0.408219178082163,0.408219178082163,0.408219178082163,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319,0.339726027397319
Mu_TL_15	2021.731506849315	Arica	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.974676248222295,0.955550565162184,0.936424882102074,0.917299199041963,0.898173515981853,0.879047832921742,0.876315592484616,0.857189909424505,0.838064226364395,0.818938543304284,0.799812860244174,0.780687177184063,0.761561494123953,0.742435811063842,0.723287671232811,0.704109589041082,0.695890410959009,0.676712328767053,0.657534246575324,0.638356164383595,0.619178082191866,0.600000000000136,0.58082191780818,0.561643835616451,0.550684931506794,0.531506849315065,0.512328767123336,0.493150684931607,0.473972602739877,0.454794520547921,0.435616438356192,0.416438356164463,0.408219178082163,0.389041095890434,0.369863013698705,0.350684931506976,0.331506849315019,0.31232876712329,0.293150684931561,0.273972602739832,0.254794520547875,0.235616438356146,0.216438356164417,0.197260273972688,0.183561643835674,0.164383561643945,0.145205479451988,0.126027397260259,0.10684931506853,0.0876712328768008,0.0684931506850717,0.0493150684931152,0.0301369863013861,0.0109589041096569	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.876315592484616,0.876315592484616,0.838064226364395,0.838064226364395,0.838064226364395,0.838064226364395,0.838064226364395,0.838064226364395,0.838064226364395,0.838064226364395,0.695890410959009,0.695890410959009,0.695890410959009,0.638356164383595,0.638356164383595,0.638356164383595,0.638356164383595,0.638356164383595,0.550684931506794,0.550684931506794,0.550684931506794,0.550684931506794,0.550684931506794,0.550684931506794,0.550684931506794,0.550684931506794,0.408219178082163,0.408219178082163,0.408219178082163,0.408219178082163,0.408219178082163,0.408219178082163,0.408219178082163,0.273972602739832,0.273972602739832,0.273972602739832,0.273972602739832,0.273972602739832,0.183561643835674,0.183561643835674,0.183561643835674,0.183561643835674,0.183561643835674,0.183561643835674,0.183561643835674,0.183561643835674,0.183561643835674
Mu_TL_15	2021.731506849315	Concepcion	1.10855602964307,1.09489482745721,1.0757691443971,1.05664346133699,1.03751777827688,1.01839209521677,0.999266412156658,0.980140729096547,0.961015046036437,0.941889362976326,0.933692641664948,0.914566958604837,0.895441275544727,0.876315592484616,0.857189909424505,0.838064226364395,0.818938543304284,0.799812860244174,0.780687177184063,0.761561494123953,0.742435811063842,0.723287671232811,0.704109589041082,0.695890410959009,0.676712328767053,0.657534246575324,0.638356164383595,0.619178082191866,0.600000000000136,0.58082191780818,0.561643835616451,0.556164383561736,0.536986301370007,0.51780821917805,0.498630136986321,0.479452054794592,0.460273972602863,0.441095890410907,0.421917808219177,0.402739726027448,0.383561643835719,0.378082191780777,0.358904109589048,0.339726027397319,0.32054794520559,0.301369863013633,0.282191780821904,0.263013698630175,0.243835616438446,0.224657534246717,0.216438356164417,0.197260273972688,0.178082191780959,0.158904109589002,0.139726027397273,0.120547945205544,0.101369863013815,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342466713,0.00547945205494216	1.12768171270318,1.12768171270318,1.09489482745721,1.0757691443971,1.0757691443971,1.0757691443971,1.0757691443971,1.0757691443971,1.0757691443971,1.0757691443971,1.0757691443971,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.933692641664948,0.695890410959009,0.695890410959009,0.695890410959009,0.695890410959009,0.619178082191866,0.619178082191866,0.619178082191866,0.619178082191866,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.556164383561736,0.378082191780777,0.378082191780777,0.378082191780777,0.378082191780777,0.378082191780777,0.378082191780777,0.378082191780777,0.378082191780777,0.378082191780777,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417
Mu_TL_15	2021.731506849315	Copiapo	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.977408488659421,0.95828280559931,0.9391571225392,0.920031439479089,0.900905756418979,0.887244554233121,0.86811887117301,0.8489931881129,0.829867505052789,0.810741821992679,0.791616138932568,0.772490455872457,0.753364772812347,0.734239089752236,0.715068493150739,0.695890410959009,0.676712328767053,0.657534246575324,0.638356164383595,0.63287671232888,0.613698630136923,0.605479452054851,0.586301369863122,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095978,0.490410958904249,0.471232876712293,0.460273972602863,0.441095890410907,0.421917808219177,0.402739726027448,0.383561643835719,0.36438356164399,0.350684931506976,0.331506849315019,0.31232876712329,0.293150684931561,0.273972602739832,0.254794520547875,0.235616438356146,0.216438356164417,0.197260273972688,0.178082191780959,0.161643835616587,0.142465753424631,0.123287671232902,0.104109589041173,0.0849315068494434,0.0657534246574869,0.0465753424657578,0.0273972602740287,0.00821917808229955	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.695890410959009,0.695890410959009,0.695890410959009,0.695890410959009,0.63287671232888,0.63287671232888,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.460273972602863,0.460273972602863,0.460273972602863,0.460273972602863,0.460273972602863,0.460273972602863,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.350684931506976,0.161643835616587,0.161643835616587,0.161643835616587,0.161643835616587,0.161643835616587,0.161643835616587,0.161643835616587,0.161643835616587
Mu_TL_15	2021.731506849315	Iquique	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.977408488659421,0.95828280559931,0.9391571225392,0.920031439479089,0.900905756418979,0.881780073358868,0.862654390298758,0.843528707238647,0.824403024178537,0.805277341118426,0.786151658058316,0.767025974998205,0.761561494123953,0.742435811063842,0.723287671232811,0.704109589041082,0.684931506849352,0.665753424657623,0.646575342465894,0.627397260273938,0.608219178082209,0.605479452054851,0.586301369863122,0.567123287671166,0.547945205479436,0.528767123287707,0.51780821917805,0.498630136986321,0.479452054794592,0.460273972602863,0.441095890410907,0.421917808219177,0.402739726027448,0.383561643835719,0.36438356164399,0.358904109589048,0.339726027397319,0.32054794520559,0.301369863013633,0.282191780821904,0.263013698630175,0.243835616438446,0.224657534246717,0.20547945205476,0.186301369863031,0.167123287671302,0.147945205479573,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123287435,0.0136986301370143	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.977408488659421,0.761561494123953,0.761561494123953,0.723287671232811,0.723287671232811,0.723287671232811,0.723287671232811,0.723287671232811,0.723287671232811,0.723287671232811,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.51780821917805,0.51780821917805,0.51780821917805,0.51780821917805,0.51780821917805,0.51780821917805,0.51780821917805,0.51780821917805,0.51780821917805,0.358904109589048,0.358904109589048,0.358904109589048,0.358904109589048,0.358904109589048,0.358904109589048,0.358904109589048,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717
Mu_TL_15	2021.731506849315	Los_Angeles	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.974676248222295,0.955550565162184,0.936424882102074,0.917299199041963,0.898173515981853,0.879047832921742,0.862654390298758,0.843528707238647,0.824403024178537,0.805277341118426,0.786151658058316,0.767025974998205,0.747900291938095,0.728767123287753,0.709589041096024,0.690410958904067,0.671232876712338,0.665753424657623,0.646575342465894,0.627397260273938,0.608219178082209,0.594520547945194,0.575342465753465,0.556164383561736,0.536986301370007,0.51780821917805,0.498630136986321,0.479452054794592,0.460273972602863,0.441095890410907,0.421917808219177,0.402739726027448,0.383561643835719,0.36438356164399,0.358904109589048,0.339726027397319,0.32054794520559,0.306849315068575,0.287671232876846,0.26849315068489,0.249315068493161,0.230136986301432,0.224657534246717,0.20547945205476,0.186301369863031,0.167123287671302,0.147945205479573,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123287435,0.0136986301370143	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.862654390298758,0.862654390298758,0.862654390298758,0.862654390298758,0.786151658058316,0.786151658058316,0.786151658058316,0.786151658058316,0.786151658058316,0.786151658058316,0.786151658058316,0.665753424657623,0.665753424657623,0.665753424657623,0.665753424657623,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.594520547945194,0.358904109589048,0.358904109589048,0.358904109589048,0.306849315068575,0.306849315068575,0.306849315068575,0.306849315068575,0.306849315068575,0.224657534246717,0.224657534246717,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031
Mu_TL_15	2021.731506849315	Pirque	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.974676248222295,0.955550565162184,0.936424882102074,0.917299199041963,0.898173515981853,0.879047832921742,0.859922149861632,0.840796466801521,0.82167078374141,0.8025451006813,0.791616138932568,0.772490455872457,0.753364772812347,0.734239089752236,0.723287671232811,0.704109589041082,0.684931506849352,0.665753424657623,0.646575342465894,0.638356164383595,0.619178082191866,0.600000000000136,0.58082191780818,0.561643835616451,0.542465753424722,0.523287671232993,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465849,0.42739726027412,0.408219178082163,0.389041095890434,0.369863013698705,0.350684931506976,0.331506849315019,0.31232876712329,0.293150684931561,0.273972602739832,0.254794520547875,0.241095890411088,0.221917808219132,0.202739726027403,0.186301369863031,0.167123287671302,0.147945205479573,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123287435,0.0136986301370143	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.723287671232811,0.723287671232811,0.723287671232811,0.723287671232811,0.723287671232811,0.638356164383595,0.638356164383595,0.638356164383595,0.638356164383595,0.638356164383595,0.638356164383595,0.638356164383595,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.241095890411088,0.241095890411088,0.241095890411088,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031
Mu_TL_15	2021.731506849315	Puente_Alto	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.991069690845052,0.971944007785169,0.952818324725058,0.933692641664948,0.914566958604837,0.895441275544727,0.887244554233121,0.86811887117301,0.8489931881129,0.829867505052789,0.810741821992679,0.791616138932568,0.772490455872457,0.753364772812347,0.734239089752236,0.715068493150739,0.695890410959009,0.676712328767053,0.657534246575324,0.638356164383595,0.619178082191866,0.600000000000136,0.58082191780818,0.561643835616451,0.542465753424722,0.523287671232993,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465849,0.42739726027412,0.408219178082163,0.389041095890434,0.369863013698705,0.350684931506976,0.331506849315019,0.31232876712329,0.293150684931561,0.273972602739832,0.254794520547875,0.241095890411088,0.221917808219132,0.202739726027403,0.186301369863031,0.167123287671302,0.147945205479573,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123287435,0.0136986301370143	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.991069690845052,0.991069690845052,0.991069690845052,0.991069690845052,0.991069690845052,0.991069690845052,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.887244554233121,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.791616138932568,0.619178082191866,0.619178082191866,0.619178082191866,0.561643835616451,0.561643835616451,0.561643835616451,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.504109589041036,0.241095890411088,0.241095890411088,0.241095890411088,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031,0.186301369863031
Mu_TL_15	2021.731506849315	Puerto_Montt	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.974676248222295,0.955550565162184,0.936424882102074,0.917299199041963,0.898173515981853,0.879047832921742,0.859922149861632,0.840796466801521,0.82167078374141,0.8025451006813,0.799812860244174,0.780687177184063,0.761561494123953,0.742435811063842,0.723287671232811,0.704109589041082,0.695890410959009,0.676712328767053,0.657534246575324,0.638356164383595,0.619178082191866,0.605479452054851,0.586301369863122,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095978,0.490410958904249,0.471232876712293,0.452054794520564,0.432876712328834,0.413698630137105,0.394520547945149,0.37534246575342,0.356164383561691,0.336986301369961,0.317808219178232,0.298630136986276,0.279452054794547,0.260273972602818,0.241095890411088,0.221917808219132,0.216438356164417,0.197260273972688,0.178082191780959,0.158904109589002,0.139726027397273,0.120547945205544,0.101369863013815,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342466713,0.00547945205494216	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.799812860244174,0.799812860244174,0.799812860244174,0.799812860244174,0.799812860244174,0.799812860244174,0.695890410959009,0.695890410959009,0.695890410959009,0.695890410959009,0.695890410959009,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.605479452054851,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417
Mu_TL_15	2021.731506849315	Requinoa	1.10855602964307,1.08943034658296,1.07030466352285,1.05117898046274,1.03205329740263,1.01292761434252,0.993801931282405,0.974676248222295,0.955550565162184,0.936424882102074,0.917299199041963,0.898173515981853,0.879047832921742,0.859922149861632,0.840796466801521,0.82167078374141,0.8025451006813,0.78341941762119,0.764293734561079,0.745168051500968,0.726027397260395,0.706849315068439,0.68767123287671,0.668493150684981,0.657534246575324,0.638356164383595,0.619178082191866,0.600000000000136,0.58082191780818,0.561643835616451,0.542465753424722,0.523287671232993,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465849,0.42739726027412,0.408219178082163,0.389041095890434,0.369863013698705,0.350684931506976,0.331506849315019,0.31232876712329,0.293150684931561,0.273972602739832,0.254794520547875,0.235616438356146,0.224657534246717,0.20547945205476,0.186301369863031,0.167123287671302,0.147945205479573,0.128767123287616,0.109589041095887,0.0904109589041582,0.0712328767124291,0.0520547945206999,0.0328767123287435,0.0136986301370143	1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,1.12768171270318,0.657534246575324,0.657534246575324,0.657534246575324,0.657534246575324,0.58082191780818,0.58082191780818,0.542465753424722,0.542465753424722,0.542465753424722,0.542465753424722,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.465753424657578,0.273972602739832,0.273972602739832,0.273972602739832,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717,0.224657534246717
