Virus name,Accession ID,Pango lineage,Country,State,Date,surveillance,Variant,epiweek
hCoV-19/Argentina/PAIS-A1014/2021|EPI_ISL_4578879|2021-04-30,EPI_ISL_4578879,B.1.621,Argentina,Ciudad Autónoma de Buenos Aires,2021-04-30,background_sequences,Mu,70
hCoV-19/Argentina/PAIS-G0437/2021|EPI_ISL_8408373|2021-09-24,EPI_ISL_8408373,B.1.621,Argentina,Cordoba,2021-09-24,background_sequences,Mu,91
hCoV-19/Argentina/PAIS-G0397/2021|EPI_ISL_8408365|2021-09-28,EPI_ISL_8408365,B.1.621,Argentina,Cordoba,2021-09-28,background_sequences,Mu,92
hCoV-19/Argentina/INEI110066/2021|EPI_ISL_6694518|2021-08-19,EPI_ISL_6694518,B.1.621,Argentina,Salta,2021-08-19,background_sequences,Mu,86
hCoV-19/Argentina/INEI110092/2021|EPI_ISL_6694533|2021-08-19,EPI_ISL_6694533,B.1.621,Argentina,Tucuman,2021-08-19,background_sequences,Mu,86
hCoV-19/Argentina/INEI110426/2021|EPI_ISL_6694694|2021-08-19,EPI_ISL_6694694,B.1.621,Argentina,San Luis,2021-08-19,background_sequences,Mu,86
hCoV-19/Argentina/INEI111190/2021|EPI_ISL_6694854|2021-09-18,EPI_ISL_6694854,B.1.621,Argentina,Mendoza,2021-09-18,background_sequences,Mu,90
hCoV-19/Argentina/INEI111198/2021|EPI_ISL_6694858|2021-08-02,EPI_ISL_6694858,B.1.621,Argentina,Salta,2021-08-02,background_sequences,Mu,84
hCoV-19/Argentina/INEI111235/2021|EPI_ISL_6694884|2021-08-23,EPI_ISL_6694884,B.1.621,Argentina,Salta,2021-08-23,background_sequences,Mu,87
hCoV-19/Argentina/INEI111239/2021|EPI_ISL_6694888|2021-08-27,EPI_ISL_6694888,B.1.621,Argentina,Salta,2021-08-27,background_sequences,Mu,87
hCoV-19/Argentina/INEI111322/2021|EPI_ISL_6694956|2021-09-17,EPI_ISL_6694956,B.1.621,Argentina,NA,2021-09-17,background_sequences,Mu,90
hCoV-19/Argentina/INEI111430/2021|EPI_ISL_6695030|2021-09-06,EPI_ISL_6695030,B.1.621,Argentina,NA,2021-09-06,background_sequences,Mu,89
hCoV-19/Argentina/INEI111574/2021|EPI_ISL_6695103|2021-09-25,EPI_ISL_6695103,B.1.621,Argentina,Tucuman,2021-09-25,background_sequences,Mu,91
hCoV-19/Argentina/PAIS-G0378/2021|EPI_ISL_6062547|2021-09-04,EPI_ISL_6062547,B.1.621,Argentina,Cordoba,2021-09-04,background_sequences,Mu,88
hCoV-19/Argentina/INEI109824/2021|EPI_ISL_7751221|2021-07-09,EPI_ISL_7751221,B.1.621,Argentina,CABA,2021-07-09,background_sequences,Mu,80
hCoV-19/Argentina/PAIS-G0379/2021|EPI_ISL_6155758|2021-07-21,EPI_ISL_6155758,B.1.621,Argentina,Cordoba,2021-07-21,background_sequences,Mu,82
hCoV-19/Argentina/PAIS-G0380/2021|EPI_ISL_6155762|2021-08-02,EPI_ISL_6155762,B.1.621,Argentina,Cordoba,2021-08-02,background_sequences,Mu,84
hCoV-19/Argentina/PAIS-G0381/2021|EPI_ISL_6155769|2021-09-01,EPI_ISL_6155769,B.1.621,Argentina,Cordoba,2021-09-01,background_sequences,Mu,88
hCoV-19/Argentina/PAIS-G0383/2021|EPI_ISL_6155775|2021-09-20,EPI_ISL_6155775,B.1.621,Argentina,Cordoba,2021-09-20,background_sequences,Mu,91
hCoV-19/Argentina/PAIS-A1052/2021|EPI_ISL_4578878|2021-07-08,EPI_ISL_4578878,B.1.621,Argentina,Ciudad Autónoma de Buenos Aires,2021-07-08,background_sequences,Mu,80
hCoV-19/Argentina/PAIS-A0998/2021|EPI_ISL_4578882|2021-07-27,EPI_ISL_4578882,B.1.621,Argentina,Ciudad Autónoma de Buenos Aires,2021-07-27,background_sequences,Mu,83
hCoV-19/Argentina/PAIS-A1074/2021|EPI_ISL_4578886|2021-08-23,EPI_ISL_4578886,B.1.621,Argentina,Ciudad Autónoma de Buenos Aires,2021-08-23,background_sequences,Mu,87
hCoV-19/Brazil/RO-FIOCRUZ-ILMD2203520/2021|EPI_ISL_10115641|2021-06-18,EPI_ISL_10115641,B.1.621,Brazil,Rondonia,2021-06-18,background_sequences,Mu,77
hCoV-19/Brazil/RO-FIOCRUZ-ILMD2203519/2021|EPI_ISL_10115640|2021-06-04,EPI_ISL_10115640,B.1.621,Brazil,Rondonia,2021-06-04,background_sequences,Mu,75
hCoV-19/Brazil/SP-IB_124208/2021|EPI_ISL_3579329|2021-08-01,EPI_ISL_3579329,B.1.621,Brazil,Sao Paulo,2021-08-01,background_sequences,Mu,84
hCoV-19/Brazil/SP-IB_124207/2021|EPI_ISL_3579330|2021-08-02,EPI_ISL_3579330,B.1.621,Brazil,Sao Paulo,2021-08-02,background_sequences,Mu,84
hCoV-19/Brazil/SP-IB_124828/2021|EPI_ISL_3579331|2021-08-02,EPI_ISL_3579331,B.1.621,Brazil,Sao Paulo,2021-08-02,background_sequences,Mu,84
hCoV-19/Brazil/SP-NXBS4715GENOV827923529605/2021|EPI_ISL_6941250|2021-08-01,EPI_ISL_6941250,B.1.621,Brazil,Sao Paulo,2021-08-01,background_sequences,Mu,84
hCoV-19/Brazil/RO-FIOCRUZ-ILMD2203521/2021|EPI_ISL_10115642|2021-06-18,EPI_ISL_10115642,B.1.621,Brazil,Rondonia,2021-06-18,background_sequences,Mu,77
hCoV-19/Brazil/AM-FIOCRUZ-ILMD2100725/2021|EPI_ISL_5490873|2021-08-17,EPI_ISL_5490873,B.1.621,Brazil,Amazonas,2021-08-17,background_sequences,Mu,86
hCoV-19/Brazil/AM-FIOCRUZ-ILMD2100726/2021|EPI_ISL_5490878|2021-08-17,EPI_ISL_5490878,B.1.621,Brazil,Amazonas,2021-08-17,background_sequences,Mu,86
hCoV-19/Brazil/AM-FIOCRUZ-ILMD2100727/2021|EPI_ISL_5490886|2021-08-16,EPI_ISL_5490886,B.1.621,Brazil,Amazonas,2021-08-16,background_sequences,Mu,86
hCoV-19/Brazil/SP-IB_126879/2021|EPI_ISL_3878175|2021-08-10,EPI_ISL_3878175,B.1.621.1,Brazil,Sao Paulo,2021-08-10,background_sequences,Mu,85
hCoV-19/Brazil/SP-NVBS6900GENOV821443858269/2021|EPI_ISL_7039253|2021-09-01,EPI_ISL_7039253,B.1.621,Brazil,Sao Paulo,2021-09-01,background_sequences,Mu,88
hCoV-19/Brazil/SP-IB_123120/2021|EPI_ISL_5650473|2021-07-27,EPI_ISL_5650473,B.1.621,Brazil,Sao Paulo,2021-07-27,background_sequences,Mu,83
hCoV-19/Brazil/MT-3722/2021|EPI_ISL_2896232|2021-06-22,EPI_ISL_2896232,B.1.621,Brazil,Mato Grosso,2021-06-22,background_sequences,Mu,78
hCoV-19/Brazil/MT-3723/2021|EPI_ISL_2896233|2021-06-22,EPI_ISL_2896233,B.1.621,Brazil,Mato Grosso,2021-06-22,background_sequences,Mu,78
hCoV-19/Brazil/SP-IB_118671/2021|EPI_ISL_3031564|2021-07-08,EPI_ISL_3031564,B.1.621,Brazil,Sao Paulo,2021-07-08,background_sequences,Mu,80
hCoV-19/Brazil/SP-NVBS4685GENOV827972776111/2021|EPI_ISL_4413569|2021-08-12,EPI_ISL_4413569,B.1.621,Brazil,Sao Paulo,2021-08-12,background_sequences,Mu,85
hCoV-19/Brazil/SP-NVBS3129GENOV827843135801/2021|EPI_ISL_4424795|2021-07-15,EPI_ISL_4424795,B.1.621,Brazil,Sao Paulo,2021-07-15,background_sequences,Mu,81
hCoV-19/Brazil/RJ-LNN04081/2021|EPI_ISL_3072495|2021-06-28,EPI_ISL_3072495,B.1.621,Brazil,Rio de Janeiro,2021-06-28,background_sequences,Mu,79
hCoV-19/Brazil/SP-IB_120348/2021|EPI_ISL_3104821|2021-07-17,EPI_ISL_3104821,B.1.621,Brazil,Sao Paulo,2021-07-17,background_sequences,Mu,81
hCoV-19/Brazil/SP-IB_120349/2021|EPI_ISL_3104824|2021-07-12,EPI_ISL_3104824,B.1.621,Brazil,Sao Paulo,2021-07-12,background_sequences,Mu,81
hCoV-19/Brazil/AM-FIOCRUZ-21893593DMM/2021|EPI_ISL_4516039|2021-09-10,EPI_ISL_4516039,B.1.621,Brazil,Amazonas,2021-09-10,background_sequences,Mu,89
hCoV-19/Brazil/SP-HIAE-ID345/2021|EPI_ISL_3246157|2021-07-16,EPI_ISL_3246157,B.1.621,Brazil,Sao Paulo,2021-07-16,background_sequences,Mu,81
hCoV-19/Brazil/SP-3969/2021|EPI_ISL_3316300|2021-07-06,EPI_ISL_3316300,B.1.621,Brazil,Sao Paulo,2021-07-06,background_sequences,Mu,80
hCoV-19/Colombia/ANT-LDSP357/2021|EPI_ISL_6512558|2021-01-08,EPI_ISL_6512558,B.1.621,Colombia,Antioquia,2021-01-08,background_sequences,Mu,54
hCoV-19/Colombia/HUI-UGRA-VG-5396/2021|EPI_ISL_5020133|2021-01-16,EPI_ISL_5020133,B.1.621,Colombia,Huila,2021-01-16,background_sequences,Mu,55
hCoV-19/Colombia/MAG-INS-VG-482/2021|EPI_ISL_1220045|2021-01-11,EPI_ISL_1220045,B.1.621,Colombia,Magdalena,2021-01-11,background_sequences,Mu,55
hCoV-19/Colombia/MAG-INS-VG-1644/2021|EPI_ISL_1582993|2021-02-27,EPI_ISL_1582993,B.1.621,Colombia,Magdalena,2021-02-27,background_sequences,Mu,61
hCoV-19/Colombia/MAG-INS-VG-1330/2021|EPI_ISL_1424054|2021-02-26,EPI_ISL_1424054,B.1.621,Colombia,Magdalena,2021-02-26,background_sequences,Mu,61
hCoV-19/Colombia/MAG-INS-VG-1331/2021|EPI_ISL_1424055|2021-02-27,EPI_ISL_1424055,B.1.621,Colombia,Magdalena,2021-02-27,background_sequences,Mu,61
hCoV-19/Colombia/LAG-INS-VG-1399/2021|EPI_ISL_1582978|2021-02-26,EPI_ISL_1582978,B.1.621,Colombia,La Guajira,2021-02-26,background_sequences,Mu,61
hCoV-19/Colombia/VAC-INS-VG-1491/2021|EPI_ISL_1820958|2021-03-05,EPI_ISL_1820958,B.1.621,Colombia,Valle del Cauca,2021-03-05,background_sequences,Mu,62
hCoV-19/Colombia/ATL-INS-VG-1626/2021|EPI_ISL_1820932|2021-03-04,EPI_ISL_1820932,B.1.621,Colombia,Atlantico,2021-03-04,background_sequences,Mu,62
hCoV-19/Colombia/ATL-INS-VG-1632/2021|EPI_ISL_1820929|2021-03-03,EPI_ISL_1820929,B.1.621,Colombia,Atlantico,2021-03-03,background_sequences,Mu,62
hCoV-19/Colombia/DC-INS-335658/2021|EPI_ISL_4196902|2021-03-02,EPI_ISL_4196902,B.1.621,Colombia,Bogota,2021-03-02,background_sequences,Mu,62
hCoV-19/Colombia/ANT-PRO-LDSP287/2021|EPI_ISL_4984908|2021-03-07,EPI_ISL_4984908,B.1.621,Colombia,Antioquia,2021-03-07,background_sequences,Mu,63
hCoV-19/Colombia/ANT-PRO-LDSP358/2021|EPI_ISL_4958022|2021-03-08,EPI_ISL_4958022,B.1.621,Colombia,Antioquia,2021-03-08,background_sequences,Mu,63
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00109E/2021|EPI_ISL_1824703|2021-03-08,EPI_ISL_1824703,B.1.621,Colombia,Antioquia,2021-03-08,background_sequences,Mu,63
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00760F/2021|EPI_ISL_2621861|2021-03-10,EPI_ISL_2621861,B.1.621,Colombia,Antioquia,2021-03-10,background_sequences,Mu,63
