tip	date	distance	residual
hCoV-19/Chile/VS-113245/2021|EPI_ISL_2893002|2021-06-17	2021.4575342465753	6.730614371636619E-4	-9.553990049699518E-5
hCoV-19/Mexico/CHP-INMEGEN-30-37/2021|EPI_ISL_5030727|2021-09-22	2021.7232876712328	9.620614371636621E-4	7.931484559593304E-5
hCoV-19/Spain/GA-CHUVI-51677252/2021|EPI_ISL_4951702|2021-09-04	2021.6739726027397	7.99061437163662E-4	-6.250356089556566E-5
hCoV-19/Canada/QC-1nDWVQ-MX21293780/2021|EPI_ISL_6424535|2021-09-20	2021.717808219178	8.07061437163662E-4	-7.333164401427056E-5
hCoV-19/Peru/CUS-INS-6140/2021|EPI_ISL_5115904|2021-08-17	2021.6246575342466	7.55061437163662E-4	-8.532196738706441E-5
hCoV-19/Peru/CUS-UPCH-1389/2021|EPI_ISL_5146965|2021-09-20	2021.717808219178	7.580614371636619E-4	-1.2233164401427067E-4
hCoV-19/Peru/CUS-UPCH-1392/2021|EPI_ISL_5146941|2021-09-20	2021.717808219178	7.180614371636619E-4	-1.6233164401427067E-4
hCoV-19/Peru/CUS-UPCH-1359/2021|EPI_ISL_5146949|2021-09-13	2021.6986301369864	7.590614371636619E-4	-1.1309435764981644E-4
hCoV-19/Peru/CUS-UPCH-1369/2021|EPI_ISL_5146940|2021-09-13	2021.6986301369864	7.200614371636619E-4	-1.5209435764981653E-4
hCoV-19/Peru/CUS-UPCH-1367/2021|EPI_ISL_5146948|2021-09-13	2021.6986301369864	8.03061437163662E-4	-6.909435764981635E-5
hCoV-19/Peru/CUS-UPCH-1387/2021|EPI_ISL_5146960|2021-09-20	2021.717808219178	8.02061437163662E-4	-7.833164401427057E-5
hCoV-19/Peru/CUS-UPCH-1381/2021|EPI_ISL_5146966|2021-09-18	2021.7123287671234	7.590614371636619E-4	-1.1897813362447417E-4
hCoV-19/Peru/CUS-UPCH-1376/2021|EPI_ISL_5146970|2021-09-14	2021.7013698630137	7.570614371636619E-4	-1.1627111284477024E-4
hCoV-19/Spain/CT-RB27661/2021|EPI_ISL_6718244|2021-06-12	2021.4438356164383	6.330614371636618E-4	-1.2965612452244858E-4
hCoV-19/USA/WA-UW-21042294873/2021|EPI_ISL_2031502|2021-04-22	2021.304109589041	5.920614371636618E-4	-1.1064160958158375E-4
hCoV-19/USA/WA-UW-21042320745/2021|EPI_ISL_2037663|2021-04-23	2021.3068493150686	5.930614371636618E-4	-1.1081836477653748E-4
hCoV-19/England/PHEC-32A2BC/2021|EPI_ISL_2817385|2021-06-12	2021.4438356164383	5.940614371636618E-4	-1.6865612452244855E-4
hCoV-19/Panama/GMI-PACH106839/2021|EPI_ISL_11696288|2021-07-19	2021.545205479452	6.750614371636618E-4	-1.3119606673440498E-4
hCoV-19/Peru/LIM-INS-3859/2021|EPI_ISL_4036754|2021-07-22	2021.5534246575342	9.20061437163662E-4	1.10273667680845E-4
hCoV-19/Peru/TUM-INS-6905/2021|EPI_ISL_5199067|2021-08-12	2021.6109589041096	8.37061437163662E-4	2.5618085875933573E-6
hCoV-19/Peru/TUM-INS-6766/2021|EPI_ISL_5199324|2021-08-25	2021.6465753424657	7.97061437163662E-4	-5.273600894636129E-5
hCoV-19/Chile/AN-143945/2021|EPI_ISL_4635499|2021-08-23	2021.641095890411	7.200614371636619E-4	-1.2738249855656495E-4
hCoV-19/Chile/AN-150290/2021|EPI_ISL_4655059|2021-09-08	2021.6849315068494	0.001129061437163662	2.6278941832473036E-4
hCoV-19/Chile/AR-146379/2021|EPI_ISL_4632357|2021-08-29	2021.6575342465753	0.001172061437163662	3.1755697027393485E-4
hCoV-19/Chile/LL-145026/2021|EPI_ISL_4635572|2021-08-27	2021.6520547945206	0.001295061437163662	4.429104806637312E-4
hCoV-19/Chile/AN-148256/2021|EPI_ISL_4636611|2021-09-01	2021.6657534246576	0.001254061437163662	3.9602670468918445E-4
hCoV-19/Chile/VS-154297/2021|EPI_ISL_4656227|2021-09-16	2021.7068493150684	0.001253061437163662	3.773753767654334E-4
hCoV-19/Chile/VS-152853/2021|EPI_ISL_4655983|2021-09-11	2021.6931506849314	0.001292061437163662	4.222591527400911E-4
hCoV-19/Chile/RM-148916/2021|EPI_ISL_4652858|2021-09-06	2021.6794520547944	0.001373061437163662	5.091429287146377E-4
hCoV-19/Chile/BI-145193/2021|EPI_ISL_4635600|2021-08-25	2021.6465753424657	0.001249061437163662	3.9926399105363864E-4
hCoV-19/Chile/LI-150613/2021|EPI_ISL_4659659|2021-09-08	2021.6849315068494	0.001211061437163662	3.447894183247304E-4
hCoV-19/Chile/BI-142581/2021|EPI_ISL_4632409|2021-08-22	2021.6383561643836	0.0011700614371636623	3.237942566383892E-4
hCoV-19/Chile/BI-142580/2021|EPI_ISL_4632408|2021-08-22	2021.6383561643836	0.0011690614371636621	3.227942566383891E-4
