tip	date	distance	residual
hCoV-19/Brazil/SP-IB_126879/2021|EPI_ISL_3878175|2021-08-10	2021.6054794520549	5.502260439962499E-4	1.3290952268153538E-4
hCoV-19/Spain/AS-262113622/2021|EPI_ISL_5886781|2021-08-13	2021.613698630137	4.8021764399624973E-4	5.98261936260442E-5
hCoV-19/USA/FL-BPHL-15643/2021|EPI_ISL_6859037|2021-08-09	2021.6027397260275	3.763454439962496E-4	-3.9946100966671615E-5
hCoV-19/England/PHEC-R306RF55/2021|EPI_ISL_3573331|2021-08-08	2021.6	4.4491534399624955E-4	2.9648775385232703E-5
hCoV-19/Mexico/CMX-INMEGEN-20-177/2021|EPI_ISL_3573684|2021-08-01	2021.5808219178082	2.7489554399624957E-4	-1.3319619015188093E-4
hCoV-19/Canada/AB-ABPHL-19215/2021|EPI_ISL_3941406|2021-05-26	2021.3972602739725	3.120980439962496E-4	-2.732027457861934E-5
hCoV-19/Canada/AB-ABPHL-23802/2021|EPI_ISL_3941407|2021-05-28	2021.4027397260274	3.5184874399624974E-4	1.0380472717683132E-5
hCoV-19/Canada/AB-ABPHL-20995/2021|EPI_ISL_3941410|2021-06-21	2021.468493150685	3.1609804399624963E-4	-4.9969659726467055E-5
hCoV-19/Canada/AB-ABPHL-23788/2021|EPI_ISL_3941413|2021-05-27	2021.4	3.1609804399624963E-4	-2.4345250930523645E-5
hCoV-19/Canada/AB-ABPHL-20806/2021|EPI_ISL_3941414|2021-06-21	2021.468493150685	3.1409804399624964E-4	-5.196965972646705E-5
hCoV-19/Canada/AB-ABPHL-23115/2021|EPI_ISL_3941408|2021-06-23	2021.4739726027397	3.498321439962497E-4	-1.8285512430164645E-5
hCoV-19/Canada/AB-ABPHL-22134/2021|EPI_ISL_3941412|2021-06-09	2021.4356164383562	3.5083214399624974E-4	-2.935843504391902E-6
hCoV-19/Canada/AB-ABPHL-22131/2021|EPI_ISL_3941411|2021-06-09	2021.4356164383562	3.5083214399624974E-4	-2.935843504391902E-6
hCoV-19/Chile/RM-110534/2021|EPI_ISL_12145246|2021-06-11	2021.441095890411	3.101651439962496E-4	-4.5652796208089724E-5
hCoV-19/Spain/MD-HGUGM-5720452/2021|EPI_ISL_6135501|2021-08-27	2021.6520547945206	3.766269439962498E-4	-5.811417529972846E-5
hCoV-19/Brazil/SP-IB_124208/2021|EPI_ISL_3579329|2021-08-01	2021.5808219178082	4.116490439962499E-4	3.557309848119391E-6
