tip	date	distance	residual
hCoV-19/Brazil/RS-8680/2021|EPI_ISL_983865|2021-02-01	2021.0849315068492	4.3596976706696634E-4	1.5632867726014056E-4
hCoV-19/Argentina/INEI104115/2021|EPI_ISL_2136060|2021-04-14	2021.282191780822	5.333826670669662E-4	1.6722439014830624E-4
hCoV-19/Argentina/INEI104130/2021|EPI_ISL_2136099|2021-04-22	2021.304109589041	5.525765670669661E-4	1.7680526935813935E-4
hCoV-19/Argentina/INEI108155/2021|EPI_ISL_5158446|2021-07-12	2021.5260273972603	5.902211670669663E-4	1.1711803385727054E-4
hCoV-19/Argentina/PAIS-D0344/2021|EPI_ISL_8152122|2021-04-27	2021.317808219178	5.924432670669663E-4	2.1066383136424365E-4
hCoV-19/Argentina/INEI106186/2021|EPI_ISL_4082593|2021-06-03	2021.4191780821918	5.147685670669662E-4	8.852891020945841E-5
hCoV-19/Argentina/PAIS-G0366/2021|EPI_ISL_4003466|2021-07-10	2021.5205479452054	5.137685670669661E-4	4.3068689054784315E-5
hCoV-19/Argentina/INEI103535/2021|EPI_ISL_2135718|2021-04-05	2021.2575342465752	4.945602670669662E-4	1.39216638537341E-4
hCoV-19/Argentina/INEI104215/2021|EPI_ISL_2136133|2021-04-22	2021.304109589041	5.841032670669662E-4	2.083319693581394E-4
hCoV-19/Argentina/INEI104226/2021|EPI_ISL_2140039|2021-04-22	2021.304109589041	5.851032670669662E-4	2.0933196935813943E-4
hCoV-19/Spain/MD-HGUGM-690154/2021|EPI_ISL_2601693|2021-06-11	2021.441095890411	6.233831670669662E-4	1.8753048941929165E-4
hCoV-19/Spain/VC-IBV-99030617/2021|EPI_ISL_2658253|2021-06-01	2021.4136986301369	6.283831670669663E-4	2.0454676540708353E-4
hCoV-19/Spain/VC-IBV-99030616/2021|EPI_ISL_2658252|2021-06-01	2021.4136986301369	6.283831670669663E-4	2.0454676540708353E-4
hCoV-19/Spain/VC-IBV-99030576/2021|EPI_ISL_2658213|2021-06-02	2021.4164383561645	6.273831670669663E-4	2.023451378082155E-4
