tip	date	distance	residual
hCoV-19/Peru/LIM-INS-1494/2021|EPI_ISL_3376145|2021-03-08	2021.1808219178083	1.9620103711610981E-4	-3.738020263536934E-5
hCoV-19/Spain/AS-242188017/2021|EPI_ISL_2238701|2021-04-25	2021.3123287671233	6.70380137116111E-4	3.7878484733238065E-4
hCoV-19/USA/GA-CDC-ASC210106849/2021|EPI_ISL_2528293|2021-06-03	2021.4191780821918	3.210698371161101E-4	-1.7661868318970145E-5
hCoV-19/USA/TN-CDC-ASC210017484/2021|EPI_ISL_2244501|2021-03-24	2021.2246575342465	1.0379603711610993E-4	-1.4912321931267528E-4
hCoV-19/USA/TN-CDC-ASC210075885/2021|EPI_ISL_2039423|2021-04-20	2021.2986301369863	1.0379603711610993E-4	-1.8175612245593457E-4
hCoV-19/Peru/LIM-UPCH-1245/2021|EPI_ISL_5147096|2021-08-15	2021.6191780821919	2.4790673711610995E-4	-1.790546694099841E-4
hCoV-19/Chile/AI-93132/2021|EPI_ISL_2391360|2021-05-07	2021.345205479452	1.0279543711610992E-4	-2.0330336517571104E-4
hCoV-19/Chile/AI-116961/2021|EPI_ISL_2892712|2021-06-23	2021.4739726027397	1.7533503711610992E-4	-1.8756918916582494E-4
hCoV-19/Peru/LAL-INS-7550/2021|EPI_ISL_5595900|2021-09-27	2021.7369863013698	3.591483371161101E-4	-1.1978398923066032E-4
hCoV-19/Peru/LAL-INS-7557/2021|EPI_ISL_5595904|2021-09-27	2021.7369863013698	3.9789813711611007E-4	-8.103418923066034E-5
hCoV-19/Peru/LAL-INS-7555/2021|EPI_ISL_5595902|2021-09-29	2021.7424657534248	3.9789813711611007E-4	-8.345144131537911E-5
hCoV-19/Peru/LAL-INS-7556/2021|EPI_ISL_5595903|2021-09-29	2021.7424657534248	3.9689813711611005E-4	-8.445144131537913E-5
hCoV-19/Peru/LAL-INS-7551/2021|EPI_ISL_5595901|2021-09-27	2021.7369863013698	3.9590033711611007E-4	-8.303198923066034E-5
hCoV-19/Peru/LAL-INS-7560/2021|EPI_ISL_5595905|2021-09-27	2021.7369863013698	3.6014833711611006E-4	-1.1878398923066035E-4
hCoV-19/Chile/AI-90771/2021|EPI_ISL_2391466|2021-05-05	2021.3397260273973	1.0180173711610993E-4	-2.0187981309110329E-4
hCoV-19/Peru/C03m37/2021|EPI_ISL_3372597|2021-07-13	2021.5287671232877	2.8482003711610996E-4	-1.0225671001267951E-4
hCoV-19/Peru/SAM-INS-2429/2021|EPI_ISL_3401611|2021-02-12	2021.1150684931506	2.1177773711610992E-4	7.20352238092292E-6
hCoV-19/Spain/MD-HGUGM-694399/2021|EPI_ISL_2601722|2021-06-08	2021.4328767123288	3.582736371161101E-4	1.3498801469232912E-5
hCoV-19/Mexico/NLE-UANL-084/2021|EPI_ISL_13059775|2021-07-09	2021.517808219178	1.3876593711610992E-4	-2.4347630584324202E-4
hCoV-19/USA/CA-CDC-FG-031100/2021|EPI_ISL_2043732|2021-05-05	2021.3397260273973	1.7370523711610991E-4	-1.299763130911033E-4
hCoV-19/USA/CA-CDC-FG-031202/2021|EPI_ISL_2043714|2021-05-05	2021.3397260273973	1.7370523711610991E-4	-1.299763130911033E-4
hCoV-19/Colombia/ANT-LDSP599/2021|EPI_ISL_5428465|2021-08-17	2021.6246575342466	3.5046933711611005E-4	-7.890932149459174E-5
hCoV-19/Panama/GMI-PACOVIDVIRO610/2021|EPI_ISL_5196332|2021-04-01	2021.2465753424658	3.5483943711611004E-4	9.225117234856078E-5
hCoV-19/USA/NY-Wadsworth-21041423-01/2021|EPI_ISL_1740510|2021-03-13	2021.194520547945	6.514813711610995E-5	-1.7447623284694408E-4
